"decode","uuid:ID","instanceType","id","codeSystemVersion","code","codeSystem"
"Interventional Study","6720204f-3cf1-47a6-8d36-8731cf4abcc6","Code","Code_1","2023-12-15","C98388","http://www.cdisc.org"
"Phase II Trial","6ae9a002-27d7-48fd-8c06-cf90d736f696","Code","Code_2","2023-12-15","C15601","http://www.cdisc.org"
"Sponsor Approval Date","bc3ee1e4-0092-4b38-bc4f-61fa146d00c5","Code","Code_9","2023-12-15","C132352","http://www.cdisc.org"
"Global","e769554a-7f3f-4eb5-9577-1496053bc62d","Code","Code_10","2023-12-15","C68846","http://www.cdisc.org"
"IRB/IEC Feedback","044588d9-21cc-4a6a-8bda-d5ce2d1aca9e","Code","Code_72","2023-12-15","C99904x3","http://www.cdisc.org"
"Other","92feca52-1fed-4bad-965b-64c245eb25ed","Code","Code_73","2023-12-15","C17649","http://www.cdisc.org"
"Region","8f5e75ce-97dd-408c-88c2-ffaa7175a65e","Code","Code_75","2023-12-15","C41129","http://www.cdisc.org"
"Europe","7d6f665e-a092-4544-9e97-943326ed9f74","Code","Code_74","2020-08","150","ISO 3166 1 alpha3"
"Eli Lilly","f44fe08b-8840-47e1-966d-a7df03b6a723","Code","Code_4","12","PHARMA","SPONSOR"
"Clinical Study Sponsor","590f6a8f-822e-4be7-b7c8-e2977bb4b77c","Code","Code_76","2023-12-15","C70793","http://www.cdisc.org"
"United States of America","3237bcc9-93a4-47c8-a1a0-f29e5da0ba07","Code","Code_77","2020-08","USA","ISO 3166 1 alpha3"
"Study Registry","fc58baac-4346-49fa-ab1d-250913aca95a","Code","Code_78","2023-12-15","C93453","http://www.cdisc.org"
"United States of America","fc8a848e-ccd3-4832-9cc2-dcdb0da2db9c","Code","Code_79","2020-08","USA","ISO 3166 1 alpha3"
"Treatment Study","4fdf48dc-2b99-464a-9f94-ca5035d3f39f","Code","Code_137","2023-12-15","C49656","http://www.cdisc.org"
"Efficacy Study","fad7b374-a371-45ca-b1d2-729016fbeeed","Code","Code_138","2023-12-15","C49666","http://www.cdisc.org"
"Safety Study","4bd8f35d-db51-430b-98e1-8cdb0066965e","Code","Code_139","2023-12-15","C49667","http://www.cdisc.org"
"Pharmacokinetic Study","aeb4ab1a-2a8f-4559-a4b9-cbbfaa07bdc9","Code","Code_140","2023-12-15","C49663","http://www.cdisc.org"
"Mild to Moderate Alzheimer's Disease","bb92e09d-99aa-4736-aa9a-fbb50b0a2778","Code","Code_134","12","MILD_MOD_ALZ","SPONSOR"
"Alzheimer's disease","33c22f5b-e8ca-4a0d-aab5-d5d1a55d01da","Code","Code_135","January 31, 2018","26929004","SNOMED"
"EXTENSION","b6a0e66b-8c15-41bd-b586-4dcbbb4a15fb","Code","Code_143","2023-12-15","C99907x1","http://www.cdisc.org"
"ADAPTIVE","a1b53a9a-4ac6-4345-b18f-bdfcab00c660","Code","Code_144","2023-12-15","C98704","http://www.cdisc.org"
"Parallel Study","f8aa877b-1ca7-49c0-87c4-9da7df8ab336","Code","Code_141","2023-12-15","C82639","http://www.cdisc.org"
"Visit","8c47e2b5-f29b-420d-9a77-c5173e98b82b","Code","Code_83","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","9dc43cc6-8770-47e4-a8e4-624f920c9d16","Code","Code_84","2023-12-15","C51282","http://www.cdisc.org"
"In Person","150b33bf-b340-483e-8be1-c8ddabc10fea","Code","Code_85","2023-12-15","C175574","http://www.cdisc.org"
"Visit","f786aebe-d2b4-4a33-a0fa-3fcbc8f6da8b","Code","Code_86","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","32478781-3cf9-4c6a-9973-47a1496b6e99","Code","Code_87","2023-12-15","C51282","http://www.cdisc.org"
"In Person","88295a49-c1e1-4aca-802c-fc9040769ba3","Code","Code_88","2023-12-15","C175574","http://www.cdisc.org"
"Visit","62d83307-56de-4b8c-9467-73e3bdbb6b81","Code","Code_89","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","b12430c8-1a9c-4b2a-aaf5-194883b38d61","Code","Code_90","2023-12-15","C51282","http://www.cdisc.org"
"In Person","b02ec3e0-8e09-4f0c-82e0-bb4229eb5f07","Code","Code_91","2023-12-15","C175574","http://www.cdisc.org"
"Visit","da90755c-df4c-4067-9878-62a74884f2e6","Code","Code_92","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","4812e749-088e-4177-bd27-424acc1c6afc","Code","Code_93","2023-12-15","C51282","http://www.cdisc.org"
"In Person","15caa354-f461-4eca-b12e-89bd095ad98c","Code","Code_94","2023-12-15","C175574","http://www.cdisc.org"
"Visit","893b6ad8-e680-49d4-b565-81b487fede39","Code","Code_95","2023-12-15","C25716","http://www.cdisc.org"
"Clinic","02c5db0a-359e-4ae8-913a-ad88afdd0028","Code","Code_96","2023-12-15","C51282","http://www.cdisc.org"
"In Person","227c6cd2-b784-436b-8f21-ffd04eebd70c","Code","Code_97","2023-12-15","C175574","http://www.cdisc.org"
"Visit","e3911d1f-a8c1-44ef-976e-55e0343435a1","Code","Code_98","2023-12-15","C25716","http://www.cdisc.org"
