"uuid:ID","name","instanceType","id","text"
"58761257-9162-4c1a-8e88-e5abe81c910c","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_1","Subject identifier"
"51daf329-4ea9-4797-9abc-2b412b9ac154","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_2","completion of screening activities"
"da9d7fb6-7e22-49cb-8e02-55ca89b3c6f3","ENCOUNTER_START_RULE_2","TransitionRule","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"8c6222dd-dffc-4240-958c-b34bccfe71f5","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"8a382bcf-3e46-4416-bd75-ca4adeb79802","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_5","Radomized"
"1c471598-756c-49f1-97ab-bc4f8d9e39a8","ENCOUNTER_START_RULE_12","TransitionRule","TransitionRule_6","End of treatment"
"bc8b6d6d-8fe7-4024-b90c-2b858efec612","ELEMENT_START_RULE_1","TransitionRule","TransitionRule_7","Informed consent"
"d7e9b574-82f9-4781-955e-8da089485227","ELEMENT_END_RULE_1","TransitionRule","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"1d14f2e8-6949-4270-82a1-a3966a88b340","ELEMENT_START_RULE_2","TransitionRule","TransitionRule_9","Administration of first dose"
"655d8333-beb2-427e-8aea-ab059e23252f","ELEMENT_START_RULE_7","TransitionRule","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"34250892-61b0-41b7-b341-90ec382a35d1","ELEMENT_END_RULE_7","TransitionRule","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"6da950bc-adc8-4c2e-8f1a-5ec1c337785c","ELEMENT_START_RULE_3","TransitionRule","TransitionRule_10","Administration of first dose"
"2e3d077e-0d12-4eab-9bcc-60ddfdb6d87c","ELEMENT_START_RULE_4","TransitionRule","TransitionRule_11","Randomized"
"6b502d25-1544-48e5-944d-bb6bde848ef9","ELEMENT_START_RULE_5","TransitionRule","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"1dc2926a-f361-467d-b787-cbf0132e7d3d","ELEMENT_START_RULE_6","TransitionRule","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
