"purpose","uuid:ID","description","name","instanceType","id","text","label"
"","2313d36d-0a63-493e-8cb2-1b87a366b9ae","","END1","Endpoint","Endpoint_1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24",""
"","c009c2f2-82e0-46a2-a4a8-94e9184aa599","","END2","Endpoint","Endpoint_2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24",""
"","08f2314d-fbd4-41d2-b1b4-a41a37c0f8b7","","END3","Endpoint","Endpoint_3","Adverse events",""
"","a4142ff2-eb51-4194-ad90-151ed06b6cb8","","END4","Endpoint","Endpoint_4","Vital signs (weight, standing and supine blood pressure, heart rate)",""
"","43a1ccb5-75df-4b19-a67f-dd292883fa11","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","END5","Endpoint","Endpoint_5","Laboratory evaluations (Change from Baseline)",""
"","97e912e4-c35c-4576-9019-d5e153aeced5","","END6","Endpoint","Endpoint_6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16",""
"","d510f67c-2780-43a6-bc50-18f5d0aa09a0","","END7","Endpoint","Endpoint_7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16",""
"","3b01d9a8-7589-471d-946f-fd7d1e89f1cd","","END8","Endpoint","Endpoint_8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24",""
"","1407c9c8-0d9d-4147-99d8-bf5d66bfca56","","END9","Endpoint","Endpoint_9","*** To be determined from protocol ***",""
"","bcb15a71-c044-4699-99f4-86cffc8c29dd","","END10","Endpoint","Endpoint_10","*** To be determined from protocol ***",""
"","5bf75210-e3e8-46ae-8bb1-f4a10d2937f6","","END11","Endpoint","Endpoint_11","*** To be determined from protocol ***",""
