"value","uuid:ID","description","windowLabel","windowLower","name","valueLabel","instanceType","id","windowUpper","label"
"P2W","aee966fd-536e-450e-84a5-11957c7fafe4","Screening timing","","","TIM1","2 weeks","Timing","Timing_1","","Screening"
"P2D","cee29b42-8862-4745-a31f-7bba3a489d17","Pre dose timing","-4..0 hours","PT4H","TIM2","2 days","Timing","Timing_2","PT0H","Pre dose"
"P1D","c85855e6-b989-459f-b16f-fd6546ad7640","Dosing anchor","","","TIM3","1 Day","Timing","Timing_3","","Dosing"
"P2W","22a88733-fe68-454b-989a-395e2d376f3f","Week 2 timing","-3..3 days","P3D","TIM4","2 Weeks","Timing","Timing_4","P3D","Week 2"
"P4W","2874caed-6263-4c8b-a30c-a148f105dc90","Week 4 timing","-3..3 days","P3D","TIM5","4 Weeks","Timing","Timing_5","P3D","Week 4"
"P6W","05a700a3-fb6f-45d7-b365-3d35d63d6d66","Week 6 timing","-3..3 days","P3D","TIM6","6 Weeks","Timing","Timing_6","P3D","Week 6"
"P8W","8fec71d9-1c4b-4971-a9ac-1ff05cae61e5","Week 8 timing","-3..3 days","P3D","TIM7","8 Weeks","Timing","Timing_7","P3D","Week 8"
"P12W","402eb055-bb1d-4024-9a78-0fac72ed92e2","Week 12 timing","-4..4 days","P4D","TIM9","12 Weeks","Timing","Timing_9","P4D","Week 12"
"P16W","1b859e92-eb45-4668-a7fb-e085266f15f2","Week 16 timing","-4..4 days","P4D","TIM11","16 Weeks","Timing","Timing_11","P4D","Week 16"
"P20W","729e2cc0-81fd-4a85-a900-810f56e6e4c7","Week 20 timing","-4..4 days","P4D","TIM13","20 Weeks","Timing","Timing_13","P4D","Week 20"
"P24W","a4d357a0-4ffe-41dc-afeb-fc0208e3e362","Week 24 timing","-4..4 days","P4D","TIM15","24 Weeks","Timing","Timing_15","P4D","Week 24"
"P26W","f866aec0-f7b3-494c-950c-1add0c1d3396","Week 26 timing","-3..3 days","P3D","TIM16","26 Weeks","Timing","Timing_16","P3D","Week 26"
"P2W","7b50b773-7ca2-4dc4-961b-85275406c563","Week 8 at home timing","","","TIM8","2 Weeks","Timing","Timing_8","","Week 8 Home"
"P2W","4e878973-e804-4217-9aad-3ca1a444d367","Week 12 at home timing","","","TIM10","2 Weeks","Timing","Timing_10","","Week 12 Home"
"P2W","ee1d5d3a-3236-450e-9474-df52ce44c1bd","Week 16 at home timing","","","TIM12","2 Weeks","Timing","Timing_12","","Week 16 Home"
"P2W","88dac985-6560-485f-a932-45765142cd67","Week 20 at home timing","","","TIM14","2 Weeks","Timing","Timing_14","","Week 20 Home"
"P1D","f0bf117d-239a-48ef-9a87-00d79fe644fb","Adverse Event","","","TIM17","1 Day","Timing","Timing_17","","Adverse Event"
"P1D","95f1a2a2-3103-45e5-91d3-f71f1170402c","Early Termination","","","TIM18","1 Day","Timing","Timing_18","","Early Termination"
"PT0M","78a3a1aa-1b91-42af-aed0-09bf85c4fef3","Supine","","","TIM19","0 mins","Timing","Timing_19","","Supine"
"PT5M","db238bbe-2a12-4841-b26a-48a269a1d515","VS while supine","","","TIM20","5 mins","Timing","Timing_20","","VS while supine"
"PT0M","47828429-dc3f-428d-bc78-52c2e33cc730","Standing","","","TIM21","0 min","Timing","Timing_21","","Standing"
"PT1M","4276bcb7-2889-4485-96d6-c04429f383b7","VS while standing","","","TIM22","1 min","Timing","Timing_22","","VS while standing"
"PT0M","9bb0bbf5-5931-44de-9545-ea0a2fcb1ff3","Standing","","","TIM23","0 min","Timing","Timing_23","","Standing"
"PT2M","26854e94-a9a5-4f3d-8ca5-9be8f6898dee","VS while standing","","","TIM24","2 min","Timing","Timing_24","","VS while standing"
