"uuid:ID","description","name","instanceType","id","label"
"4b4b9176-6b73-48a2-85c6-5cba02458de5","Screening encounter","E1","Encounter","Encounter_1","Screening 1"
"e32b4d88-70f6-436d-b658-2e3fa9304438","Screening encounter - Ambulatory ECG Placement","E2","Encounter","Encounter_2","Screening 2"
"dd07d02e-5762-4b11-a0d7-0ce4f30efa95","Baseline encounter - Ambulatory ECG Removal","E3","Encounter","Encounter_3","Baseline"
"aec3608a-10d9-44b8-a77f-81a68b163dc0","Day 14","E4","Encounter","Encounter_4","Week 2"
"3e890179-5f92-4dcb-adf1-2fe3aff7201e","Day 28","E5","Encounter","Encounter_5","Week 4"
"444414c7-31e9-4f36-a83c-1fef64c889b8","Day 42","E7","Encounter","Encounter_6","Week 6"
"a6fc162a-e073-4241-a13f-38f957ae8c73","Day 56","E8","Encounter","Encounter_7","Week 8"
"49ca001b-7ec5-4fbb-8e27-4ae7fff314ed","Day 84","E9","Encounter","Encounter_8","Week 12"
"784e89e1-1cbe-42ac-99ac-46c79e36a422","Day 112","E10","Encounter","Encounter_9","Week 16"
"d477ac63-8cec-436f-a4ad-96c476f74795","Day 140","E11","Encounter","Encounter_10","Week 20"
"e57be993-738b-40fb-a625-f29a77f3652a","Day 168","E12","Encounter","Encounter_11","Week 24"
"b729ca85-2451-4c3d-a114-45f1f7c062de","Day 182","E13","Encounter","Encounter_12","Week 26"
