"uuid:ID","description","name","instanceType","id","label"
"7f79a63b-2898-4def-a25d-7be5e16f6c54","","Informed consent","Activity","Activity_1","Informed consent"
"f248035a-00d8-4aae-86c0-c7870f7700ed","","Inclusion/exclusion criteria","Activity","Activity_2","Inclusion and exclusion criteria"
"be816706-9bc4-43df-a835-911dab2b3ed5","","Patient number assigned","Activity","Activity_3","Patient number assigned"
"6f14c6c8-73b0-49ed-b6df-196dc23a779f","","Demographics","Activity","Activity_4","Demographics"
"fe31e206-270c-4079-a862-f0ff21e106c4","","Hachinski","Activity","Activity_5","Hachinski Ischemic Scale"
"f1aaa412-79e8-404b-ae4f-f3fd36c3dd58","","MMSE","Activity","Activity_6","MMSE"
"d7098fac-0c8c-4db1-8725-4a83779ebb84","","Physical examination","Activity","Activity_7","Physical examination"
"07534710-f288-4e02-8c07-ebe8c4c6cfab","","Medical history","Activity","Activity_8","Medical history"
"ee6ab9e5-73a1-4a37-b0ca-1a8fcd13ac45","","Habits","Activity","Activity_9","Habits"
"b5adb39f-4927-45ca-b3f2-5c5c0d6f5458","","Chest X-ray","Activity","Activity_10","Chest X-ray"
"eebd8644-e776-4e86-b046-5aece36f9f4f","","Apo E genotyping","Activity","Activity_11","Apo E genotyping"
"cf58a4e9-72f3-4276-ab37-2e85152b4fa0","","Patient randomised","Activity","Activity_12","Patient randomised"
"3170face-4b08-4485-9e5f-5cba1a6b42c0","","Vital signs / Temperature","Activity","Activity_13","Vital Signs and Temperature"
"f9f78087-a487-4f22-9f68-ac2f6720bf93","","Ambulatory ECG placed","Activity","Activity_14","Ambulatory ECG placed"
"08472a4e-3110-4fce-b648-d72f0bcf2a14","","Ambulatory ECG removed","Activity","Activity_15","Ambulatory ECG removed"
"77dde3ef-f211-4c93-bcc4-5b442a849417","","ECG","Activity","Activity_16","ECG"
"54e89e2c-317d-49c3-84c8-33cd887664f7","","Placebo TTS test","Activity","Activity_17","Placebo TTS test"
"f799e1b4-43e9-48e5-9c6b-8fcc55c6f2e4","","CT scan","Activity","Activity_18","CT scan"
"08427f5f-8ae1-4074-a6a6-25f40759b6f5","","Concomitant medications","Activity","Activity_19","Concomitant medications"
"c25d8e56-b5a4-47f0-9598-d37d94ab0f72","","Hematology","Activity","Activity_20","Hematology"
"677a4f1a-059b-4e04-8058-fe11531a4d4e","","Chemistry","Activity","Activity_21","Chemistry"
"820872e8-e164-400e-9526-cb0dd8c76db2","","Uninalysis","Activity","Activity_22","Uninalysis"
"4356c3ca-e6af-4096-8cd7-590b9be4950a","","Plasma Specimen (Xanomeline)","Activity","Activity_23","Plasma Specimen (Xanomeline)"
"43939023-97f2-48c4-a3f4-977850a657b8","","Hemoglobin A1C","Activity","Activity_24","Hemoglobin A1C"
"44be78f3-a6a4-42f3-98cb-945616a48459","","Study drug","Activity","Activity_25","Study drug record , Medications dispensed, Medications returned"
"456bdb1d-b76c-45da-aa29-e9aa94fbea29","","TTS Acceptability Survey","Activity","Activity_26","TTS Acceptability Survey"
"6a11cf95-d1f1-4899-b991-5f0acaf5e421","","ADAS-Cog","Activity","Activity_27","ADAS-Cog"
"0aad5ef8-d254-4dd6-8cf8-a064443bb8d8","","CIBIC+","Activity","Activity_28","CIBIC+"
"3a481971-2a76-41a9-b85a-9422209b263c","","DAD","Activity","Activity_29","DAD"
"3c9df27a-ba08-4a85-8d38-9315bc858719","","NPI-X","Activity","Activity_30","NPI-X"
"42e557c2-9a16-46c8-9d50-6baaa62c56a5","","Adverse events","Activity","Activity_31","Adverse events"
"c321774c-2ffb-4123-9aa0-01b4760f160d","","Check adverse events","Activity","Activity_32","Check adverse events"
"104088f7-20dc-4cdf-88a1-943d60fe1762","","Supine","Activity","Activity_33","Subject supine"
"f865ee57-f843-4b3a-9e1c-fbcfd281a5cd","","Vital Signs Supine","Activity","Activity_34","Vital signs while supine"
"72cc449e-8add-445d-aee8-ac9183f76d61","","Stand","Activity","Activity_35","Subject Standing"
"fa7be23b-696a-4f7b-91ed-13295df43827","","Vital Signs Standing","Activity","Activity_36","Vital signs while standing"
