"uuid:ID","name","sectionNumber","sectionTitle","text","id","instanceType"
"ab7095fc-97b4-4b0b-a5fd-7931203a7664","ROOT","0","Root","","NarrativeContent_1","NarrativeContent"
"2bb3b4ba-61e9-42bb-b7df-0add6797afb1","SECTION 0","0","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2","NarrativeContent"
"4537d193-2811-486a-8e41-39e3b57e282b","SECTION 1","1","PROTOCOL SUMMARY","<div></div>","NarrativeContent_3","NarrativeContent"
"1e661fbc-2067-4b53-af6b-4e1519a0a8da","SECTION 1.1","1.1","Protocol Synopsis","<div></div>","NarrativeContent_4","NarrativeContent"
"1ea08a45-ae3d-42ec-9616-458fa9f6d26b","SECTION 1.2","1.2","Trial Schema","<div></div>","NarrativeContent_5","NarrativeContent"
"27dcc7c4-c0d9-4dcb-9797-8fa529443098","SECTION 1.3","1.3","Schedule of Activities","<div></div>","NarrativeContent_6","NarrativeContent"
"1360c41e-9c88-4e85-8fba-7834e94a07a3","SECTION 2","2","INTRODUCTION","<div></div>","NarrativeContent_7","NarrativeContent"
"010b503c-43de-4c47-9cd8-ea2f4bbc2f0a","SECTION 2.1","2.1","Purpose of Trial","<div></div>","NarrativeContent_8","NarrativeContent"
"2723121d-d86f-4acf-99f1-90525415d263","SECTION 2.2","2.2","Summary of Benefits and Risks","<div></div>","NarrativeContent_9","NarrativeContent"
"9b8eb978-970c-471b-a538-1a0d669e9e9c","SECTION 3","3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","NarrativeContent_10","NarrativeContent"
"53363b4d-3217-46ef-98b1-03677fff3682","SECTION 3.1","3.1","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11","NarrativeContent"
"cabf97ad-08d3-4c1b-8129-a2ee0a0a747e","SECTION 4","4","TRIAL DESIGN","<div></div>","NarrativeContent_12","NarrativeContent"
"ef1a560a-0278-4812-a5c6-ba58ee6061a6","SECTION 4.1","4.1","Description of Trial Design","<div></div>","NarrativeContent_13","NarrativeContent"
"da240d0b-150a-4d86-873b-50a52263121f","SECTION 4.1.1","4.1.1","Participant Input into Design","<div></div>","NarrativeContent_14","NarrativeContent"
"35f391eb-4a06-47b4-a97a-8a00904b7460","SECTION 4.2","4.2","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent_15","NarrativeContent"
"5d7eff76-32f0-4f33-9c76-43bc8acdf663","SECTION 4.2.1","4.2.1","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent_16","NarrativeContent"
"42e30620-e347-4da0-ab50-37e752b86a0d","SECTION 4.2.2","4.2.2","Rationale for Adaptive or Novel Trial Design","<div></div>","NarrativeContent_17","NarrativeContent"
"e7efb2e2-faaf-4e20-8274-108c3f075edd","SECTION 4.2.3","4.2.3","Other Trial Design Considerations","<div></div>","NarrativeContent_18","NarrativeContent"
"8425f8cd-1cdd-44bf-bae9-e095903097f9","SECTION 4.3","4.3","Access to Trial Intervention After End of Trial","<div></div>","NarrativeContent_19","NarrativeContent"
"ba35af70-a3a5-428a-9e3a-dbc127f44f4f","SECTION 4.4","4.4","Start of Trial and End of Trial","<div></div>","NarrativeContent_20","NarrativeContent"
"08231176-18e9-46b5-9561-09fc7a4b8ac8","SECTION 5","5","TRIAL POPULATION","<div></div>","NarrativeContent_21","NarrativeContent"
"4dd190d6-c35c-4174-b2f1-3de30d3f1c3e","SECTION 5.1","5.1","Selection of Trial Population","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent_22","NarrativeContent"
"cf944137-4c3f-4684-9c17-5c592dd5e9da","SECTION 5.2","5.2","Rationale for Trial Population","<div></div>","NarrativeContent_23","NarrativeContent"
"14d7e161-c230-4861-b08c-800fc7e9021c","SECTION 5.3","5.3","Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent_24","NarrativeContent"
"8dd5e15a-dddc-4c40-a74c-422d723736a7","SECTION 5.4","5.4","Exclusion Criteria","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent_25","NarrativeContent"
"c0f0193b-38fa-45f4-a649-a68a64182158","SECTION 5.5","5.5","Lifestyle Considerations","<div></div>","NarrativeContent_26","NarrativeContent"
"2a4e144b-07b9-46dc-8d7e-f636e0675b61","SECTION 5.5.1","5.5.1","Meals and Dietary Restrictions","<div></div>","NarrativeContent_27","NarrativeContent"
"45010569-55a3-485a-a151-d3e1dc779729","SECTION 5.5.2","5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","<div><p>Not applicable</p></div>","NarrativeContent_28","NarrativeContent"
"5352f1e3-d19f-4ea1-b8c3-189d64ab5758","SECTION 5.5.3","5.5.3","Physical Activity","<div></div>","NarrativeContent_29","NarrativeContent"
"9470c814-9842-4b9d-b3bb-1eb0199eee29","SECTION 5.5.4","5.5.4","Other Activity","<div></div>","NarrativeContent_30","NarrativeContent"
"5b2510f3-3e90-4963-bfcc-953164e05e2e","SECTION 5.6","5.6","Screen Failures","<div></div>","NarrativeContent_31","NarrativeContent"
"a570f118-c2ae-4717-a4cb-8674e1cbc3b4","SECTION 6","6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>","NarrativeContent_32","NarrativeContent"
"73f2eb7e-eac7-4668-873e-e75c8fa824d1","SECTION 6.1","6.1","Description of Trial Intervention","<div></div>","NarrativeContent_33","NarrativeContent"
"43bde67a-211a-4f73-b623-b40f77a95ab2","SECTION 6.2","6.2","Rationale for Trial Intervention","<div></div>","NarrativeContent_34","NarrativeContent"
"27674e5e-7077-4d1e-aecf-e3b59db8190b","SECTION 6.3","6.3","Dosing and Administration","<div></div>","NarrativeContent_35","NarrativeContent"
"05440487-808a-49ce-bf13-78bc21c83622","SECTION 6.3.1","6.3.1","Trial Intervention Dose Modification","<div></div>","NarrativeContent_36","NarrativeContent"
"91631925-c153-4c14-9ec7-382ed0e201e5","SECTION 6.4","6.4","Treatment of Overdose","<div></div>","NarrativeContent_37","NarrativeContent"
"945eda97-1dc6-4b66-8a9c-a746c8dad39b","SECTION 6.5","6.5","Preparation, Handling, Storage and Accountability","<div></div>","NarrativeContent_38","NarrativeContent"
