"uuid:ID","name","label","id","description","instanceType"
"1f99909d-e5ce-4440-bdf7-a74c1ff82631","E1","Screening 1","Encounter_1","Screening encounter","Encounter"
"9824285f-4238-4e63-81bd-1d2c4534da52","E2","Screening 2","Encounter_2","Screening encounter - Ambulatory ECG Placement","Encounter"
"ae880508-a37b-4453-a5f2-2622491e4841","E3","Baseline","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Encounter"
"c79e36c5-9714-487e-a5e6-90f65145af34","E4","Week 2","Encounter_4","Day 14","Encounter"
"44f19b53-94be-4608-9e29-bd467beb80eb","E5","Week 4","Encounter_5","Day 28","Encounter"
"2bb342ff-c7db-473c-aeba-266b428352b2","E7","Week 6","Encounter_6","Day 42","Encounter"
"ff7db42c-584b-4807-a7f5-42e5e294eceb","E8","Week 8","Encounter_7","Day 56","Encounter"
"aa27f369-c75c-4b6e-9c57-141e98448f29","E9","Week 12","Encounter_8","Day 84","Encounter"
"389726e2-8309-486a-8e8d-0df273e84b88","E10","Week 16","Encounter_9","Day 112","Encounter"
"8b499738-81a8-4144-8d4b-1c542ab92aa2","E11","Week 20","Encounter_10","Day 140","Encounter"
"ce642642-ffd3-4504-b3b7-e0ef8b47873e","E12","Week 24","Encounter_11","Day 168","Encounter"
"dd78d4ab-d223-4307-8244-3a9de2ac7655","E13","Week 26","Encounter_12","Day 182","Encounter"
