"uuid:ID","windowLower","name","windowUpper","window","value","label","id","description","instanceType"
"dc7fc711-4665-4940-afdb-0156bee8abeb","","TIM1","","","P2W","Screening","Timing_1","Screening timing","Timing"
"33e54791-1cbc-4b84-a3f7-aaceb5319cd1","PT4H","TIM2","PT0H","-4..0 hours","P2D","Pre dose","Timing_2","Pre dose timing","Timing"
"edc4b731-0b7e-4cd6-8df0-4e38e6163d4b","","TIM3","","","P1D","Dosing","Timing_3","Dosing anchor","Timing"
"a968e1ca-454a-4046-9518-178606c01066","P3D","TIM4","P3D","-3..3 days","P2W","Week 2","Timing_4","Week 2 timing","Timing"
"ef7a3cb7-727d-475a-9ea9-f8d4f2918760","P3D","TIM5","P3D","-3..3 days","P4W","Week 4","Timing_5","Week 4 timing","Timing"
"4695f87d-0d61-4935-a31a-859b80c6ab27","P3D","TIM6","P3D","-3..3 days","P6W","Week 6","Timing_6","Week 6 timing","Timing"
"0fd48a37-f62d-4661-96c1-2f2fd8dddd72","P3D","TIM7","P3D","-3..3 days","P8W","Week 8","Timing_7","Week 8 timing","Timing"
"9555f72c-2366-4fa6-9ac3-a80b538a862a","P4D","TIM9","P4D","-4..4 days","P12W","Week 12","Timing_9","Week 12 timing","Timing"
"b70a10e7-1616-4250-a4d7-ae3c24f6fa95","P4D","TIM11","P4D","-4..4 days","P16W","Week 16","Timing_11","Week 16 timing","Timing"
"168d3ea3-bc89-4f29-a39b-00646200510b","P4D","TIM13","P4D","-4..4 days","P20W","Week 20","Timing_13","Week 20 timing","Timing"
"deb4d2d5-346a-4b00-9c8b-aff1473c3a21","P4D","TIM15","P4D","-4..4 days","P24W","Week 24","Timing_15","Week 24 timing","Timing"
"72e18d64-5e23-4068-b225-b5c3a96712ec","P3D","TIM16","P3D","-3..3 days","P26W","Week 26","Timing_16","Week 26 timing","Timing"
"5122f351-5076-4b93-9606-0d5ba0609cfe","","TIM8","","","P2W","Week 8 Home","Timing_8","Week 8 at home timing","Timing"
"62645422-1022-42e1-af0e-fff05b1784d9","","TIM10","","","P2W","Week 12 Home","Timing_10","Week 12 at home timing","Timing"
"a2cd1a94-a264-455d-a22a-56da1b17e8df","","TIM12","","","P2W","Week 16 Home","Timing_12","Week 16 at home timing","Timing"
"afba680a-6e46-4fdc-9390-f398f47b04ae","","TIM14","","","P2W","Week 20 Home","Timing_14","Week 20 at home timing","Timing"
"7fddb679-b245-47ed-9438-73b77151fc82","","TIM17","","","P1D","Adverse Event","Timing_17","Adverse Event","Timing"
"6fcc80ec-dee2-49d3-b5d9-a585c015cbdd","","TIM18","","","P1D","Early Termination","Timing_18","Early Termination","Timing"
"d249b191-2a39-400b-93f9-c222e12b0d41","","TIM19","","","PT0M","Supine","Timing_19","Supine","Timing"
"291e01b0-1da6-4824-91cd-1cabfa5a9a17","","TIM20","","","PT5M","VS while supine","Timing_20","VS while supine","Timing"
"aab5bd9b-e804-4ade-b27f-7ecef6d66dee","","TIM21","","","PT0M","Standing","Timing_21","Standing","Timing"
"fd45da18-4b27-45f3-89df-15f3f3e1ec56","","TIM22","","","PT1M","VS while standing","Timing_22","VS while standing","Timing"
"9b4745ab-6b94-4dc8-84eb-75384b5e488f","","TIM23","","","PT0M","Standing","Timing_23","Standing","Timing"
"975b65fc-f914-46ed-9eee-d579400aef9d","","TIM24","","","PT2M","VS while standing","Timing_24","VS while standing","Timing"
