"id:ID","sectionNumber","uuid","sectionTitle","text","id","name"
"822","0","fdd4b6a2-9f4a-40ec-b666-d2b5ecfe8673","Root","","NarrativeContent_1","ROOT"
"823","0","c20d079b-9777-4b46-b134-6270e50d8585","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2","SECTION 0"
"824","1","b458d430-c9ce-4fef-a528-7e7974c3c965","PROTOCOL SUMMARY","<div></div>","NarrativeContent_3","SECTION 1"
"825","1.1","dcd97e6b-5ec0-4825-ba8a-9b96d346e2c9","Protocol Synopsis","<div></div>","NarrativeContent_4","SECTION 1.1"
"826","1.2","9001d658-2861-48fe-bd08-3ba2b58a83c7","Trial Schema","<div></div>","NarrativeContent_5","SECTION 1.2"
"827","1.3","6d0828eb-901c-4e31-b5d1-efcc7c0e2168","Schedule of Activities","<div></div>","NarrativeContent_6","SECTION 1.3"
"828","2","9b5da6d9-0ef7-47e5-acc8-2c76120a8e92","INTRODUCTION","<div></div>","NarrativeContent_7","SECTION 2"
"829","2.1","a1824523-36fa-4642-9622-b81331a826c0","Purpose of Trial","<div></div>","NarrativeContent_8","SECTION 2.1"
"830","2.2","e737f13d-b8fe-4e60-93fe-316a9f4ceaf8","Summary of Benefits and Risks","<div></div>","NarrativeContent_9","SECTION 2.2"
"831","3","a26e7cc2-2c19-481f-93c0-bed984dcfe25","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","NarrativeContent_10","SECTION 3"
"832","3.1","eb844615-7d70-4a94-9de6-0faee1320c02","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11","SECTION 3.1"
"833","4","658fb7a9-ebc3-41e2-ad9f-5d48b01a3355","TRIAL DESIGN","<div></div>","NarrativeContent_12","SECTION 4"
"834","4.1","18b180e5-2f9e-4677-9785-7254d0bae9cb","Description of Trial Design","<div></div>","NarrativeContent_13","SECTION 4.1"
"835","4.1.1","e7c0bc53-2faa-4c5a-8b82-9588bb85de41","Participant Input into Design","<div></div>","NarrativeContent_14","SECTION 4.1.1"
"836","4.2","fd1488f5-313b-485b-89aa-13d75139dbcd","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent_15","SECTION 4.2"
"837","4.2.1","c2d61f2d-0173-4884-8d6c-2d968c6471eb","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent_16","SECTION 4.2.1"
"838","4.2.2","f2b5a3ae-4242-428c-ab83-e893472942d2","Rationale for Adaptive or Novel Trial Design","<div></div>","NarrativeContent_17","SECTION 4.2.2"
"839","4.2.3","355126ae-51c9-46f3-8d22-c4542158d313","Other Trial Design Considerations","<div></div>","NarrativeContent_18","SECTION 4.2.3"
"840","4.3","c733290a-d9de-4d93-9adc-105b274a0e50","Access to Trial Intervention After End of Trial","<div></div>","NarrativeContent_19","SECTION 4.3"
"841","4.4","74142450-a6ed-4baa-a094-38af7c1b4a0b","Start of Trial and End of Trial","<div></div>","NarrativeContent_20","SECTION 4.4"
"842","5","11950d96-95ac-42b8-bee9-10de2e4649db","TRIAL POPULATION","<div></div>","NarrativeContent_21","SECTION 5"
"843","5.1","d8425e3f-63e6-4810-8962-38b9f13211dd","Selection of Trial Population","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent_22","SECTION 5.1"
"844","5.2","e2f1d174-1b39-43d8-99d8-d5768bb9a8e7","Rationale for Trial Population","<div></div>","NarrativeContent_23","SECTION 5.2"
"845","5.3","c5be32ba-9a99-4b64-a3b7-78d3d0929a05","Inclusion Criteria","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent_24","SECTION 5.3"
