"id:ID","bcSynonyms","bcReference","uuid","label","id","name"
"690","['Temperature']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","08801a65-4231-4549-85e1-63dbae7ce535","Body Temperature","BiomedicalConcept_18","Body Temperature"
"691","['Weight']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","355e9c88-6f17-4c15-b289-fcf6f57ba89d","Body Weight","BiomedicalConcept_19","Body Weight"
"692","['Height']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","575183f7-d685-4a72-8b93-ce5d02640fe5","Body Height","BiomedicalConcept_20","Body Height"
"693","['ALT', 'SGPT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","55893595-75d7-4d28-9975-be3f8be32d24","Alanine Aminotransferase Measurement","BiomedicalConcept_21","Alanine Aminotransferase Measurement"
"694","['Albumin']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","7d033308-9e65-4c5c-b378-4b86e8a9d5f0","Albumin Measurement","BiomedicalConcept_22","Albumin Measurement"
"695","['Alkaline Phosphatase']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","ecbffc1a-3219-4c33-80cd-96e6a3050e14","Alkaline Phosphatase Measurement","BiomedicalConcept_23","Alkaline Phosphatase Measurement"
"696","['AST', 'SGOT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","b03a2cde-ff49-4e18-9a27-dfbd351d2903","Aspartate Aminotransferase Measurement","BiomedicalConcept_24","Aspartate Aminotransferase Measurement"
"697","['Creatinine']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","da8e2198-deb9-441e-b5be-78903698f481","Creatinine Measurement","BiomedicalConcept_25","Creatinine Measurement"
"698","['Potassium', 'K']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","1991b58a-9e54-48c9-9079-30c7a6bdb5b2","Potassium Measurement","BiomedicalConcept_26","Potassium Measurement"
"699","['Sodium', 'NA']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","e31e98f2-b6dd-47f4-9e5f-288da934bc94","Sodium Measurement","BiomedicalConcept_27","Sodium Measurement"
