"id:ID","bcPropertyDatatype","bcPropertyRequired","uuid","label","bcPropertyEnabled","id","bcPropertyResponseCodes","name"
"546","decimal","True","61bce434-8515-4f13-bc36-093f9065a53f","Vital Signs Result","True","BiomedicalConceptProperty_86","[]","Vital Signs Result"
"547","string","True","14592180-cacb-4bb8-a070-bc47a6627bc6","Unit of Temperature","True","BiomedicalConceptProperty_87","","Unit of Temperature"
"548","string","True","4c408bf8-43fb-4af5-a6fa-d28835353b83","Vital Signs Location","True","BiomedicalConceptProperty_88","[]","Vital Signs Location"
"549","decimal","True","30d4f406-3d3a-40f5-9ec4-5ffc4a44df73","Vital Signs Result","True","BiomedicalConceptProperty_89","[]","Vital Signs Result"
"550","string","True","ade5f170-84f6-45e1-976a-511b42cb5b6f","Unit of Weight","True","BiomedicalConceptProperty_90","","Unit of Weight"
"551","decimal","True","96c6e0f1-c534-4abb-8c77-9b532466b7a0","Vital Signs Result","True","BiomedicalConceptProperty_91","[]","Vital Signs Result"
"552","string","True","7800ae05-bce1-4073-b262-859d613e8a70","Unit of Height","True","BiomedicalConceptProperty_92","","Unit of Height"
"553","decimal","True","ed83221c-8d18-479d-95cb-95c180622d92","Laboratory Test Result","True","BiomedicalConceptProperty_93","[]","Laboratory Test Result"
"554","boolean","True","c891d966-7d4f-459f-b0bb-e88bbb112bc7","Laboratory Test Fasting Status","True","BiomedicalConceptProperty_94","[]","Laboratory Test Fasting Status"
"555","string","True","0415bb7e-ee14-49b8-a2d1-669dcb694dd7","Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_95","[]","Unit of Catalytic Activity Concentration"
"556","string","True","d4f9a9d6-f7a9-4176-b64a-911e3a9c5969","Biospecimen Type","True","BiomedicalConceptProperty_96","[]","Biospecimen Type"
"557","string","True","cb7e8019-c57d-4467-a52b-f06738d4e097","Laboratory Test Result","True","BiomedicalConceptProperty_97","[]","Laboratory Test Result"
"558","boolean","True","84025bc9-7a16-4b5c-b6d8-4d1f39244a01","Laboratory Test Fasting Status","True","BiomedicalConceptProperty_98","[]","Laboratory Test Fasting Status"
"559","string","True","2765bc1b-e151-423b-b500-a2dcc6046cca","Unit of Concentration","True","BiomedicalConceptProperty_99","[]","Unit of Concentration"
"560","string","True","216d760a-0249-4e51-b896-5323c2febc7f","Biospecimen Type","True","BiomedicalConceptProperty_100","[]","Biospecimen Type"
"561","decimal","True","5c351b3f-002d-444e-a1b4-0e4ad3dc21fd","Laboratory Test Result","True","BiomedicalConceptProperty_101","[]","Laboratory Test Result"
"562","boolean","True","93ab02cf-379c-437a-81f4-db7d2d1d507a","Laboratory Test Fasting Status","True","BiomedicalConceptProperty_102","[]","Laboratory Test Fasting Status"
"563","string","True","e739e4f1-d22f-493e-b9ce-8f896de2f393","Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_103","[]","Unit of Catalytic Activity Concentration"
"564","string","True","419f93ac-6a14-4fc2-9c29-2eeadc7effb9","Biospecimen Type","True","BiomedicalConceptProperty_104","[]","Biospecimen Type"
"565","decimal","True","10030b41-06c0-43ba-8df5-82eef1e9c4c2","Laboratory Test Result","True","BiomedicalConceptProperty_105","[]","Laboratory Test Result"
"566","boolean","True","bece5ed6-a5e4-437a-a58a-6f8747f3399f","Laboratory Test Fasting Status","True","BiomedicalConceptProperty_106","[]","Laboratory Test Fasting Status"
"567","string","True","35ba4e0b-734f-4dc6-b458-8e503cfc4a95","Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_107","[]","Unit of Catalytic Activity Concentration"
"568","string","True","8cfcf65c-864b-4ff8-8ee8-383fdffcb708","Biospecimen Type","True","BiomedicalConceptProperty_108","[]","Biospecimen Type"
"569","string","True","77051b06-db74-49f9-9a04-f9677dff9164","Laboratory Test Result","True","BiomedicalConceptProperty_109","[]","Laboratory Test Result"
"570","boolean","True","db505677-6782-4f4b-b8ff-92b33bcc3de9","Laboratory Test Fasting Status","True","BiomedicalConceptProperty_110","[]","Laboratory Test Fasting Status"
"571","string","True","9911a930-128d-4822-82f0-b16bc1978c2d","Unit of Concentration","True","BiomedicalConceptProperty_111","[]","Unit of Concentration"
"572","string","True","702e6a43-ffea-4e53-bd20-873245ec07e5","Biospecimen Type","True","BiomedicalConceptProperty_112","[]","Biospecimen Type"
"573","decimal","True","a4a256f1-d70f-4ff6-86f4-fa4651bc81db","Laboratory Test Result","True","BiomedicalConceptProperty_113","[]","Laboratory Test Result"
"574","boolean","True","3258c38f-fb16-43e4-91bf-1fe65c834e94","Laboratory Test Fasting Status","True","BiomedicalConceptProperty_114","[]","Laboratory Test Fasting Status"
"575","string","True","be8b2d9e-5a05-45d3-bc87-130bab9298ea","Molarity Unit","True","BiomedicalConceptProperty_115","[]","Molarity Unit"
"576","string","True","8e6bf3f0-a12b-40f0-a868-fef9efaebab6","Biospecimen Type","True","BiomedicalConceptProperty_116","[]","Biospecimen Type"
"577","decimal","True","b3f486a2-3f37-461c-acc9-c3adc8054d59","Laboratory Test Result","True","BiomedicalConceptProperty_117","[]","Laboratory Test Result"
"578","boolean","True","ea704cea-92f7-4b22-a10b-598c4bb5431c","Laboratory Test Fasting Status","True","BiomedicalConceptProperty_118","[]","Laboratory Test Fasting Status"
"579","string","True","6d685d8f-4b09-49c4-8a8c-bf3320dd1598","Molarity Unit","True","BiomedicalConceptProperty_119","[]","Molarity Unit"
"580","string","True","d1f67028-6926-4432-af2a-166598707827","Biospecimen Type","True","BiomedicalConceptProperty_120","[]","Biospecimen Type"
"581","string","True","abb0b8f3-e5ca-4627-a878-ee48098dca00","Adverse Event Verbatim Description","True","BiomedicalConceptProperty_1","[]","Adverse Event Verbatim Description"
"582","string","True","66d38385-23b9-49f0-87fc-5f3322f8e5dc","Adverse Event Dictionary Derived Term","True","BiomedicalConceptProperty_2","[]","Adverse Event Dictionary Derived Term"
"583","string","True","cbcc559b-469b-4a4b-8b35-f0d4836ae4d2","Adverse Event Category","True","BiomedicalConceptProperty_3","[]","Adverse Event Category"
"584","string","True","c54b8dff-d25a-4324-b19a-d43b5386a462","Adverse Event Subcategory","True","BiomedicalConceptProperty_4","[]","Adverse Event Subcategory"
"585","boolean","True","efb3f5f3-705e-4ebb-9d39-991f8b6574f6","Adverse Event Pre-specified","True","BiomedicalConceptProperty_5","[]","Adverse Event Pre-specified"
"586","string","True","2b9de928-b380-4437-aeb4-f1652b2bcd03","Severity of Adverse Event","True","BiomedicalConceptProperty_6","[]","Severity of Adverse Event"
"587","string","True","d64ffab1-c320-4c89-a95f-cc1815148a86","Adverse Event Toxicity Grade","True","BiomedicalConceptProperty_7","[]","Adverse Event Toxicity Grade"
"588","boolean","True","18f6df2c-9706-4e68-9789-25d2263ac6c4","Seriousness of Adverse Event","True","BiomedicalConceptProperty_8","[]","Seriousness of Adverse Event"
"589","string","True","5735b941-c7f8-414d-959e-dd54d644e034","Adverse Event Action Taken with Study Treatment","True","BiomedicalConceptProperty_9","","Adverse Event Action Taken with Study Treatment"
"590","string","True","877e9b5a-63c7-4560-846f-8b7cd997a118","Adverse Event Attribution to Product or Procedure","True","BiomedicalConceptProperty_10","[]","Adverse Event Attribution to Product or Procedure"
"591","string","True","e8b0bdf6-c30f-4298-a21f-346d617e83be","Adverse Event Pattern","True","BiomedicalConceptProperty_11","[]","Adverse Event Pattern"
"592","string","True","4dd3b9ad-5c07-4eb9-8e28-e10fc61745fd","Adverse Event Outcome","True","BiomedicalConceptProperty_12","","Adverse Event Outcome"
"593","datetime","True","394d0910-8390-4aba-a92a-635f80a6111d","Adverse Event Start Date Time","True","BiomedicalConceptProperty_13","[]","Adverse Event Start Date Time"
"594","datetime","True","37e108e4-36ed-4833-aedf-37a7728f6d30","Adverse Event End Date Time","True","BiomedicalConceptProperty_14","[]","Adverse Event End Date Time"
"595","decimal","True","a9f938bc-25c0-45bd-993c-ce2f79c7c722","Vital Signs Result","True","BiomedicalConceptProperty_15","[]","Vital Signs Result"
"596","string","True","4c818110-9f50-44a5-85d6-e35cfbebf332","Unit of Pressure","True","BiomedicalConceptProperty_16","","Unit of Pressure"
"597","string","True","e7e8009c-0758-458c-8fb8-1da3e996071c","Vital Signs Location","True","BiomedicalConceptProperty_17","[]","Vital Signs Location"
"598","string","True","7d4fc93b-e3e3-4024-a49b-18f5f6a3bb84","Vital Signs Laterality","True","BiomedicalConceptProperty_18","[]","Vital Signs Laterality"
"599","string","True","f034c117-f09b-4eda-a38b-6315398bb457","Test Method","True","BiomedicalConceptProperty_19","[]","Test Method"
"600","string","True","3a10443d-6a01-4141-adb6-9525079888e6","Vital Signs Position","True","BiomedicalConceptProperty_20","[]","Vital Signs Position"
"601","decimal","True","09b600be-d5f7-4503-893d-9f20c8bf8ebf","Vital Signs Result","True","BiomedicalConceptProperty_21","[]","Vital Signs Result"
"602","string","True","218e7bd8-3b69-4b50-88bb-353d5a858ebb","Unit of Pressure","True","BiomedicalConceptProperty_22","","Unit of Pressure"
"603","string","True","d14a8358-f437-447e-9f37-e418d047fc40","Vital Signs Location","True","BiomedicalConceptProperty_23","[]","Vital Signs Location"
"604","string","True","1b2a80dc-32ce-417f-aee5-aac47caa2bff","Vital Signs Laterality","True","BiomedicalConceptProperty_24","[]","Vital Signs Laterality"
"605","string","True","96b17011-065e-4281-b0c4-8238cfed4301","Test Method","True","BiomedicalConceptProperty_25","[]","Test Method"
"606","string","True","e97af3a5-d4ef-4d57-a659-2fdeaf663f3b","Vital Signs Position","True","BiomedicalConceptProperty_26","[]","Vital Signs Position"
"607","decimal","True","f2c6a9c0-657a-4d30-bf89-539b6c7175d8","Vital Signs Result","True","BiomedicalConceptProperty_27","[]","Vital Signs Result"
"608","string","True","dd93e133-8bbf-4cd2-b767-1e896c9bece8","Unit of Temperature","True","BiomedicalConceptProperty_28","","Unit of Temperature"
"609","string","True","b566966f-bc85-43d0-a808-d7acc466e63c","Vital Signs Location","True","BiomedicalConceptProperty_29","[]","Vital Signs Location"
"610","decimal","True","9d03bf4c-9771-47cf-a239-5683e3b0202f","Vital Signs Result","True","BiomedicalConceptProperty_30","[]","Vital Signs Result"
"611","string","True","6f570f15-0cf4-4ba0-9a83-1ce977320d98","Unit of Weight","True","BiomedicalConceptProperty_31","","Unit of Weight"
"612","decimal","True","7e9081ec-2dcf-4e8b-80a0-ce8c3a965e7a","Vital Signs Result","True","BiomedicalConceptProperty_32","[]","Vital Signs Result"
"613","string","True","4bb15206-2cbc-44e9-845d-b77f44649a93","Unit of Height","True","BiomedicalConceptProperty_33","","Unit of Height"
"614","decimal","True","e479d6ec-ec71-4d93-89c3-7a679004d333","Laboratory Test Result","True","BiomedicalConceptProperty_34","[]","Laboratory Test Result"
