"id:ID","description","uuid","definedProcedures","label","id","name","activityIsConditionalReason","activityIsConditional"
"507","","f8e77ea7-a3bc-4436-869a-d7775ca7d199","[]","","Activity_1","Informed consent","","False"
"508","","ccd09f1c-7e4e-459e-ad4c-b43df96cd00a","[]","","Activity_2","Inclusion/exclusion criteria","","False"
"509","","b625d48a-69f4-4aa3-927e-cc8266063180","[]","","Activity_3","Patient number assigned","","False"
"510","","4338235a-35e8-47df-8655-35368121157c","[]","Demographics","Activity_4","Demographics","","False"
"511","","521ca5bb-ebe9-44ea-a4e0-f243728760a3","[]","Hachinski","Activity_5","Hachinski","","False"
"512","","8e24875c-97f0-4efb-b136-068c3c492c13","[]","MMSE","Activity_6","MMSE","","False"
"513","","4044d0d9-b78f-4f25-9555-db20cf991fa7","[]","","Activity_7","Physical examination","","False"
"514","","08d5bbce-41d7-4570-98ac-0750919b8efb","[]","","Activity_8","Medical history","","False"
"515","","69ff69d0-3989-44d6-be85-05e1c1769578","[]","","Activity_9","Habits","","False"
"516","","6e40537f-b085-44ec-9cfb-8efb0c4e9dbd","[]","","Activity_10","Chest X-ray","","False"
"517","","7857f4f4-aa91-488b-95ba-014563c016ac","[]","","Activity_11","Apo E genotyping","","False"
"518","","5ab638d8-4e34-4466-9c83-9f20e4fcd524","[]","","Activity_12","Patient randomised","","False"
"519","","5fc50fd9-1cc4-4984-8f71-852556896d85","[]","Vital Signs and Temperature","Activity_13","Vital signs / Temperature","","False"
"520","","67c76548-2484-4565-a1cf-7597dd42646e","[]","","Activity_14","Ambulatory ECG placed","","False"
"521","","242d13c5-f968-4c62-b917-495f2da90e6e","[]","","Activity_15","Ambulatory ECG removed","","False"
"522","","cb8d1982-7b70-4e03-8aa5-6ce1ebea2c57","[]","","Activity_16","ECG","","False"
"523","","f695fe43-1b1a-46b9-80d4-22f8eb6361ed","[]","","Activity_17","Placebo TTS test","","False"
"524","","dc044fd2-8932-40b3-9b43-f2a53a942089","","","Activity_18","CT scan","","False"
"525","","fb3999e4-63b5-4ab6-8c6f-b8e1258c2825","[]","","Activity_19","Concomitant medications","","False"
"526","","581a66cb-2b38-4736-812d-8947b03b0fd5","[]","","Activity_20","Hematology","","False"
"527","","46be2e84-ff83-47e4-9a76-b8310147925f","[]","","Activity_21","Chemistry","","False"
"528","","661273f8-a561-4764-af22-a5084182e519","[]","","Activity_22","Uninalysis","","False"
"529","","50c38135-e51b-422a-a4af-bd12b8e51df6","[]","","Activity_23","Plasma Specimen (Xanomeline)","","False"
"530","","4d4c6c2a-ae55-44ca-a13c-0cf40db99538","[]","","Activity_24","Hemoglobin A1C","","False"
"531","","4a3a42e6-8985-4cc5-9e39-18e60a00650e","[]","Study drug record , Medications dispensed, Medications returned","Activity_25","Study drug","","False"
"532","","eaf60b6a-f28f-4b96-bd67-0a887b08a43e","[]","","Activity_26","TTS Acceptability Survey","","False"
"533","","5f9ae445-bce3-4184-8e80-90db0ac0e20d","[]","","Activity_27","ADAS-Cog","","False"
"534","","8111957e-4d97-48fe-9885-31ef6ef546a9","[]","","Activity_28","CIBIC+","","False"
"535","","04366a3b-fda6-49ee-8b21-04697545bd27","[]","","Activity_29","DAD","","False"
"536","","7081c30c-1ed5-418a-bcef-40961d50fa69","[]","","Activity_30","NPI-X","","False"
"537","","880dd2b7-617d-4a9f-8600-d013a717eeea","[]","","Activity_31","Adverse events","","False"
"538","","67ab89d0-2697-462c-89de-cfab3e2558fc","[]","","Activity_32","Check adverse events","","False"
"539","","c831ce98-29fe-4576-9fa9-8fdaae77476d","","Supine for 5 minutes","Activity_33","Supine 5min","","False"
"540","","4194b4f0-2650-406b-b9af-5cac21155dc1","[]","Blood pressure supine","Activity_34","Blood Pressure Supine","","False"
"541","","d51a6941-c33d-4ac2-a4cb-6696f5bebd72","","Stand for 3 minutes","Activity_35","Stand 3min","","False"
"542","","d50c44b2-684b-4551-aa85-fb4edf529519","[]","Blood pressure standing","Activity_36","Bood Pressure Standing","","False"
