"id:ID","description","timingWindowLower","uuid","timingValue","label","timingWindow","id","name","timingWindowUpper"
"766","Screening timing","","7f1b2af3-99f0-4422-af54-3fe504d3162f","P2W","Screening","","Timing_1","TIM1",""
"767","Pre dose timing","PT4H","3d602012-9c9b-4efa-bd52-f4996383e33a","P2D","Pre dose","-4..0 hours","Timing_2","TIM2","PT0H"
"768","Dosing anchor","","0a718d84-ac77-44e8-88be-d7859862a8e5","P1D","Dosing","","Timing_3","TIM3",""
"769","Week 2 timing","P3D","ef18593a-ad73-4222-aac1-5fe0c78c44df","P2W","Week 2","-3..3 days","Timing_4","TIM4","P3D"
"770","Week 4 timing","P3D","d8638081-72ec-4893-84b5-875a62eda53d","P4W","Week 4","-3..3 days","Timing_5","TIM5","P3D"
"771","Week 6 timing","P3D","fa964beb-8e2a-4e5e-9fd7-9d104b6e73b8","P6W","Week 6","-3..3 days","Timing_6","TIM6","P3D"
"772","Week 8 timing","P3D","6bc46d5a-4d5d-4b26-928b-66963e089eb7","P8W","Week 8","-3..3 days","Timing_7","TIM7","P3D"
"773","Week 8 at home timing","","773edf76-dc94-42c0-b6e0-cf5857c50250","P2W","Week 8 Home","","Timing_8","TIM8",""
"774","Week 12 timing","P4D","99f35d25-0106-4359-9792-13089d26c97b","P12W","Week 12","-4..4 days","Timing_9","TIM9","P4D"
"775","Week 12 at home timing","","018496bf-8abc-4524-96b7-feeddb018c2f","P2W","Week 12 Home","","Timing_10","TIM10",""
"776","Week 16 timing","P4D","9223c902-5bd1-404d-afe0-ddbbe494d1a2","P16W","Week 16","-4..4 days","Timing_11","TIM11","P4D"
"777","Week 16 at home timing","","e4faae36-0f1c-4156-9e41-218c6c14295d","P2W","Week 16 Home","","Timing_12","TIM12",""
"778","Week 20 timing","P4D","27a26616-4ff6-4f3a-9ab3-c3f60a213003","P20W","Week 20","-4..4 days","Timing_13","TIM13","P4D"
"779","Week 20 at home timing","","c4b4b9aa-3384-4ef8-ab07-c8271899ba1a","P2W","Week 20 Home","","Timing_14","TIM14",""
"780","Week 24 timing","P4D","c7e7f4d9-9c38-4022-b972-c1e12d7ab16d","P24W","Week 24","-4..4 days","Timing_15","TIM15","P4D"
"781","Week 26 timing","P3D","afdde0ae-d8c2-4386-b69c-0ec336a3fdd2","P26W","Week 26","-3..3 days","Timing_16","TIM16","P3D"
"782","Adverse Event","","389dc42d-7603-4632-a7b6-bebc6bdff715","P1D","Adverse Event","","Timing_17","TIM17",""
"783","Early Termination","","ed8a130e-60f2-4c85-832c-b155996b199f","P1D","Early Termination","","Timing_18","TIM18",""
"784","BP Anchor","","25caf3d2-5645-40af-9e5a-a9481dc954a4","PT0M","BP Anchor","","Timing_19","TIM19",""
"785","BP while Supine","","0f691e21-d9e5-4b9c-89be-54d2b686ecb6","PT5M","BP while Supine","","Timing_20","TIM20",""
"786","BP Stand Up","PT2M","e975ef16-7849-4a24-a8c4-8d916d91c7bc","PT3M","BP Stand Up","-2..0 mins","Timing_21","TIM21","PT0M"
"787","BP while standing","","5f8365ca-4907-4c00-8c08-05c8ead5d65e","PT0M","BP while standing","","Timing_22","TIM22",""
