"id:ID","description","uuid","label","text","id","name"
"480","","e8371dc1-0e90-4c78-bc3e-911ffd4c0e08","","Subject identifier","TransitionRule_1","ENCOUNTER_START_RULE_1"
"481","","e306f5c3-e734-49e1-9cd7-8a462b09fe3c","","completion of screening activities","TransitionRule_2","ENCOUNTER_START_RULE_1"
"482","","43f17e1b-932e-42bb-8cde-272cbec0c808","","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","ENCOUNTER_START_RULE_2"
"483","","46228f22-02ae-49b9-95cf-94b10abc6f3e","","subject has connection of ambulatory ECG machine removed","TransitionRule_4","ENCOUNTER_START_RULE_3"
"484","","1587b3b7-738b-46e9-a53a-65777acc3082","","Radomized","TransitionRule_5","ENCOUNTER_START_RULE_3"
"485","","b7d635df-2be1-46ba-bd9e-0bfd66465467","","End of treatment","TransitionRule_6","ENCOUNTER_START_RULE_12"
"486","","628e25b9-164a-4293-b467-1d4b6446cde5","","Informed consent","TransitionRule_7","ELEMENT_START_RULE_1"
"487","","8393ad5d-6463-4881-b20b-df3e64da576b","","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","ELEMENT_END_RULE_1"
"488","","0d7e219b-59a4-429a-b963-7b77095e01c9","","Administration of first dose","TransitionRule_9","ELEMENT_START_RULE_2"
"489","","716a5b60-c5d5-4696-98bd-390e0588aa9a","","End of last scheduled visit on study (including early termination)","TransitionRule_14","ELEMENT_START_RULE_7"
"490","","a6fee01b-d513-48a4-b33c-82a2da24c213","","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","ELEMENT_END_RULE_7"
"491","","a743cbe9-df8d-4a51-ad4e-19836ef83322","","Administration of first dose","TransitionRule_10","ELEMENT_START_RULE_3"
"492","","80e7bd54-afa9-4da8-98d5-befdf8ddb87e","","Randomized","TransitionRule_11","ELEMENT_START_RULE_4"
"493","","cecbbe22-182a-41a7-bd3a-1d42c2fc1c08","","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","ELEMENT_START_RULE_5"
"494","","bb6eb678-e779-495c-8983-e67bfabda128","","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","ELEMENT_START_RULE_6"
