"id:ID","description","transitionStartRule","uuid","label","transitionEndRule","id","name"
"495","Screening encounter","","499166d5-92f0-4b2a-9406-0917cfdee5bf","Screening 1","","Encounter_1","E1"
"496","Screening encounter - Ambulatory ECG Placement","","6c51b9ed-371f-44e6-bc25-05b97e8fd84c","Screening 2","","Encounter_2","E2"
"497","Baseline encounter - Ambulatory ECG Removal","","b412a91d-623e-4bff-9c54-12763c865eac","Baseline","","Encounter_3","E3"
"498","Day 14","","fad2fb1c-06bf-470e-905f-e8228ab37fdc","Week 2","","Encounter_4","E4"
"499","Day 28","","618cc24c-0509-47df-9df3-d2c4c978ec2c","Week 4","","Encounter_5","E5"
"500","Day 42","","db14c22f-cf16-4416-813f-cb6913e0ed00","Week 6","","Encounter_6","E7"
"501","Day 56","","08c51742-7d66-4cf2-a128-e4856a8ff464","Week 8","","Encounter_7","E8"
"502","Day 84","","11fe2e06-cc88-445a-a8fe-63f6821df432","Week 12","","Encounter_8","E9"
"503","Day 112","","1ed4fbcb-c825-4122-8d3d-cb7f5f2a5711","Week 16","","Encounter_9","E10"
"504","Day 140","","fe569aaa-233f-4dde-873a-d865d1390a0d","Week 20","","Encounter_10","E11"
"505","Day 168","","3b644ce1-e224-40f4-a0d9-c48019ca062b","Week 24","","Encounter_11","E12"
"506","Day 182","","07c2e0d8-9235-4618-bc5b-c8eea8ea4ba9","Week 26","","Encounter_12","E13"
