"id:ID","codeSystem","decode","uuid","code","id","codeSystemVersion"
"1","http://www.cdisc.org","Interventional Study","6a2486aa-8c72-4ab2-9599-5e93caa22740","C98388","Code_1","2023-09-29"
"2","http://www.cdisc.org","Phase II Trial","0ba31f83-87f9-44ac-813a-915c37bdd725","C15601","Code_2","2023-09-29"
"3","http://www.cdisc.org","Sponsor Approval Date","a981f028-1a89-4b53-b89d-704d9a30e81b","C132352","Code_5","2023-09-29"
"4","http://www.cdisc.org","Global","4e11943d-256e-4822-9279-f8b43a9398ac","C68846","Code_6","2023-09-29"
"5","http://www.cdisc.org","IRB/IEC Feedback","23adf6dc-983a-4f84-b464-9b2c2953485a","C99904x3","Code_54","2023-09-29"
"6","http://www.cdisc.org","Other","de62fc0f-c898-437b-8572-cf944f684cb7","C17649","Code_55","2023-09-29"
"7","http://www.cdisc.org","Region","a814c379-25dc-431f-a44e-68dc59c2911c","C41129","Code_57","2023-09-29"
"8","ISO 3166 1 alpha3","Europe","7f9f8ec7-6626-4140-8ab5-68c1416aec2a","150","Code_56","2020-08"
"9","http://www.cdisc.org","Country","3e24bd98-3261-4f9b-98a7-3b3079778c87","C25464","Code_59","2023-09-29"
"10","ISO 3166 1 alpha3","Denmark","f5fd91b6-1e8e-4d16-8e61-653a1aec113c","DNK","Code_58","2020-08"
"11","SPONSOR","Eli Lilly","c641280d-c071-4871-a034-9df0e48f159a","PHARMA","Code_3","12"
"12","http://www.cdisc.org","Clinical Study Sponsor","c244375b-553e-4aa4-a704-b2ec0c7ed599","C70793","Code_60","2023-09-29"
"13","ISO 3166 1 alpha3","United States of America","68ce646b-e289-4d6e-a7ee-4e456f51c27a","USA","Code_61","2020-08"
"14","http://www.cdisc.org","Study Registry","42ea1d72-c8fe-4dbd-9713-d3946a8b62b0","C93453","Code_62","2023-09-29"
"15","http://www.cdisc.org","Treatment Study","a75bded8-03b9-4258-a33f-afac9c8c9001","C49656","Code_120","2023-09-29"
"16","http://www.cdisc.org","Efficacy Study","87b2da4d-f774-4c29-8686-5673a886cbcf","C49666","Code_121","2023-09-29"
"17","http://www.cdisc.org","Safety Study","ee5a8c98-9960-4ff9-a260-5e96de71d753","C49667","Code_122","2023-09-29"
"18","http://www.cdisc.org","Pharmacokinetic Study","2568f380-18c1-4704-bb41-c8a24008ba35","C49663","Code_123","2023-09-29"
"19","SPONSOR","Mild to Moderate Alzheimer\'s Disease","db270324-7792-49fc-bd33-306a98375360","MILD_MOD_ALZ","Code_117","12"
"20","SNOMED","Alzheimer\'s disease","dc9b928d-ed59-4f63-93d6-cfbc599349d5","26929004","Code_118","January 31, 2018"
"21","http://www.cdisc.org","Parallel Study","9981d256-dab6-475d-b585-ec49808757ea","C82639","Code_124","2023-09-29"
"22","http://www.cdisc.org","Visit","81edff1d-f76c-47f5-b1be-55d6b83e9ed1","C25716","Code_66","2023-09-29"
"23","http://www.cdisc.org","Clinic","3f4a46bf-4e83-4b58-86a8-9ba978a51d0d","C51282","Code_67","2023-09-29"
"24","http://www.cdisc.org","In Person","d8b7ce39-467e-44ce-8352-e8b4a5ba17ff","C175574","Code_68","2023-09-29"
"25","http://www.cdisc.org","Visit","ea66c6fb-63c3-4b5d-945b-33409a83fe44","C25716","Code_69","2023-09-29"
"26","http://www.cdisc.org","Clinic","82fd5271-05f1-4917-8cc0-d1791f4aba66","C51282","Code_70","2023-09-29"
"27","http://www.cdisc.org","In Person","53c5f6ee-ccc7-4b22-a5dd-bb5bd96c9f87","C175574","Code_71","2023-09-29"
"28","http://www.cdisc.org","Visit","907f5f5a-5e96-45a7-b91a-383c46415da5","C25716","Code_72","2023-09-29"
"29","http://www.cdisc.org","Clinic","2f440c4c-c07b-4623-b32d-011a8c19ddfc","C51282","Code_73","2023-09-29"
"30","http://www.cdisc.org","In Person","07b0f5af-a6f0-4f77-8cf6-100918588056","C175574","Code_74","2023-09-29"
"31","http://www.cdisc.org","Visit","ce2293ec-3cdc-43a6-9a71-da75656c28fd","C25716","Code_75","2023-09-29"
"32","http://www.cdisc.org","Clinic","26a17ee5-c7bd-41cd-bf02-1c1b62e2ca29","C51282","Code_76","2023-09-29"
"33","http://www.cdisc.org","In Person","bfde0742-0e93-4ccd-a432-22d94907b679","C175574","Code_77","2023-09-29"
"34","http://www.cdisc.org","Visit","05ef715c-9dbc-42ea-ab2d-1b7b47ddb10e","C25716","Code_78","2023-09-29"
"35","http://www.cdisc.org","Clinic","5b5580cf-b40c-4b33-9693-f60ee59d4c8a","C51282","Code_79","2023-09-29"
"36","http://www.cdisc.org","In Person","22028479-e7da-4869-9386-ce9d2f8de0dd","C175574","Code_80","2023-09-29"
"37","http://www.cdisc.org","Visit","a7322868-0c29-43ee-853c-2efa85b9c1f6","C25716","Code_81","2023-09-29"
"38","http://www.cdisc.org","Clinic","0e47854c-727d-4259-b295-754ff0085dab","C51282","Code_82","2023-09-29"
"39","http://www.cdisc.org","In Person","263768c2-de7e-4df1-8cb3-e5a90ad0a186","C175574","Code_83","2023-09-29"
"40","http://www.cdisc.org","Visit","8555a9f9-0f0c-42c2-9cb0-8e1af9b5e747","C25716","Code_84","2023-09-29"
"41","http://www.cdisc.org","Clinic","5995173f-2ff8-4f42-95af-2fa84ce8dfa4","C51282","Code_85","2023-09-29"
"42","http://www.cdisc.org","In Person","6fd31be2-e94d-4693-b6e2-c1512bc5dfeb","C175574","Code_86","2023-09-29"
"43","http://www.cdisc.org","Telephone Call","4cdbf85a-438d-48a0-9caa-d4c372d1ffde","C171537","Code_87","2023-09-29"
"44","http://www.cdisc.org","Visit","46934177-5cff-4380-879d-034ebb6ac939","C25716","Code_88","2023-09-29"
"45","http://www.cdisc.org","Clinic","b461da76-0992-4bd3-bbf3-e37bdf9c2950","C51282","Code_89","2023-09-29"
"46","http://www.cdisc.org","In Person","e64838f5-3d9a-4f67-9fd4-71dbd3f4c92d","C175574","Code_90","2023-09-29"
"47","http://www.cdisc.org","Telephone Call","5c32e030-d7df-4bd5-8cb4-f2dbe676c39b","C171537","Code_91","2023-09-29"
"48","http://www.cdisc.org","Visit","bb2c3631-6daf-42b5-847c-fc67c250ab7c","C25716","Code_92","2023-09-29"
"49","http://www.cdisc.org","Clinic","acf267d9-cc51-4bd8-8656-d7c80cda1fc6","C51282","Code_93","2023-09-29"
"50","http://www.cdisc.org","In Person","c7ef2722-faeb-434c-80c6-7ff7509ca4bc","C175574","Code_94","2023-09-29"
"51","http://www.cdisc.org","Telephone Call","06b0be37-fb6c-4042-8d10-bd62cbe1208e","C171537","Code_95","2023-09-29"
"52","http://www.cdisc.org","Visit","b29ad25e-55c2-4a36-ab65-baa34d50da38","C25716","Code_96","2023-09-29"
