"bcSynonyms","name","id","bcReference","label","uuid:ID"
"['Temperature']","Body Temperature","BiomedicalConcept_18","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","02f8b2dd-3973-425e-8765-7b9131ddc6d8"
"['Weight']","Body Weight","BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","e3bec5b2-b09a-4636-b62d-640ed412c1ef"
"['Height']","Body Height","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","148d13d8-9d14-49dd-88d9-da8f81f11570"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_21","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","fc187bd4-1d1b-41b4-8a7d-4edaf843697e"
"['Albumin']","Albumin Measurement","BiomedicalConcept_22","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","b87d0c50-94f6-4973-b62d-07e010cb4684"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","10c8de03-f216-44ac-b0b3-cdb01253966f"
"['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_24","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","33fa4b02-fda2-4195-9f81-d007ec7af800"
"['Creatinine']","Creatinine Measurement","BiomedicalConcept_25","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","4695bead-6157-45d1-af8d-6d01ea0047d0"
"['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","bfe9235c-4194-467e-bed0-88c309dc4d98"
"['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_27","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","c16f6f91-5c73-45c5-b55d-83d95005f4bf"
"['Adverse Event Reported Term', 'AETERM']","Adverse Event","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","523822a8-0e03-4aa0-bb5a-6dc2acbdd242"
"['SYSBP']","Systolic Blood Pressure","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","78c96b89-4e65-459a-bd73-c1b8fe129f80"
