"bcPropertyDatatype","name","id","bcPropertyEnabled","label","uuid:ID","bcPropertyRequired"
"decimal","Vital Signs Result","BiomedicalConceptProperty_86","True","Vital Signs Result","f577a65b-b02b-44fd-b850-0aa702114646","True"
"string","Unit of Temperature","BiomedicalConceptProperty_87","True","Unit of Temperature","ec2782c6-174a-432e-ae77-93480a45cc37","True"
"string","Vital Signs Location","BiomedicalConceptProperty_88","True","Vital Signs Location","d6157ead-e704-4c3b-bb13-01fa84065946","True"
"decimal","Vital Signs Result","BiomedicalConceptProperty_89","True","Vital Signs Result","b04bd06c-6101-4ab3-8bc4-9267c30b03da","True"
"string","Unit of Weight","BiomedicalConceptProperty_90","True","Unit of Weight","d17ea8a2-abef-417f-9e43-75115c541f62","True"
"decimal","Vital Signs Result","BiomedicalConceptProperty_91","True","Vital Signs Result","26d6683f-e8be-408e-a5e7-1e6e4bc69aea","True"
"string","Unit of Height","BiomedicalConceptProperty_92","True","Unit of Height","44ff57d8-b7d9-4a7d-8560-a212da3aabbc","True"
"decimal","Laboratory Test Result","BiomedicalConceptProperty_93","True","Laboratory Test Result","2ba2a91c-aa02-4236-90f8-24fbc5d1f96d","True"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_94","True","Laboratory Test Fasting Status","1060b504-bc5c-4627-82ad-8a487c0339ae","True"
"string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_95","True","Unit of Catalytic Activity Concentration","04ffee2f-2917-491d-93b5-fabb3414b652","True"
"string","Biospecimen Type","BiomedicalConceptProperty_96","True","Biospecimen Type","d2b41363-85a8-40f0-b374-7df635a3605d","True"
"string","Laboratory Test Result","BiomedicalConceptProperty_97","True","Laboratory Test Result","ecce7d8b-c62b-4738-8f87-491cb169a511","True"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_98","True","Laboratory Test Fasting Status","ab4dff34-238f-4725-8be2-b3690c9075a7","True"
"string","Unit of Concentration","BiomedicalConceptProperty_99","True","Unit of Concentration","6f4f6253-1690-41b9-a3a0-027ff417eb91","True"
"string","Biospecimen Type","BiomedicalConceptProperty_100","True","Biospecimen Type","909d6323-ba6e-44c3-9004-a7442727dcd5","True"
"decimal","Laboratory Test Result","BiomedicalConceptProperty_101","True","Laboratory Test Result","11e81721-4634-45ff-b0a3-723de4aeadc8","True"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_102","True","Laboratory Test Fasting Status","eef1fa5a-3a5d-4782-95c3-f5db779f4363","True"
"string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_103","True","Unit of Catalytic Activity Concentration","332c8b14-09bf-4f2b-becc-5cd03c39e672","True"
"string","Biospecimen Type","BiomedicalConceptProperty_104","True","Biospecimen Type","f983d877-bb46-4ee9-90f1-b6c777003692","True"
"decimal","Laboratory Test Result","BiomedicalConceptProperty_105","True","Laboratory Test Result","0820d3bc-5d0d-4a66-bb2b-1c5b868e843f","True"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_106","True","Laboratory Test Fasting Status","a06f5c88-c6ea-4ee9-b9aa-b3d401017e8b","True"
"string","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","True","Unit of Catalytic Activity Concentration","06cfe9d7-ecf5-470c-8c48-fa7249900155","True"
"string","Biospecimen Type","BiomedicalConceptProperty_108","True","Biospecimen Type","8878c9de-09e2-4be0-9348-c7470f671222","True"
"string","Laboratory Test Result","BiomedicalConceptProperty_109","True","Laboratory Test Result","8a4d90b2-c738-4188-9326-fcf2e57d6066","True"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_110","True","Laboratory Test Fasting Status","3f6a1787-a332-4682-a8b2-a09e65c3e7c9","True"
"string","Unit of Concentration","BiomedicalConceptProperty_111","True","Unit of Concentration","6191b360-466f-4da3-b18e-c1a53a3f4600","True"
"string","Biospecimen Type","BiomedicalConceptProperty_112","True","Biospecimen Type","afc68a18-021b-4d66-889a-c6d0e21af427","True"
"decimal","Laboratory Test Result","BiomedicalConceptProperty_113","True","Laboratory Test Result","dfa38f0a-c5f5-4a07-b2ad-88d1ccb8ce8e","True"
"boolean","Laboratory Test Fasting Status","BiomedicalConceptProperty_114","True","Laboratory Test Fasting Status","038e829e-82ad-4956-9bec-249241a60f06","True"
"string","Molarity Unit","BiomedicalConceptProperty_115","True","Molarity Unit","a2df1e85-b420-4be9-8fdd-8e78e86ebe7b","True"
