"name","sectionNumber","sectionTitle","id","text","uuid:ID"
"ROOT","0","Root","NarrativeContent_1","","969ef0e5-2da3-41bc-acb9-0609c9e5e021"
"SECTION 0","0","TITLE PAGE","NarrativeContent_2","<div><usdm:section name=""M11-title-page""></div>","69da956f-bdee-4554-8e5a-737f661787ea"
"SECTION 1","1","PROTOCOL SUMMARY","NarrativeContent_3","<div></div>","a37c0d3b-d804-4c6f-abd3-c4de02015101"
"SECTION 1.1","1.1","Protocol Synopsis","NarrativeContent_4","<div></div>","46701e1a-6269-4c18-91c7-04cef56a0e66"
"SECTION 1.2","1.2","Trial Schema","NarrativeContent_5","<div></div>","1fd0b8cb-45e8-4fd1-871e-9596e74b0eb3"
"SECTION 1.3","1.3","Schedule of Activities","NarrativeContent_6","<div></div>","244afb34-2362-42e2-994c-0325890bdf72"
"SECTION 2","2","INTRODUCTION","NarrativeContent_7","<div></div>","2ad055e7-4909-48ce-8088-edc14494c09c"
"SECTION 2.1","2.1","Purpose of Trial","NarrativeContent_8","<div></div>","ce7769e1-df73-4b95-9b66-35acda492be0"
"SECTION 2.2","2.2","Summary of Benefits and Risks","NarrativeContent_9","<div></div>","15b50a52-7b9a-4d49-8ea0-1dd5a0297660"
"SECTION 3","3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_10","<div></div>","239346c8-fa2f-47aa-9110-ac91b67e6fb1"
"SECTION 3.1","3.1","Primary Objectives","NarrativeContent_11","<div><usdm:section name=""M11-objective-endpoints""></div>","61c2be08-e733-4da4-a28c-06aeab721622"
"SECTION 4","4","TRIAL DESIGN","NarrativeContent_12","<div></div>","c026933b-69e4-41a1-a6e7-3b23da88daa6"
"SECTION 4.1","4.1","Description of Trial Design","NarrativeContent_13","<div></div>","7e94f1b6-603c-4c8f-a8c9-38c8dc59d702"
"SECTION 4.1.1","4.1.1","Participant Input into Design","NarrativeContent_14","<div></div>","a1963155-4f5b-4f13-bcae-8055de57ceab"
"SECTION 4.2","4.2","Rationale for Trial Design","NarrativeContent_15","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","3fc94c22-2cf2-45bf-adf3-aac850e4dcd6"
"SECTION 4.2.1","4.2.1","Rationale for Comparator","NarrativeContent_16","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","a6510187-0526-4e83-95ec-252ae20a5611"
"SECTION 4.2.2","4.2.2","Rationale for Adaptive or Novel Trial Design","NarrativeContent_17","<div></div>","4e04ef94-9ab8-4ee0-acab-9398b641fbfd"
"SECTION 4.2.3","4.2.3","Other Trial Design Considerations","NarrativeContent_18","<div></div>","5e6fdd9f-86ad-44be-8c43-ad499f9bd9ab"
"SECTION 4.3","4.3","Access to Trial Intervention After End of Trial","NarrativeContent_19","<div></div>","dd2a0b77-219c-4f09-90e2-7059a77c00cb"
"SECTION 4.4","4.4","Start of Trial and End of Trial","NarrativeContent_20","<div></div>","e097eda9-1f4c-4590-bf71-57d82c270c71"
"SECTION 5","5","TRIAL POPULATION","NarrativeContent_21","<div></div>","8b756872-72dc-49ca-81da-acdc90a91dde"
"SECTION 5.1","5.1","Selection of Trial Population","NarrativeContent_22","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","18a2c35e-43da-46b3-8db1-7395bebfb273"
"SECTION 5.2","5.2","Rationale for Trial Population","NarrativeContent_23","<div></div>","f4581ca8-9e5f-492c-b0a5-5d0ce9b0eedc"
"SECTION 5.3","5.3","Inclusion Criteria","NarrativeContent_24","<div><usdm:section name=""M11-inclusion""></div>","d0b02450-9e6b-468a-a9b3-90ee71ea77f0"
"SECTION 5.4","5.4","Exclusion Criteria","NarrativeContent_25","<div><usdm:section name=""M11-exclusion""></div>","0aeb30da-3f88-4182-a8d0-1cc6fdcdad5b"
"SECTION 5.5","5.5","Lifestyle Considerations","NarrativeContent_26","<div></div>","2d6637d3-eef7-4c39-b7b5-e7baa8fda04b"
"SECTION 5.5.1","5.5.1","Meals and Dietary Restrictions","NarrativeContent_27","<div></div>","590dd0d8-421d-4833-8af6-e28dd5844be6"
"SECTION 5.5.2","5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent_28","<div><p>Not applicable</p></div>","e2548883-dc1e-4c25-8931-bb1296507f79"
"SECTION 5.5.3","5.5.3","Physical Activity","NarrativeContent_29","<div></div>","d5b32b81-645e-42c6-9752-2af7d24d9477"
"SECTION 5.5.4","5.5.4","Other Activity","NarrativeContent_30","<div></div>","826ff050-2e5b-4a6c-bcce-6130e83bd143"
"SECTION 5.6","5.6","Screen Failures","NarrativeContent_31","<div></div>","fd49f35b-2fa4-4bc6-9914-2719d55dd2fd"
"SECTION 6","6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent_32","<div></div>","b652458e-3d18-4fa1-9bcc-a2486d107eb2"
"SECTION 6.1","6.1","Description of Trial Intervention","NarrativeContent_33","<div></div>","810db252-2d37-435c-ab75-f712dd989787"
"SECTION 6.2","6.2","Rationale for Trial Intervention","NarrativeContent_34","<div></div>","941d2143-1040-4b32-b1d8-4ee475be66fa"
"SECTION 6.3","6.3","Dosing and Administration","NarrativeContent_35","<div></div>","b2919acb-994a-4f86-b1fd-97a953d75047"
"SECTION 6.3.1","6.3.1","Trial Intervention Dose Modification","NarrativeContent_36","<div></div>","f319e5d5-dea1-4a52-b470-689918109dce"
"SECTION 6.4","6.4","Treatment of Overdose","NarrativeContent_37","<div></div>","7b92df25-a297-4c59-b66a-794e95328210"
