"decode","codeSystemVersion","id","code","codeSystem","uuid:ID"
"Interventional Study","2023-09-29","Code_1","C98388","http://www.cdisc.org","7e2691f7-a319-4997-9d00-35abdf1ff4e7"
"Phase II Trial","2023-09-29","Code_2","C15601","http://www.cdisc.org","7411dda3-efff-4cac-b98a-f5ee468bf102"
"Sponsor Approval Date","2023-09-29","Code_5","C132352","http://www.cdisc.org","1e55c64d-ae67-4213-90d8-c0721f3605ed"
"Global","2023-09-29","Code_6","C68846","http://www.cdisc.org","91a6393a-4191-451f-8b8c-e566e6f5cdcc"
"IRB/IEC Feedback","2023-09-29","Code_54","C99904x3","http://www.cdisc.org","b940ac53-2369-43cb-80a4-be68e7911ce2"
"Other","2023-09-29","Code_55","C17649","http://www.cdisc.org","b97af5b6-22bf-4fa4-9de6-0bea9151d6c8"
"Region","2023-09-29","Code_57","C41129","http://www.cdisc.org","c8de7d7f-c52e-4751-a50c-b6d396db277b"
"Europe","2020-08","Code_56","150","ISO 3166 1 alpha3","9b7f141c-6e08-499f-910b-481b2d47b768"
"Eli Lilly","12","Code_3","PHARMA","SPONSOR","00f2cba5-8dd0-4f7b-8ab8-3ef007c0c732"
"Clinical Study Sponsor","2023-09-29","Code_58","C70793","http://www.cdisc.org","53638765-066e-4513-9e87-b8bb8da572f7"
"United States of America","2020-08","Code_59","USA","ISO 3166 1 alpha3","c2339a8e-f22d-4ad9-954c-b80d0b0992f6"
"Study Registry","2023-09-29","Code_60","C93453","http://www.cdisc.org","7ca0e472-9571-4002-828a-b9849422e8fb"
"Treatment Study","2023-09-29","Code_118","C49656","http://www.cdisc.org","00b8e0b6-1245-4962-91d3-6de8dab92ac8"
"Efficacy Study","2023-09-29","Code_119","C49666","http://www.cdisc.org","1b67395f-d2d5-4ab5-b2d4-c36f62c13339"
"Safety Study","2023-09-29","Code_120","C49667","http://www.cdisc.org","38c0bf17-68fb-43c2-a2bd-9543d281c12a"
"Pharmacokinetic Study","2023-09-29","Code_121","C49663","http://www.cdisc.org","53fded14-4d3e-4d09-9927-0d4d478ef10b"
"Mild to Moderate Alzheimer\'s Disease","12","Code_115","MILD_MOD_ALZ","SPONSOR","17cc00f5-d459-4032-8ef0-3a08a72c3024"
"Alzheimer\'s disease","January 31, 2018","Code_116","26929004","SNOMED","b4cc5177-19c1-4eb7-8c95-d0d8415eff9c"
"Parallel Study","2023-09-29","Code_122","C82639","http://www.cdisc.org","df41ea07-4c94-4b92-9678-e39993f650c5"
"Visit","2023-09-29","Code_64","C25716","http://www.cdisc.org","2b1b8d0b-0cb4-4853-afec-830042ea0c50"
"Clinic","2023-09-29","Code_65","C51282","http://www.cdisc.org","8c756592-95a8-40ba-a224-5eb806f81702"
"In Person","2023-09-29","Code_66","C175574","http://www.cdisc.org","ac00dee1-8e59-4c9b-8c8e-d537c838bfb8"
"Visit","2023-09-29","Code_67","C25716","http://www.cdisc.org","50184db5-a3ae-4443-91a4-8d612af61dce"
"Clinic","2023-09-29","Code_68","C51282","http://www.cdisc.org","71ce1203-2a04-4a82-972f-911457b56a77"
"In Person","2023-09-29","Code_69","C175574","http://www.cdisc.org","1956fbbb-2da7-450e-b5eb-31dae6f7c5a1"
"Visit","2023-09-29","Code_70","C25716","http://www.cdisc.org","37822ffa-8bb9-4931-9649-424bc34f164c"
"Clinic","2023-09-29","Code_71","C51282","http://www.cdisc.org","6f31f7a9-564d-415e-af97-c1765376f495"
"In Person","2023-09-29","Code_72","C175574","http://www.cdisc.org","b722e1ad-f3e0-498e-b60e-93781b631797"
"Visit","2023-09-29","Code_73","C25716","http://www.cdisc.org","81a5086f-0bc6-4b16-bd60-1044be02148f"
"Clinic","2023-09-29","Code_74","C51282","http://www.cdisc.org","23c4952d-fcfb-444e-b357-5fbee0faacb0"
"In Person","2023-09-29","Code_75","C175574","http://www.cdisc.org","eebb3a53-074c-4de0-b207-fa9bdcc6378f"
"Visit","2023-09-29","Code_76","C25716","http://www.cdisc.org","ffe7e5e8-5a11-4d4b-b3a4-644f60ae571c"
"Clinic","2023-09-29","Code_77","C51282","http://www.cdisc.org","33261a31-5820-42b8-9fa8-8713b8423c03"
"In Person","2023-09-29","Code_78","C175574","http://www.cdisc.org","9b80c683-e508-427d-ab1f-044360e85466"
"Visit","2023-09-29","Code_79","C25716","http://www.cdisc.org","8765f844-509b-4aac-889f-23aeaee01dc5"
"Clinic","2023-09-29","Code_80","C51282","http://www.cdisc.org","53dc4297-f9de-42a0-9623-95025d26a27a"
