"description","name","id","label","uuid:ID"
"Screening encounter","E1","Encounter_1","Screening 1","bb5f63e4-bc5a-4bf7-9070-b69e9491421b"
"Screening encounter - Ambulatory ECG Placement","E2","Encounter_2","Screening 2","e6f828f7-8f22-4bc0-92ba-dd7bd5ed1915"
"Baseline encounter - Ambulatory ECG Removal","E3","Encounter_3","Baseline","61906612-b561-42e8-bea1-fab5d2edb199"
"Day 14","E4","Encounter_4","Week 2","56ce11e7-8035-460f-9520-650d8c372dd5"
"Day 28","E5","Encounter_5","Week 4","fc55c290-7b0c-4497-9a8d-19c97a888c52"
"Day 42","E7","Encounter_6","Week 6","f673b123-7e02-4400-b15d-17433da37537"
"Day 56","E8","Encounter_7","Week 8","eb2698a0-1ec2-4f54-9a29-5d2ce03fcc37"
"Day 84","E9","Encounter_8","Week 12","4054c2e0-33f5-42fb-b394-d5a63ad1a556"
"Day 112","E10","Encounter_9","Week 16","cd37b163-5f88-4f06-b9bb-1f91bbdbc5ac"
"Day 140","E11","Encounter_10","Week 20","b47cf9fd-674b-41f6-8f0f-90e38166273e"
"Day 168","E12","Encounter_11","Week 24","c7f39451-acac-4f7e-bae0-9d7e753309df"
"Day 182","E13","Encounter_12","Week 26","d3e33ba7-98e0-4856-b0dd-878a0a9a04df"
