"name","text","uuid:ID","id"
"ENCOUNTER_START_RULE_1","Subject identifier","9a3ed1ed-b0b5-4137-819d-ed4e99de4c0a","TransitionRule_1"
"ENCOUNTER_START_RULE_1","completion of screening activities","20b4f5e6-1336-4efe-a497-f26a2ee2baab","TransitionRule_2"
"ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","f8ac7e88-aa54-4d71-95ef-d4a1e053658d","TransitionRule_3"
"ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","425ffdc9-f2b0-49f8-9596-6b8e1eae931e","TransitionRule_4"
"ENCOUNTER_START_RULE_3","Radomized","c645e1c4-d6ad-4857-bd45-dda20d2b25ba","TransitionRule_5"
"ENCOUNTER_START_RULE_12","End of treatment","9c799a32-b63e-411a-bfd8-9712837d7ee3","TransitionRule_6"
"ELEMENT_START_RULE_1","Informed consent","196c2d34-2d3f-40f2-896d-af7119dc7739","TransitionRule_7"
"ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","2236f81a-f894-46da-83b9-f8375c458014","TransitionRule_8"
"ELEMENT_START_RULE_2","Administration of first dose","b78bc636-c689-4ea2-90f3-0ac31044ca05","TransitionRule_9"
"ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","44b491a5-5124-4d4e-90f3-d900d63e26e7","TransitionRule_14"
"ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","272ca24e-8975-497f-9aed-c8ce21642f99","TransitionRule_15"
"ELEMENT_START_RULE_3","Administration of first dose","c5d33ca5-71a7-4ec5-ad1d-f19ad2f5b3ff","TransitionRule_10"
"ELEMENT_START_RULE_4","Randomized","fcf404c1-3dfe-483e-a109-a52e8ebf737f","TransitionRule_11"
"ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","eb52c80a-335f-4a94-95e5-4ed1da117a2a","TransitionRule_12"
"ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","9ec4dc00-1f5e-43d0-841c-3801ceefe147","TransitionRule_13"
