"timingValue","timingWindowUpper","description","name","id","timingWindow","label","uuid:ID","timingWindowLower"
"P2W","","Screening timing","TIM1","Timing_1","","Screening","1ca31ade-a94c-40e0-a0d3-7a886c7b7efa",""
"P2D","PT0H","Pre dose timing","TIM2","Timing_2","-4..0 hours","Pre dose","6fcc30b8-2b49-4ade-8f13-9dbdedbf8ab6","PT4H"
"P1D","","Dosing anchor","TIM3","Timing_3","","Dosing","73c998c6-b71c-4f50-b5d2-3f0a78e34dc6",""
"P2W","P3D","Week 2 timing","TIM4","Timing_4","-3..3 days","Week 2","e7127316-f13c-410d-bf89-b5280746f6eb","P3D"
"P4W","P3D","Week 4 timing","TIM5","Timing_5","-3..3 days","Week 4","ecabfb81-6329-442f-834e-b3f66c2ca40e","P3D"
"P6W","P3D","Week 6 timing","TIM6","Timing_6","-3..3 days","Week 6","663cd16d-e209-4789-826e-1cf4d34689ca","P3D"
"P8W","P3D","Week 8 timing","TIM7","Timing_7","-3..3 days","Week 8","ae155b54-0a2d-490b-8dec-51cd8fcc1125","P3D"
"P2W","","Week 8 at home timing","TIM8","Timing_8","","Week 8 Home","f81b6b4c-ba8a-4857-83df-414af5a34b4d",""
"P12W","P4D","Week 12 timing","TIM9","Timing_9","-4..4 days","Week 12","ab5164fd-8f8a-4267-9631-f38c2451ce7d","P4D"
"P2W","","Week 12 at home timing","TIM10","Timing_10","","Week 12 Home","4501e41c-fa34-48d4-8993-d4c5642d9fd8",""
"P16W","P4D","Week 16 timing","TIM11","Timing_11","-4..4 days","Week 16","4fa31406-5bba-425d-b89c-33594e5318f5","P4D"
"P2W","","Week 16 at home timing","TIM12","Timing_12","","Week 16 Home","2f8009e6-86c8-43d8-94ba-041e6cc4a567",""
"P20W","P4D","Week 20 timing","TIM13","Timing_13","-4..4 days","Week 20","9384be7a-1699-46c2-aaa1-faeafe18a115","P4D"
"P2W","","Week 20 at home timing","TIM14","Timing_14","","Week 20 Home","80fd052d-44c9-4e74-9a41-d88703299606",""
"P24W","P4D","Week 24 timing","TIM15","Timing_15","-4..4 days","Week 24","11dc8c3b-83b9-4ea0-a7e8-c546ced83c3d","P4D"
"P26W","P3D","Week 26 timing","TIM16","Timing_16","-3..3 days","Week 26","ab511360-2ca4-49d0-9961-33d633ec4901","P3D"
"P1D","","Adverse Event","TIM17","Timing_17","","Adverse Event","856b5588-b257-4b94-8ef6-cae23b7d7f67",""
"P1D","","Early Termination","TIM18","Timing_18","","Early Termination","0941ee4e-a243-4db9-afbe-ac11bd15a9e0",""
"PT0M","","BP Anchor","TIM19","Timing_19","","BP Anchor","4a8482d1-53cf-4a76-84ce-c38fb13e2b12",""
"PT5M","","BP while Supine","TIM20","Timing_20","","BP while Supine","51728dda-30bb-469d-9a3f-5d8a56736fbe",""
"PT3M","PT0M","BP Stand Up","TIM21","Timing_21","-2..0 mins","BP Stand Up","4b465ffe-e92a-4215-8dcf-2ecb0ae2ab2b","PT2M"
"PT0M","","BP while standing","TIM22","Timing_22","","BP while standing","17c1d81d-65d2-4c1a-bbf9-b53b698652e7",""
