"uuid:ID","id","label","bcReference","bcSynonyms","name"
"d0df5e3b-58ce-441a-99dd-b37eec8dcd1c","BiomedicalConcept_18","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","Body Temperature"
"25528421-0d96-4f84-85da-d5f2d4b83a53","BiomedicalConcept_19","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","Body Weight"
"d908f56d-d36c-4374-a40c-b026cf6307b4","BiomedicalConcept_20","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","Body Height"
"63db99d2-c690-44f7-bc72-535c091d302b","BiomedicalConcept_21","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","Alanine Aminotransferase Measurement"
"74d447ce-d3fa-49bf-b12a-b7db202635c3","BiomedicalConcept_22","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","Albumin Measurement"
"6c5b1970-8349-414e-9cc3-f753070536e2","BiomedicalConcept_23","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement"
"8a291aa1-b5fa-4bde-aa86-71609732f18e","BiomedicalConcept_24","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","Aspartate Aminotransferase Measurement"
"d6699681-939b-4743-972b-3f21ce28e1f8","BiomedicalConcept_25","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","Creatinine Measurement"
"f72e7914-a526-42cd-86ed-bea0c1ab67c2","BiomedicalConcept_26","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","Potassium Measurement"
"43f172c9-156f-4ce0-9c5d-9a92bddf8c9e","BiomedicalConcept_27","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","Sodium Measurement"
"3babd53b-a794-486b-aba7-bfde42b431da","BiomedicalConcept_1","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']","Adverse Event"
"edfe472a-e1ae-4b78-be4c-7037fe7a5c79","BiomedicalConcept_2","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure"
"b6ac788b-4422-48bf-9dc1-10d4f83fbb8a","BiomedicalConcept_3","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure"
"ae72b8bd-da69-4c54-a859-b0b34aff5018","BiomedicalConcept_4","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","Body Temperature"
"fcb8917b-39a8-4be6-9319-b764943efb36","BiomedicalConcept_5","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","Body Weight"
"2ba36390-3701-4931-bed2-ceffcb0999b9","BiomedicalConcept_6","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","Body Height"
"65c19df4-7966-4751-ac24-a2d6c4b7c88b","BiomedicalConcept_7","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","Alanine Aminotransferase Measurement"
"293c71a7-f669-462a-856a-e16295a7b399","BiomedicalConcept_8","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","Albumin Measurement"
"eadd03b4-c8bb-4ff1-ac24-8757dbc00b54","BiomedicalConcept_9","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement"
"8a017874-c3e8-4658-9cd0-e9fbfe306c83","BiomedicalConcept_10","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","Aspartate Aminotransferase Measurement"
"f48cf1af-a873-4956-93d1-1916e87aa12a","BiomedicalConcept_11","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","Creatinine Measurement"
"bf001c5f-b2ef-4fbe-9f63-1888f9ce7068","BiomedicalConcept_12","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","Potassium Measurement"
"ab4b0014-8366-4269-b827-ae3e514a16bf","BiomedicalConcept_13","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","Sodium Measurement"
"70212d7d-d2cf-48b7-9203-615540982cd0","BiomedicalConcept_14","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure"
"696a7fdb-785e-46b3-b80a-16c0bcef21e8","BiomedicalConcept_15","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure"
"aabcd678-7d2a-41f6-8e6a-a047d05ee9a1","BiomedicalConcept_16","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure"
"309363ec-4188-43e0-ae6f-268be48265dd","BiomedicalConcept_17","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure"
