"code","codeSystemVersion","uuid:ID","codeSystem","id","decode"
"C98388","2023-09-29","af597f88-9dc4-4f2b-addf-f055c75c2bdc","http://www.cdisc.org","Code_1","Interventional Study"
"C15601","2023-09-29","5502ef26-6819-4507-9bce-43070cb7f0ca","http://www.cdisc.org","Code_2","Phase II Trial"
"C132352","2023-09-29","7b573e2e-ea33-4ce9-b4f8-acf2485af8c4","http://www.cdisc.org","Code_5","Sponsor Approval Date"
"C68846","2023-09-29","0243419a-9903-46cb-9fa7-3afe5007824b","http://www.cdisc.org","Code_6","Global"
"C99904x3","2023-09-29","d85ab635-d730-4434-a40d-8c07977a1f7f","http://www.cdisc.org","Code_54","IRB/IEC Feedback"
"C17649","2023-09-29","36f9738f-58d5-4ae3-8fbf-526c759f40e4","http://www.cdisc.org","Code_55","Other"
"C41129","2023-09-29","e4302d8b-0e1f-465f-91e2-ff3cce202240","http://www.cdisc.org","Code_57","Region"
"150","2020-08","fa643725-78b9-477e-a343-6157fa6f664a","ISO 3166 1 alpha3","Code_56","Europe"
"C25464","2023-09-29","c3020daa-3a5c-4231-999e-7e55f96232b6","http://www.cdisc.org","Code_59","Country"
"DNK","2020-08","92cba267-e62d-4242-b78c-de55a3133a99","ISO 3166 1 alpha3","Code_58","Denmark"
"PHARMA","12","28fdac20-842f-4193-9121-8fa050d2ecf4","SPONSOR","Code_3","Eli Lilly"
"C70793","2023-09-29","aa38a990-f363-442b-80f3-e8d6177ed690","http://www.cdisc.org","Code_60","Clinical Study Sponsor"
"USA","2020-08","10e5d4bc-796d-47a5-b3e7-5004b82d77ac","ISO 3166 1 alpha3","Code_61","United States of America"
"C93453","2023-09-29","2af91df1-9798-4425-9ced-4f5b913b1ef8","http://www.cdisc.org","Code_62","Study Registry"
"C49656","2023-09-29","8003d88b-49ea-4172-8df6-a442a84adb0a","http://www.cdisc.org","Code_120","Treatment Study"
"C49666","2023-09-29","f6cb6bf4-a0f5-4ac1-b76b-82c03e690f4e","http://www.cdisc.org","Code_121","Efficacy Study"
"C49667","2023-09-29","c2493d49-f329-4f59-b77f-5cdbeec3e0ae","http://www.cdisc.org","Code_122","Safety Study"
"C49663","2023-09-29","dc683656-1b2c-4d01-b402-551ea353b136","http://www.cdisc.org","Code_123","Pharmacokinetic Study"
"MILD_MOD_ALZ","12","70c27fa0-5b63-483f-8ed8-d4a31b631077","SPONSOR","Code_117","Mild to Moderate Alzheimer\'s Disease"
"26929004","January 31, 2018","1a150dad-a28b-4129-b57f-7b993c650647","SNOMED","Code_118","Alzheimer\'s disease"
"C82639","2023-09-29","d9bae5f5-f21a-4b34-9457-0d5e96eb3289","http://www.cdisc.org","Code_124","Parallel Study"
"C25716","2023-09-29","38ffc4cb-bf80-481b-a74c-c1c748bf51df","http://www.cdisc.org","Code_66","Visit"
"C51282","2023-09-29","6c0e906b-0c42-45d0-8568-2d074d89d4cd","http://www.cdisc.org","Code_67","Clinic"
"C175574","2023-09-29","b7022365-8e69-46bd-baf5-a843b8627b9f","http://www.cdisc.org","Code_68","In Person"
"C25716","2023-09-29","dd060ed4-4e67-4435-9e84-0a3ee61905ee","http://www.cdisc.org","Code_69","Visit"
"C51282","2023-09-29","2d874aee-7e68-44a7-ad0d-83c9b9843428","http://www.cdisc.org","Code_70","Clinic"
"C175574","2023-09-29","1fe55392-3feb-4d61-9eb9-9177c7a21047","http://www.cdisc.org","Code_71","In Person"
"C25716","2023-09-29","a51d3972-9352-4bcd-8314-e972f2c956d9","http://www.cdisc.org","Code_72","Visit"
"C51282","2023-09-29","0974f11e-3dd5-494f-a120-14b57c28bee0","http://www.cdisc.org","Code_73","Clinic"
"C175574","2023-09-29","b2cbad20-864c-4213-b94d-f8027424d3e0","http://www.cdisc.org","Code_74","In Person"
"C25716","2023-09-29","a5865d1f-93c1-4530-a63c-14663a9eaa20","http://www.cdisc.org","Code_75","Visit"
