"sectionNumber","uuid:ID","id","text","sectionTitle","name"
"0","fd043d8a-2ce7-421e-ba32-4ae3590e9a8f","NarrativeContent_1","","Root","ROOT"
"0","797418cf-4b32-422e-9a4a-eeb36307ef63","NarrativeContent_2","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE","SECTION 0"
"1","088fc198-d3ae-43e3-ad1a-68bad353f061","NarrativeContent_3","<div></div>","PROTOCOL SUMMARY","SECTION 1"
"1.1","55cc9e7a-19a9-42b3-bb94-4f09afe44e6b","NarrativeContent_4","<div></div>","Protocol Synopsis","SECTION 1.1"
"1.2","706c5097-3a20-48eb-9e56-2b70575e49dc","NarrativeContent_5","<div></div>","Trial Schema","SECTION 1.2"
"1.3","e15f2c20-4742-4d2a-93cd-11fe6f1dba9d","NarrativeContent_6","<div></div>","Schedule of Activities","SECTION 1.3"
"2","476db9b5-bdff-4757-b1c8-1bd859403850","NarrativeContent_7","<div></div>","INTRODUCTION","SECTION 2"
"2.1","a2fc1d5a-1213-4d1f-a6ba-ffad1dc9d36f","NarrativeContent_8","<div></div>","Purpose of Trial","SECTION 2.1"
"2.2","d276efac-9400-4615-a0aa-d68acf831fce","NarrativeContent_9","<div></div>","Summary of Benefits and Risks","SECTION 2.2"
"3","949c2f1b-e253-49b3-a8f7-773373261a98","NarrativeContent_10","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3"
"3.1","6f46ffd1-c736-47f2-94b9-8be8aa6aa152","NarrativeContent_11","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives","SECTION 3.1"
"4","1fad427a-f9c2-40d6-b842-3ac0db724c50","NarrativeContent_12","<div></div>","TRIAL DESIGN","SECTION 4"
"4.1","642485d4-8f42-4466-9ff0-069371660c28","NarrativeContent_13","<div></div>","Description of Trial Design","SECTION 4.1"
"4.1.1","a9fe6f40-aa60-431b-9746-04d92736832c","NarrativeContent_14","<div></div>","Participant Input into Design","SECTION 4.1.1"
"4.2","212dca7c-0cbe-4c98-a7cc-1ef85ab882ee","NarrativeContent_15","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","Rationale for Trial Design","SECTION 4.2"
"4.2.1","1ff5b7d3-ada0-4457-bed2-2fc93e5d3565","NarrativeContent_16","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","Rationale for Comparator","SECTION 4.2.1"
"4.2.2","4d744e43-4426-49b1-969a-c92aaef1ada6","NarrativeContent_17","<div></div>","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2"
"4.2.3","84c4c4e3-a6ac-4eb1-8406-0ebb8c83d5a1","NarrativeContent_18","<div></div>","Other Trial Design Considerations","SECTION 4.2.3"
"4.3","0b3c56d5-f314-4836-afa1-fe81c5eda332","NarrativeContent_19","<div></div>","Access to Trial Intervention After End of Trial","SECTION 4.3"
"4.4","da1c14c6-3e97-43f1-ae29-705f14f61e78","NarrativeContent_20","<div></div>","Start of Trial and End of Trial","SECTION 4.4"
"5","89dbc0ad-4553-464b-aad9-bfe80792a232","NarrativeContent_21","<div></div>","TRIAL POPULATION","SECTION 5"
"5.1","51e26f28-01ad-45ac-8c23-7580d1c758bf","NarrativeContent_22","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","Selection of Trial Population","SECTION 5.1"
"5.2","227bc451-49ad-4b50-8b4a-7a921ab6f0cc","NarrativeContent_23","<div></div>","Rationale for Trial Population","SECTION 5.2"
"5.3","d220b049-4f14-4292-9293-2374a0a588c4","NarrativeContent_24","<div><usdm:section name=""M11-inclusion""></div>","Inclusion Criteria","SECTION 5.3"
"5.4","76921a17-1a95-428d-9a0d-27c675b8689a","NarrativeContent_25","<div><usdm:section name=""M11-exclusion""></div>","Exclusion Criteria","SECTION 5.4"
"5.5","a75f332c-e1e3-4f42-90b9-a7d5f5c15e61","NarrativeContent_26","<div></div>","Lifestyle Considerations","SECTION 5.5"
"5.5.1","23113124-360f-4242-9105-7e236ecb8718","NarrativeContent_27","<div></div>","Meals and Dietary Restrictions","SECTION 5.5.1"
"5.5.2","49cd1539-b098-4239-8845-574c23c5e78a","NarrativeContent_28","<div><p>Not applicable</p></div>","Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2"
"5.5.3","c979d8e1-c24a-49d0-bd70-58e4e824306f","NarrativeContent_29","<div></div>","Physical Activity","SECTION 5.5.3"
"5.5.4","6fd6a119-2b39-4812-84a3-bb8e54ec8b1c","NarrativeContent_30","<div></div>","Other Activity","SECTION 5.5.4"
"5.6","994d88f1-e79d-4948-ac3d-48a11641c698","NarrativeContent_31","<div></div>","Screen Failures","SECTION 5.6"
"6","ab402cbe-2525-4b0c-8cc0-5b0ae122deff","NarrativeContent_32","<div></div>","TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6"
"6.1","5c377bd5-3337-434d-a24c-7be083129dfb","NarrativeContent_33","<div></div>","Description of Trial Intervention","SECTION 6.1"
"6.2","a0a48d36-605d-4922-907a-e3ccd7fd7b56","NarrativeContent_34","<div></div>","Rationale for Trial Intervention","SECTION 6.2"
"6.3","8206960f-d84f-40d7-b768-7d651e6d85ca","NarrativeContent_35","<div></div>","Dosing and Administration","SECTION 6.3"
"6.3.1","982c96fd-4573-4606-9913-2842058d0cf8","NarrativeContent_36","<div></div>","Trial Intervention Dose Modification","SECTION 6.3.1"
"6.4","2f37544d-b658-49b9-8c36-cefffa293d7f","NarrativeContent_37","<div></div>","Treatment of Overdose","SECTION 6.4"
"6.5","1e08527f-01ee-42a5-8bd5-228fded22988","NarrativeContent_38","<div></div>","Preparation, Handling, Storage and Accountability","SECTION 6.5"
"6.5.1","74527105-3770-4cc0-9720-e4743ab88c8d","NarrativeContent_39","<div></div>","Preparation of Trial Intervention","SECTION 6.5.1"
"6.5.2","335b43e1-4679-4810-8365-b3aa152a1469","NarrativeContent_40","<div></div>","Handling and Storage of Trial Intervention","SECTION 6.5.2"
"6.5.3","ccee269c-ebea-4e17-b43c-813c3616313c","NarrativeContent_41","<div></div>","Accountability of Trial Intervention","SECTION 6.5.3"
"6.6","f23e0181-ab99-4718-98e6-91e9413b1c11","NarrativeContent_42","<div></div>","Participant Assignment, Randomisation and Blinding","SECTION 6.6"
"6.6.1","fdf85fea-2749-46a4-baf0-de6a14fd6869","NarrativeContent_43","<div></div>","Participant Assignment","SECTION 6.6.1"
"6.6.2","3f502587-8b32-40d2-b767-cb7f231f88be","NarrativeContent_44","<div></div>","Randomisation","SECTION 6.6.2"
