"uuid:ID","id","description","timingWindowLower","label","timingWindow","name","timingValue","timingWindowUpper"
"f59bc701-5aa8-4166-aaab-4e0245fa4c3e","Timing_1","Screening timing","","Screening","","TIM1","P2W",""
"773666d8-4f2b-453f-b004-d5e6a06d5b88","Timing_2","Pre dose timing","PT4H","Pre dose","-4..0 hours","TIM2","P2D","PT0H"
"125ce0ce-821f-476c-aec6-a2bfafa9e582","Timing_3","Dosing anchor","","Dosing","","TIM3","P1D",""
"89e6b23f-a748-46cb-82d4-f11c2ea92f25","Timing_4","Week 2 timing","P3D","Week 2","-3..3 days","TIM4","P2W","P3D"
"652cc1d8-0fe4-43c0-afe4-933d2cac26f4","Timing_5","Week 4 timing","P3D","Week 4","-3..3 days","TIM5","P4W","P3D"
"02867623-6aad-4076-9b42-1dabc3781a52","Timing_6","Week 6 timing","P3D","Week 6","-3..3 days","TIM6","P6W","P3D"
"7050629c-735b-493a-9874-48029865eccb","Timing_7","Week 8 timing","P3D","Week 8","-3..3 days","TIM7","P8W","P3D"
"b24da57b-6b45-4ef1-9cf2-3fe1b39c81f5","Timing_8","Week 8 at home timing","","Week 8 Home","","TIM8","P2W",""
"7d9a707d-bfb7-4e3a-b311-f2d18f2feadd","Timing_9","Week 12 timing","P4D","Week 12","-4..4 days","TIM9","P12W","P4D"
"c4038f5c-7443-4abb-99f8-3d04db47b215","Timing_10","Week 12 at home timing","","Week 12 Home","","TIM10","P2W",""
"981ccfd2-0074-43ff-90dd-3f436bb24fc5","Timing_11","Week 16 timing","P4D","Week 16","-4..4 days","TIM11","P16W","P4D"
"cedf6854-2e55-49d0-92fb-b7dc60ed5066","Timing_12","Week 16 at home timing","","Week 16 Home","","TIM12","P2W",""
"cfac1a51-65ee-447b-ac83-aac4341fa945","Timing_13","Week 20 timing","P4D","Week 20","-4..4 days","TIM13","P20W","P4D"
"779bb337-7830-4a02-a71d-cff0448b92c0","Timing_14","Week 20 at home timing","","Week 20 Home","","TIM14","P2W",""
"42d65027-2400-4326-8bcd-9ab2278e90a4","Timing_15","Week 24 timing","P4D","Week 24","-4..4 days","TIM15","P24W","P4D"
"58eb8446-acf7-496d-8405-d26bc386e3fb","Timing_16","Week 26 timing","P3D","Week 26","-3..3 days","TIM16","P26W","P3D"
"a716eea3-716a-4587-9e82-a81e06d5dfff","Timing_17","Adverse Event","","Adverse Event","","TIM17","P1D",""
"52a017f0-9759-4154-b4a9-791e84cdb7e1","Timing_18","Early Termination","","Early Termination","","TIM18","P1D",""
"01fe0487-4f3c-42a2-a6f9-973b39f92497","Timing_19","BP Anchor","","BP Anchor","","TIM19","PT0M",""
"7fe97c0f-be49-43c5-be03-ef06db79c211","Timing_20","BP while Supine","","BP while Supine","","TIM20","PT5M",""
"b85e003d-1747-4272-8b95-f9b7ccaa4646","Timing_21","BP Stand Up","PT2M","BP Stand Up","-2..0 mins","TIM21","PT3M","PT0M"
"54c5031b-13a9-492d-b768-f59bd23aec12","Timing_22","BP while standing","","BP while standing","","TIM22","PT0M",""
