"uuid:ID","transitionStartRule","id","description","label","transitionEndRule","name"
"93bcb030-8b01-43af-94ab-77b2c4813f99","","Encounter_1","Screening encounter","Screening 1","","E1"
"7d18e8f2-3f5a-471f-bca1-603ce8bbefea","","Encounter_2","Screening encounter - Ambulatory ECG Placement","Screening 2","","E2"
"94dae28b-b32c-4541-8c0a-bda473bbd934","","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Baseline","","E3"
"dee89d6a-2e46-4d1a-9e61-c959c18a98b0","","Encounter_4","Day 14","Week 2","","E4"
"64973def-5753-4e09-86df-7d6247187f90","","Encounter_5","Day 28","Week 4","","E5"
"4b70a01a-981b-4583-837f-6b27a5bdc1d1","","Encounter_6","Day 42","Week 6","","E7"
"921d839e-a9c9-4970-9f52-7e5cfb735e0d","","Encounter_7","Day 56","Week 8","","E8"
"771ed7dc-8d10-4cc2-8c9a-db0662ea46e2","","Encounter_8","Day 84","Week 12","","E9"
"841fabb8-43c6-4442-92d3-0ddfd4cfed15","","Encounter_9","Day 112","Week 16","","E10"
"275b50ce-6122-4d88-bbaa-2083c5d70bdc","","Encounter_10","Day 140","Week 20","","E11"
"c88de6d2-ad27-4ddc-8897-7de7cf8ed784","","Encounter_11","Day 168","Week 24","","E12"
"d08ed247-f8b8-4cfa-b2b1-1f3daffc4d58","","Encounter_12","Day 182","Week 26","","E13"
