"uuid:ID","id","text","description","label","name"
"56d35ab1-3337-4b68-888f-60e0ce20cfa6","TransitionRule_1","Subject identifier","","","ENCOUNTER_START_RULE_1"
"223124c9-66fc-4045-b1f0-7ca32f79488c","TransitionRule_2","completion of screening activities","","","ENCOUNTER_START_RULE_1"
"86283987-39f6-42d5-afd4-3b685a3f2e64","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","","","ENCOUNTER_START_RULE_2"
"0f2f4e1f-e21b-4cbf-a683-95435ac9a438","TransitionRule_4","subject has connection of ambulatory ECG machine removed","","","ENCOUNTER_START_RULE_3"
"a4954096-5120-4860-b5f5-b1dce6b2006a","TransitionRule_5","Radomized","","","ENCOUNTER_START_RULE_3"
"47ee792e-18bd-4bfe-a2d8-9a596a271dad","TransitionRule_6","End of treatment","","","ENCOUNTER_START_RULE_12"
"17ed021c-78e3-4134-97ba-04c20cfa4654","TransitionRule_7","Informed consent","","","ELEMENT_START_RULE_1"
"2d48ce3c-d22a-4840-9dc2-d239c178c6b8","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","","","ELEMENT_END_RULE_1"
"2ebd2818-d29d-4b6e-82aa-1a50929fb2cc","TransitionRule_9","Administration of first dose","","","ELEMENT_START_RULE_2"
"2c63a19e-5d3c-42a0-9c44-bc68630ebaf0","TransitionRule_14","End of last scheduled visit on study (including early termination)","","","ELEMENT_START_RULE_7"
"094b04dc-3ce2-4807-afe8-867b0d66e98f","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","","","ELEMENT_END_RULE_7"
"962726f9-f5c7-4837-a45c-7f5f2c44b4d1","TransitionRule_10","Administration of first dose","","","ELEMENT_START_RULE_3"
"cec9dfc0-e541-4e71-874d-224eb303142c","TransitionRule_11","Randomized","","","ELEMENT_START_RULE_4"
"05b100c6-2622-421a-a1bf-221c6798d995","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","","","ELEMENT_START_RULE_5"
"8ec84ba7-0e7f-4b8c-818b-f6a75ae4af3f","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","","","ELEMENT_START_RULE_6"
