"id","uuid:ID","name","text","instanceType"
"TransitionRule_1","a4930be6-9c84-4345-8d3b-236ca0e976f3","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule"
"TransitionRule_2","a1a555af-0942-47ab-ad1e-a7d8ffbd6897","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule"
"TransitionRule_3","614b2b98-1b65-4140-9a51-48dcab75a502","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"TransitionRule_4","0bcc2c46-1b59-4e9b-97b9-db2dc40e84e6","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule"
"TransitionRule_5","aa59c09f-0fed-4537-8f34-9e803407c8cb","ENCOUNTER_START_RULE_3","Radomized","TransitionRule"
"TransitionRule_6","fcb619dd-f1ae-4330-8fa4-73ea103353f1","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule"
"TransitionRule_7","807fdea7-1902-43eb-9152-8a40beedd926","ELEMENT_START_RULE_1","Informed consent","TransitionRule"
"TransitionRule_8","f89fae01-6357-4f0e-ad6a-b240534e7c86","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"TransitionRule_9","b578a2f4-0211-4238-a317-1f30e20eaa93","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule"
"TransitionRule_14","556f38c3-af9f-4ea0-ab2d-f3bbbe392527","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule"
"TransitionRule_15","2bc762af-9e3c-4988-8f36-04342add4203","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"TransitionRule_10","c1859c77-4e06-49cc-8df8-b99ec6768f4f","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule"
"TransitionRule_11","a165e4e9-47b0-4a8e-aedb-d0715399b641","ELEMENT_START_RULE_4","Randomized","TransitionRule"
"TransitionRule_12","3b01753a-517a-4226-a77f-a93dfc32e8ff","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"TransitionRule_13","8f47ada2-dc68-4444-b1ef-462bb7e3897e","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
