"id","windowLabel","name","uuid:ID","valueLabel","description","windowLower","value","instanceType","windowUpper","label"
"Timing_1","","TIM1","d39f1bc0-567e-47f0-88ae-c6dbbc7098f0","2 weeks","Screening timing","","P2W","Timing","","Screening"
"Timing_2","-4..0 hours","TIM2","e47911de-c518-4f8a-84b2-bf100d4bd52a","2 days","Pre dose timing","PT4H","P2D","Timing","PT0H","Pre dose"
"Timing_3","","TIM3","d182a25e-622f-470a-bf68-faed21386eed","1 Day","Dosing anchor","","P1D","Timing","","Dosing"
"Timing_4","-3..3 days","TIM4","2d44c2c6-6cf8-43c4-8099-0c5209fdc30f","2 Weeks","Week 2 timing","P3D","P2W","Timing","P3D","Week 2"
"Timing_5","-3..3 days","TIM5","00436d77-befb-444f-9836-04f4bcb3a77f","4 Weeks","Week 4 timing","P3D","P4W","Timing","P3D","Week 4"
"Timing_6","-3..3 days","TIM6","c3b418a2-8be2-4563-ba8c-29e9797fa22e","6 Weeks","Week 6 timing","P3D","P6W","Timing","P3D","Week 6"
"Timing_7","-3..3 days","TIM7","9e2cf567-4107-4d03-94c4-b882866abb2c","8 Weeks","Week 8 timing","P3D","P8W","Timing","P3D","Week 8"
"Timing_9","-4..4 days","TIM9","7ecf9876-7721-4738-92be-45be7c1906fc","12 Weeks","Week 12 timing","P4D","P12W","Timing","P4D","Week 12"
"Timing_11","-4..4 days","TIM11","09cb2060-a1c4-40b7-88c1-ed8ab0c9bc4d","16 Weeks","Week 16 timing","P4D","P16W","Timing","P4D","Week 16"
"Timing_13","-4..4 days","TIM13","26365fff-8635-43dc-9ace-d6c4f194ac16","20 Weeks","Week 20 timing","P4D","P20W","Timing","P4D","Week 20"
"Timing_15","-4..4 days","TIM15","21961835-f61f-4173-9e3e-ee39e403d233","24 Weeks","Week 24 timing","P4D","P24W","Timing","P4D","Week 24"
"Timing_16","-3..3 days","TIM16","278deeb1-f428-4f3b-9b9a-23d3af502b0f","26 Weeks","Week 26 timing","P3D","P26W","Timing","P3D","Week 26"
"Timing_8","","TIM8","c9779d26-308c-4d31-bb08-880419f1cb5f","2 Weeks","Week 8 at home timing","","P2W","Timing","","Week 8 Home"
"Timing_10","","TIM10","b5f7a21b-4092-4b1b-a64d-f197a5b75f22","2 Weeks","Week 12 at home timing","","P2W","Timing","","Week 12 Home"
"Timing_12","","TIM12","db94b123-7e08-4cb7-9787-acf0b3f968dc","2 Weeks","Week 16 at home timing","","P2W","Timing","","Week 16 Home"
"Timing_14","","TIM14","a849f189-ce24-4b74-a1ee-c90d87ac88b9","2 Weeks","Week 20 at home timing","","P2W","Timing","","Week 20 Home"
"Timing_17","","TIM17","3e923740-dd6e-4c68-ad07-ad3b81a612e7","1 Day","Adverse Event","","P1D","Timing","","Adverse Event"
"Timing_18","","TIM18","a745e211-b0d4-478b-bae9-e5cff5dcc5ee","1 Day","Early Termination","","P1D","Timing","","Early Termination"
"Timing_19","","TIM19","bbf75571-81c4-4bc8-9dfa-56d8ce5fddfa","0 mins","Supine","","PT0M","Timing","","Supine"
"Timing_20","","TIM20","8ff8da90-cd62-4063-bb12-b03de8140154","5 mins","VS while supine","","PT5M","Timing","","VS while supine"
"Timing_21","","TIM21","779121c5-6f67-4702-99b3-d615f46a3390","0 min","Standing","","PT0M","Timing","","Standing"
"Timing_22","","TIM22","e1d522e2-d9be-4620-a8b0-6bb251a5dfa9","1 min","VS while standing","","PT1M","Timing","","VS while standing"
"Timing_23","","TIM23","fd831c38-03d0-4581-9614-8a7a0002f579","0 min","Standing","","PT0M","Timing","","Standing"
"Timing_24","","TIM24","5f74a189-4b4b-4b18-ac8c-015336cde153","2 min","VS while standing","","PT2M","Timing","","VS while standing"
