"id","name","label","uuid:ID","synonyms","instanceType","reference"
"BiomedicalConcept_20","Sex","Sex","cc75fdee-7ff2-4121-a963-e262faf7bb6b","","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"BiomedicalConcept_21","Race","Race","15197b75-639a-4c25-8aa9-3640c38fbb67","['Racial Group']","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"BiomedicalConcept_22","Temperature","Temperature","fb875df9-3f36-4be4-92cf-de72a6e4d7c7","['Temperature', 'Body Temperature']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"BiomedicalConcept_23","Weight","Weight","c6f47035-2ef4-4017-9491-bc4b051cf24f","['Weight', 'Body Weight']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"BiomedicalConcept_24","Height","Height","bcf6de63-c86f-41bf-b508-ec22152a46f2","['Height', 'Body Height']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"BiomedicalConcept_25","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","52944d3d-7c38-492b-845c-4c5346197917","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"BiomedicalConcept_26","Albumin Presence in Urine","Albumin Presence in Urine","d94cfc80-5e1f-40b2-b2ca-0df224271d99","['Albumin', 'Albumin Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"BiomedicalConcept_27","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","f8a9f767-81cc-48c2-ac0c-1f31ea5ecf2c","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"BiomedicalConcept_28","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","ff3ab77f-62ed-4204-b30d-f754b58e0b33","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"BiomedicalConcept_29","Creatinine Concentration in Urine","Creatinine Concentration in Urine","d87d394a-4f1e-49f3-8550-efd4137c8c05","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"BiomedicalConcept_30","Potassium Concentration in Urine","Potassium Concentration in Urine","96a87a69-4289-4ee6-ab1a-d9c1b7671c37","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"BiomedicalConcept_31","Sodium Concentration in Urine","Sodium Concentration in Urine","fd04df3f-27dc-4754-9a04-b54cfdc15055","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"BiomedicalConcept_32","Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","7302ce1b-93be-4ec1-8fd3-b7ddf48834c5","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"BiomedicalConcept_1","Adverse Event Prespecified","Adverse Event Prespecified","793cd00e-84b5-4ca3-9e6c-5e425474381f","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"BiomedicalConcept_2","Systolic Blood Pressure","Systolic Blood Pressure","9f39c72a-8df3-47e3-aaa6-0a0dc8ae8ce3","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"BiomedicalConcept_3","Diastolic Blood Pressure","Diastolic Blood Pressure","89edb339-40e4-4b45-a207-612e1c592bd7","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"BiomedicalConcept_4","Temperature","Temperature","ed51b4f0-184e-4570-bb05-f1951db3bef8","['Temperature', 'Body Temperature']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"BiomedicalConcept_5","Weight","Weight","29a70511-1a50-4c2e-978b-fb2321c9f089","['Weight', 'Body Weight']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"BiomedicalConcept_6","Height","Height","6fe982dd-bc93-423b-a9db-eb01e84114f0","['Height', 'Body Height']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","0e0e9151-bda2-4c46-b83b-0a02693ffa19","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"BiomedicalConcept_8","Albumin Presence in Urine","Albumin Presence in Urine","9b54f7ca-37df-496a-99e9-d1973c65e6fa","['Albumin', 'Albumin Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","c7f819eb-5077-4cb9-9372-2d092f568997","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","7321c49e-c584-4f0c-882a-85b3e8f71c64","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
