"id","uuid:ID","codeSystem","decode","code","instanceType","codeSystemVersion"
"Code_1","8d040027-08bd-4aff-b068-7be68eac01c7","http://www.cdisc.org","Interventional Study","C98388","Code","2023-12-15"
"Code_2","d8c2e560-32c2-4cd4-a7b9-dfd24b122f24","http://www.cdisc.org","Phase II Trial","C15601","Code","2023-12-15"
"Code_9","6e465242-d553-4299-9c87-b437bfb166e5","http://www.cdisc.org","Sponsor Approval Date","C132352","Code","2023-12-15"
"Code_10","f716bb35-03af-4bb0-b748-d900eaa1e3e0","http://www.cdisc.org","Global","C68846","Code","2023-12-15"
"Code_72","4032dbf1-09a9-40ca-ad05-69879f6be668","http://www.cdisc.org","IRB/IEC Feedback","C99904x3","Code","2023-12-15"
"Code_73","796cf08e-1185-4ce6-a3aa-b979803f3b52","http://www.cdisc.org","Other","C17649","Code","2023-12-15"
"Code_75","1315e8cc-eec5-44c9-b269-33364f0bdfb0","http://www.cdisc.org","Region","C41129","Code","2023-12-15"
"Code_74","3d0e580f-188a-4586-a76a-cbd0447b4929","ISO 3166 1 alpha3","Europe","150","Code","2020-08"
"Code_4","c94ba4a2-6f2d-45db-8881-e21be15fd4ec","SPONSOR","Eli Lilly","PHARMA","Code","12"
"Code_76","0b1ddbcc-b0a1-4111-8e93-3c4f27b3ef25","http://www.cdisc.org","Clinical Study Sponsor","C70793","Code","2023-12-15"
"Code_77","f5a03dbf-3c8c-4883-b169-bfbe77adf873","ISO 3166 1 alpha3","United States of America","USA","Code","2020-08"
"Code_78","2d0bb3e8-9ef6-4855-858d-8c5a5befa548","http://www.cdisc.org","Study Registry","C93453","Code","2023-12-15"
"Code_79","d5765352-41fa-4ef9-aafb-05c32ff7fcee","ISO 3166 1 alpha3","United States of America","USA","Code","2020-08"
"Code_137","3d7974c8-7ddf-4d8d-949c-97525466e988","http://www.cdisc.org","Treatment Study","C49656","Code","2023-12-15"
"Code_138","2ec39a87-c4d7-4bd0-a834-5d20447217e9","http://www.cdisc.org","Efficacy Study","C49666","Code","2023-12-15"
"Code_139","04c5e5d2-7ba3-483b-947c-c5978f6bccc7","http://www.cdisc.org","Safety Study","C49667","Code","2023-12-15"
"Code_140","b93a4693-e683-4c25-815b-d81a698cb5d1","http://www.cdisc.org","Pharmacokinetic Study","C49663","Code","2023-12-15"
"Code_134","a7ccd5c8-f868-4877-ac16-4bbea54440d0","SPONSOR","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","Code","12"
"Code_135","a650548c-dfff-4f2f-8735-03c3f201da89","SNOMED","Alzheimer's disease","26929004","Code","January 31, 2018"
"Code_143","a8eb1b13-b891-42c3-a33c-0510ee031dda","http://www.cdisc.org","EXTENSION","C99907x1","Code","2023-12-15"
"Code_144","07c67eb2-9ea4-4be8-83c5-fd7b012935ee","http://www.cdisc.org","ADAPTIVE","C98704","Code","2023-12-15"
"Code_141","1d7175e9-acb1-4514-8bca-99c473ff3418","http://www.cdisc.org","Parallel Study","C82639","Code","2023-12-15"
"Code_83","29894395-30ef-4f6b-8b14-203ad3e29023","http://www.cdisc.org","Visit","C25716","Code","2023-12-15"
"Code_84","e7251d7b-bef9-4f16-b59e-bc279061f39e","http://www.cdisc.org","Clinic","C51282","Code","2023-12-15"
"Code_85","4d93702d-b886-4180-88d6-19bd588b2b20","http://www.cdisc.org","In Person","C175574","Code","2023-12-15"
