"id","name","uuid:ID","description","instanceType","label"
"Encounter_1","E1","797f4106-c4b0-46c7-836b-d34f5db5190a","Screening encounter","Encounter","Screening 1"
"Encounter_2","E2","cab5c5f4-6548-45a7-8a72-a1aed5e71bbb","Screening encounter - Ambulatory ECG Placement","Encounter","Screening 2"
"Encounter_3","E3","594a41dd-89e0-4a95-b8f5-c51e3aaaa7d2","Baseline encounter - Ambulatory ECG Removal","Encounter","Baseline"
"Encounter_4","E4","b38124bb-387f-4806-a399-f8b42563fd08","Day 14","Encounter","Week 2"
"Encounter_5","E5","ccbf56b8-8469-4e4b-b6fc-316c12f23ac5","Day 28","Encounter","Week 4"
"Encounter_6","E7","8d990def-4e38-4df0-b690-60ddea4b93f3","Day 42","Encounter","Week 6"
"Encounter_7","E8","701a68b1-9d9e-4f60-9301-a1b82f11814b","Day 56","Encounter","Week 8"
"Encounter_8","E9","c9cc6bc7-504d-4030-b82c-f1505bd5a1b3","Day 84","Encounter","Week 12"
"Encounter_9","E10","f5103dda-e29d-4ce2-9985-5fd42fe065dc","Day 112","Encounter","Week 16"
"Encounter_10","E11","9f3af4ff-1f61-4492-b45e-9f967fe5c601","Day 140","Encounter","Week 20"
"Encounter_11","E12","08461ac6-1c6c-4a1b-8086-1a370b2ab2eb","Day 168","Encounter","Week 24"
"Encounter_12","E13","16494910-97da-4206-a045-ffb73ff9416b","Day 182","Encounter","Week 26"
