"id","name","uuid:ID","description","instanceType","label"
"Activity_1","Informed consent","3e2a548f-3605-4a0c-8ec0-ccf7f8659719","","Activity","Informed consent"
"Activity_2","Inclusion/exclusion criteria","12e6f9f0-afb6-44f7-96f8-94cfddddc6e8","","Activity","Inclusion and exclusion criteria"
"Activity_3","Patient number assigned","2a466c8e-2be5-4eaf-97bc-0d2e476b2f8b","","Activity","Patient number assigned"
"Activity_4","Demographics","38af4ee8-17b7-4d83-9802-99b9be5d4441","","Activity","Demographics"
"Activity_5","Hachinski","e21af06c-b40d-4eea-8966-4b95384be5be","","Activity","Hachinski Ischemic Scale"
"Activity_6","MMSE","c6c3a31b-41cd-4566-bd48-b60657b50321","","Activity","MMSE"
"Activity_7","Physical examination","2d1c8486-f6d9-44d6-ab80-2ed398fe6183","","Activity","Physical examination"
"Activity_8","Medical history","5b3380c7-1a25-4de6-ad64-28f5a4c300b7","","Activity","Medical history"
"Activity_9","Habits","eb2b1be6-ef7b-4964-93bc-a80d4beb7fbb","","Activity","Habits"
"Activity_10","Chest X-ray","25b67234-083b-4d4f-8836-babe095fba58","","Activity","Chest X-ray"
"Activity_11","Apo E genotyping","1534b715-d785-4d95-9aa1-e45fd036d094","","Activity","Apo E genotyping"
"Activity_12","Patient randomised","a518d932-c4cf-4721-b41f-542e4a6e4346","","Activity","Patient randomised"
"Activity_13","Vital signs / Temperature","ea3a47de-f670-4187-b3f6-262d6b79a251","","Activity","Vital Signs and Temperature"
"Activity_14","Ambulatory ECG placed","5a4f4632-eb0b-431f-9d13-1989bb7e33cd","","Activity","Ambulatory ECG placed"
"Activity_15","Ambulatory ECG removed","5b83d5d4-1acb-4549-a1a5-56ca23c15fda","","Activity","Ambulatory ECG removed"
"Activity_16","ECG","aef7ffe3-a3c3-4a8c-b1d9-d36d185e44f7","","Activity","ECG"
"Activity_17","Placebo TTS test","df86767d-12ad-4ec1-91e6-17691067b15b","","Activity","Placebo TTS test"
"Activity_18","CT scan","ecbedfa9-338f-411d-8945-539f9087a95b","","Activity","CT scan"
"Activity_19","Concomitant medications","c4d41ad0-e3c6-4bc9-be29-10a71acf488f","","Activity","Concomitant medications"
"Activity_20","Hematology","2005df02-dfc3-4b7b-b8ae-698e92a8a1f6","","Activity","Hematology"
"Activity_21","Chemistry","646da075-62aa-4561-82be-370ac7c70583","","Activity","Chemistry"
"Activity_22","Uninalysis","09e60684-ad8c-4842-89b4-3ae8c53bc5a3","","Activity","Uninalysis"
"Activity_23","Plasma Specimen (Xanomeline)","b7d622bb-97d7-4595-8526-3528a597e695","","Activity","Plasma Specimen (Xanomeline)"
"Activity_24","Hemoglobin A1C","12c7120e-1686-44e6-9eaa-22a409563aec","","Activity","Hemoglobin A1C"
"Activity_25","Study drug","59a770f3-d687-48e6-aec0-24b17fe3701f","","Activity","Study drug record , Medications dispensed, Medications returned"
"Activity_26","TTS Acceptability Survey","65ae3246-1854-4936-b505-8ebcf8618d4e","","Activity","TTS Acceptability Survey"
"Activity_27","ADAS-Cog","64199f1a-155c-4360-b49a-f028f5df8651","","Activity","ADAS-Cog"
"Activity_28","CIBIC+","2aca75ae-0cf7-4666-ba19-2a84c2e40c8a","","Activity","CIBIC+"
"Activity_29","DAD","d6c9d9cc-947b-4f22-8516-fe5e534e02f7","","Activity","DAD"
"Activity_30","NPI-X","1b32d527-6ae1-494b-bfae-c98da1d56c29","","Activity","NPI-X"
"Activity_31","Adverse events","d95f9720-165d-4fea-a768-f65a7fff106a","","Activity","Adverse events"
"Activity_32","Check adverse events","fd6cff52-f394-4a8d-b9cc-0a5ca44ed526","","Activity","Check adverse events"
"Activity_33","Supine","f169032b-a37d-471d-9448-d76b4e950543","","Activity","Subject supine"
"Activity_34","Vital Signs Supine","71023ca6-15d0-4ba4-a6f0-1388e9ddeb51","","Activity","Vital signs while supine"
"Activity_35","Stand","b3d6fce5-a3eb-4027-801f-f9233b629da7","","Activity","Subject Standing"
"Activity_36","Vital Signs Standing","4953800d-5143-4aba-81d1-da271bf4ce93","","Activity","Vital signs while standing"
