"id","name","uuid:ID","description","instanceType","label"
"ScheduledActivityInstance_9","SCREEN1","b811a76f-ce18-4ae0-a865-f41d7f529e1c","-","ScheduledActivityInstance","Screen One"
"ScheduledActivityInstance_10","SCREEN2","57c72641-a8c5-43d9-a981-1b4ff3a172dc","-","ScheduledActivityInstance","Screen Two"
"ScheduledActivityInstance_11","DOSE","ce57972a-a15c-4678-b10f-0df0cf167944","-","ScheduledActivityInstance","Dose"
"ScheduledActivityInstance_12","WK2","d4422a3f-ffdf-461b-b956-e3427f35f6f2","-","ScheduledActivityInstance","Week 2"
"ScheduledActivityInstance_13","WK4","467c33b9-b66b-4501-87c8-f52e56e3d067","-","ScheduledActivityInstance","Week 4"
"ScheduledActivityInstance_14","WK6","bf976126-3547-4db0-8e22-d44d32417348","-","ScheduledActivityInstance","Week 6"
"ScheduledActivityInstance_15","WK8","b97f51a3-d522-42ab-884d-ecb27102accd","-","ScheduledActivityInstance","Week 8"
"ScheduledActivityInstance_16","WK8N","cadc0fed-4913-42cc-9487-edf1859e6e20","-","ScheduledActivityInstance","Week NPI"
"ScheduledActivityInstance_17","WK12","e54082e6-807f-4bf9-aa6f-0170b863bf62","-","ScheduledActivityInstance","Week 12"
"ScheduledActivityInstance_18","WK12N","3d504192-d27b-453e-acd8-97dc10c087dd","-","ScheduledActivityInstance","Week 12 NPI"
"ScheduledActivityInstance_19","WK16","d3821712-4753-4174-bb6c-8c8a233cbdd8","-","ScheduledActivityInstance","Week 16"
"ScheduledActivityInstance_20","WK16N","38098a45-9691-42cf-a40d-abe61b734cff","-","ScheduledActivityInstance","Week 16 NPI"
"ScheduledActivityInstance_21","WK20","9ceab4fb-b2be-47fd-bf9c-124ca0ee3a27","-","ScheduledActivityInstance","Week 20"
"ScheduledActivityInstance_22","WK20N","d39baa87-aa67-423d-a11f-c9707deb8618","-","ScheduledActivityInstance","Week 20 NPI"
"ScheduledActivityInstance_23","WK24","c22f4f82-e80f-4ee6-9bb5-ae7e74f0481f","-","ScheduledActivityInstance","Week 24"
"ScheduledActivityInstance_24","WK26","bf700614-098d-4954-b715-44b87c18c33b","-","ScheduledActivityInstance","Week 26"
"ScheduledActivityInstance_1","AE","f7c532ec-42d8-49cd-8842-ad66bd07c61e","-","ScheduledActivityInstance","Adevers Event"
"ScheduledActivityInstance_2","ET","29c3bf6a-e11a-4d11-9e62-cd5c6de8a3b3","-","ScheduledActivityInstance","Early Termination"
"ScheduledActivityInstance_3","VS_5MIN","55443a65-3be4-410e-b760-4e563fbd6df7","","ScheduledActivityInstance","5 minute supine"
"ScheduledActivityInstance_4","VS_SUPINE","da38f725-8db2-4a57-88c2-6f35640e493d","","ScheduledActivityInstance","Vital signs supine"
"ScheduledActivityInstance_5","VS_1MIN","59904c01-b8e5-4e74-aa04-f39e31206872","","ScheduledActivityInstance","1 minute standing"
"ScheduledActivityInstance_6","VS_STAND1","14702475-de90-4ccc-ae4e-55a666552779","","ScheduledActivityInstance","Vital signs after 1 min standing"
"ScheduledActivityInstance_7","VS_2MIN","3306c82a-aca5-443f-b51e-6588ea638e41","","ScheduledActivityInstance","2 minute standing"
"ScheduledActivityInstance_8","VS_STAND3","f3abf63b-d0e7-4907-a3fb-466485a918f7","","ScheduledActivityInstance","Vital signs after 3 min standing"
