"purpose","id","name","uuid:ID","text","description","instanceType","label"
"","Endpoint_1","END1","119f3198-7962-4a2a-9b97-991fdb2abd00","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint",""
"","Endpoint_2","END2","ea0a938d-da1b-4b3b-90e2-b2cbe089a290","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint",""
"","Endpoint_3","END3","aeb21653-1dbe-4b80-ac81-7567eba220cf","Adverse events","","Endpoint",""
"","Endpoint_4","END4","359945ee-46d3-4456-87bd-0dab7e4978e8","Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint",""
"","Endpoint_5","END5","66514581-d492-4a6e-bb62-2447fa538caa","Laboratory evaluations (Change from Baseline)","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint",""
"","Endpoint_6","END6","02157184-f3d1-4095-b0ad-b7d4d7aafa5a","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint",""
"","Endpoint_7","END7","1a0aa097-5c89-4078-b50f-c15331f8bd2f","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint",""
"","Endpoint_8","END8","0517d874-03cc-477e-92c9-3273598087fd","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint",""
"","Endpoint_9","END9","9d13baf8-8f69-40a3-8642-344831325fce","*** To be determined from protocol ***","","Endpoint",""
"","Endpoint_10","END10","ef627d01-0ef1-4b19-b3d7-42d45f0a63bd","*** To be determined from protocol ***","","Endpoint",""
"","Endpoint_11","END11","fee1d463-ddfc-4523-86e9-cd66c01db828","*** To be determined from protocol ***","","Endpoint",""
