"reference","id","synonyms","name","instanceType","uuid:ID","label"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_20","['Temperature']","Body Temperature","BiomedicalConcept","0a8f0cac-bd91-48d7-8baa-b17f1559d946","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_21","['Weight']","Body Weight","BiomedicalConcept","c04852c1-d217-4c89-90ea-e01b61257b68","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_22","['Height']","Body Height","BiomedicalConcept","cf396420-1633-4377-af57-f7372b50d831","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_23","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept","3a82567b-8eda-4fe9-960f-f7562224249d","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_24","['Albumin']","Albumin Measurement","BiomedicalConcept","033fcc21-3082-4efe-a37a-334e813d0552","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_25","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept","dbf26799-6654-4d4f-9671-516d0c22714c","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_26","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept","38c6c8d3-4906-43b1-90d7-42994c751d50","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_27","['Creatinine']","Creatinine Measurement","BiomedicalConcept","514dc878-4d8f-4302-874a-75d461e1862d","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_28","['Potassium', 'K']","Potassium Measurement","BiomedicalConcept","0fa04179-0a16-4765-92a1-142d76a5daac","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_29","['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept","b73dcaf7-9fe1-4a51-b8be-837eb18d1132","Sodium Measurement"
