"isRequired","id","datatype","isEnabled","name","instanceType","uuid:ID","label"
"True","BiomedicalConceptProperty_98","decimal","True","Vital Signs Result","BiomedicalConceptProperty","ee5b9bcb-3ae0-4d5a-8ed0-cb534831a752","Vital Signs Result"
"True","BiomedicalConceptProperty_99","string","True","Unit of Temperature","BiomedicalConceptProperty","75f84a79-f233-4618-b563-fccbc3a5c80b","Unit of Temperature"
"True","BiomedicalConceptProperty_100","string","True","Vital Signs Location","BiomedicalConceptProperty","39f1e0ae-ea1c-4ab0-81fc-708667720a90","Vital Signs Location"
"True","BiomedicalConceptProperty_101","decimal","True","Vital Signs Result","BiomedicalConceptProperty","ca0122c1-bba5-4e62-8606-655926d341fd","Vital Signs Result"
"True","BiomedicalConceptProperty_102","string","True","Unit of Weight","BiomedicalConceptProperty","becefac5-e964-454f-a561-7bb4359ff12d","Unit of Weight"
"True","BiomedicalConceptProperty_103","decimal","True","Vital Signs Result","BiomedicalConceptProperty","c0e210be-d94c-4f43-95f2-93a7c6205a49","Vital Signs Result"
"True","BiomedicalConceptProperty_104","string","True","Unit of Height","BiomedicalConceptProperty","90b2714b-b78e-4b4b-8ffb-22f0bb6e88df","Unit of Height"
"True","BiomedicalConceptProperty_105","decimal","True","Laboratory Test Result","BiomedicalConceptProperty","2922533f-c251-4092-9028-41f4621387ac","Laboratory Test Result"
"True","BiomedicalConceptProperty_106","boolean","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","c73cf2e1-5204-4242-9a7f-99015e770c5d","Laboratory Test Fasting Status"
"True","BiomedicalConceptProperty_107","string","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","ab06ded1-2896-48f4-b07e-547fe2af3d6d","Unit of Catalytic Activity Concentration"
"True","BiomedicalConceptProperty_108","string","True","Biospecimen Type","BiomedicalConceptProperty","958dd04a-a273-4850-acb6-cfefcfbd9f19","Biospecimen Type"
"True","BiomedicalConceptProperty_109","string","True","Laboratory Test Result","BiomedicalConceptProperty","d26e49e3-0286-4f4d-b74e-3009387504a4","Laboratory Test Result"
