"id","name","instanceType","description","uuid:ID","label"
"Encounter_1","E1","Encounter","Screening encounter","b14fc82d-ecc6-45c4-9a3f-4dd91277e065","Screening 1"
"Encounter_2","E2","Encounter","Screening encounter - Ambulatory ECG Placement","ad68679f-381b-4762-acbf-4fbd71fd9ec1","Screening 2"
"Encounter_3","E3","Encounter","Baseline encounter - Ambulatory ECG Removal","9857ce46-9ebb-425c-b841-2f40a526874f","Baseline"
"Encounter_4","E4","Encounter","Day 14","81137206-e547-4c5c-b033-e10e8c295425","Week 2"
"Encounter_5","E5","Encounter","Day 28","a1227f74-0060-4987-948e-43b65779894b","Week 4"
"Encounter_6","E7","Encounter","Day 42","43b58b52-0992-4076-8ff3-aac4b6907f08","Week 6"
"Encounter_7","E8","Encounter","Day 56","77123e7e-1b70-4584-b2fe-c80d4f417b2f","Week 8"
"Encounter_8","E9","Encounter","Day 84","fcbab5d8-e9cf-4347-9944-1e24f7f12376","Week 12"
"Encounter_9","E10","Encounter","Day 112","55c09e24-1a9b-4508-9916-90affac5dc79","Week 16"
"Encounter_10","E11","Encounter","Day 140","4a8e62d8-e093-4e2b-9a82-e16f14d8150f","Week 20"
"Encounter_11","E12","Encounter","Day 168","425ac19e-2444-41ca-b97b-97fe45e33ef7","Week 24"
"Encounter_12","E13","Encounter","Day 182","7258170c-f14a-4b6c-b1a4-fbf0e2f85820","Week 26"
