"windowUpper","id","name","instanceType","value","windowLower","description","uuid:ID","window","label"
"","Timing_1","TIM1","Timing","P2W","","Screening timing","40d69c5c-a8f6-4ffb-a1f1-d71d68f34eae","","Screening"
"PT0H","Timing_2","TIM2","Timing","P2D","PT4H","Pre dose timing","22e6e9f7-b025-40c5-954a-51eaf27b2d98","-4..0 hours","Pre dose"
"","Timing_3","TIM3","Timing","P1D","","Dosing anchor","f849b3f2-963f-4261-b48e-66a86cd1ae49","","Dosing"
"P3D","Timing_4","TIM4","Timing","P2W","P3D","Week 2 timing","38d4c707-c8dd-4299-94e5-d1becc147b38","-3..3 days","Week 2"
"P3D","Timing_5","TIM5","Timing","P4W","P3D","Week 4 timing","6f172ca2-b14d-487f-abca-eb8ce0a72f2d","-3..3 days","Week 4"
"P3D","Timing_6","TIM6","Timing","P6W","P3D","Week 6 timing","cc610975-82ee-4a96-b24e-082839bbf29a","-3..3 days","Week 6"
"P3D","Timing_7","TIM7","Timing","P8W","P3D","Week 8 timing","d3befcc1-51de-4bf9-ac3c-5b2c36938333","-3..3 days","Week 8"
"P4D","Timing_9","TIM9","Timing","P12W","P4D","Week 12 timing","3aa940d8-cdfb-4f64-9164-a920873bbb07","-4..4 days","Week 12"
"P4D","Timing_11","TIM11","Timing","P16W","P4D","Week 16 timing","16bfb6cc-426e-4354-8458-f6a4744f7c80","-4..4 days","Week 16"
"P4D","Timing_13","TIM13","Timing","P20W","P4D","Week 20 timing","4c9b7259-fbe5-411c-96c9-d15ac33f4249","-4..4 days","Week 20"
"P4D","Timing_15","TIM15","Timing","P24W","P4D","Week 24 timing","b43826f1-1055-4d0f-aae2-1decf92633e4","-4..4 days","Week 24"
"P3D","Timing_16","TIM16","Timing","P26W","P3D","Week 26 timing","75d1efae-a200-4810-98bc-d252ceb30a2a","-3..3 days","Week 26"
"","Timing_8","TIM8","Timing","P2W","","Week 8 at home timing","1abea521-3b8a-4ad5-a98b-fa52f4805439","","Week 8 Home"
"","Timing_10","TIM10","Timing","P2W","","Week 12 at home timing","337f7301-ddaa-4d74-a74a-46212d6d2f82","","Week 12 Home"
"","Timing_12","TIM12","Timing","P2W","","Week 16 at home timing","03d7a21c-0f94-44c9-a60a-9c6155de5e8a","","Week 16 Home"
"","Timing_14","TIM14","Timing","P2W","","Week 20 at home timing","f4a567cb-5fc7-4a3b-9d7b-b3fe73160a86","","Week 20 Home"
"","Timing_17","TIM17","Timing","P1D","","Adverse Event","506ad602-8498-47ff-9527-9f52d8638b3a","","Adverse Event"
"","Timing_18","TIM18","Timing","P1D","","Early Termination","5f407af1-1e20-4c67-85d8-08141f20e26e","","Early Termination"
"","Timing_19","TIM19","Timing","PT0M","","Supine","c44bfd3a-5a30-4d0c-82e3-d6c621161f6a","","Supine"
"","Timing_20","TIM20","Timing","PT5M","","VS while supine","f936a5ea-c9bd-4e75-90e5-d66f7b4495ad","","VS while supine"
"","Timing_21","TIM21","Timing","PT0M","","Standing","5b450a27-7ed9-4224-b1ff-a41398b5c985","","Standing"
"","Timing_22","TIM22","Timing","PT1M","","VS while standing","48e005cd-dd10-4714-b1cb-531e9fb222fa","","VS while standing"
"","Timing_23","TIM23","Timing","PT0M","","Standing","ff8bc40d-fc2d-47d5-84db-28797abb574e","","Standing"
"","Timing_24","TIM24","Timing","PT2M","","VS while standing","2ff8da13-eef1-4ecc-a0d4-72dc99fc1f52","","VS while standing"
