"id","name","instanceType","uuid:ID","text"
"TransitionRule_1","ENCOUNTER_START_RULE_1","TransitionRule","4d7781c2-7f6d-4bd0-a963-26206c7c7960","Subject identifier"
"TransitionRule_2","ENCOUNTER_START_RULE_1","TransitionRule","898c7ddf-35b6-4e32-b9e6-6f1feb48e12e","completion of screening activities"
"TransitionRule_3","ENCOUNTER_START_RULE_2","TransitionRule","45c098e3-0fce-4037-9b0a-1b277e12c73f","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","ENCOUNTER_START_RULE_3","TransitionRule","300c762f-818d-4f50-a9d5-f802f69b43bc","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","ENCOUNTER_START_RULE_3","TransitionRule","fcb8ecb1-1a01-4e0d-a41f-fb238384ac1a","Radomized"
"TransitionRule_6","ENCOUNTER_START_RULE_12","TransitionRule","0476396c-415d-4e74-9996-4a084d37dac4","End of treatment"
"TransitionRule_7","ELEMENT_START_RULE_1","TransitionRule","30029679-063e-484c-a9d5-a7c94605dc0c","Informed consent"
"TransitionRule_8","ELEMENT_END_RULE_1","TransitionRule","fad84870-e08d-4484-861e-9532047ede31","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","ELEMENT_START_RULE_2","TransitionRule","b732f011-8e24-48b6-9b3d-d0aa1c5a44c6","Administration of first dose"
"TransitionRule_14","ELEMENT_START_RULE_7","TransitionRule","ff22eb8d-a79c-47da-bcd9-d18d786b60ba","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","ELEMENT_END_RULE_7","TransitionRule","7395d06b-9c76-4f6b-9771-a7958ab0049d","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","ELEMENT_START_RULE_3","TransitionRule","6423f750-5e5e-4972-9c8b-5d51cf32aa87","Administration of first dose"
"TransitionRule_11","ELEMENT_START_RULE_4","TransitionRule","329348fd-66e7-46e6-ac79-27c4b9d512b7","Randomized"
"TransitionRule_12","ELEMENT_START_RULE_5","TransitionRule","a52ecfe5-0aaa-4bef-9da0-87d59f22bca6","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","ELEMENT_START_RULE_6","TransitionRule","940f5da2-c004-4e19-ac0a-c8d3f51dc39a","Administration of first dose (from patches supplied at Visit 12)"
