"id","name","instanceType","sectionTitle","sectionNumber","uuid:ID","text"
"NarrativeContent_1","ROOT","NarrativeContent","Root","0","f1818508-5543-4c7c-8495-f80193927028",""
"NarrativeContent_2","SECTION 0","NarrativeContent","TITLE PAGE","0","3d1d3735-a8de-48ba-b999-937495738f5d","<div><usdm:section name=""M11-title-page""></div>"
"NarrativeContent_3","SECTION 1","NarrativeContent","PROTOCOL SUMMARY","1","dd4533ab-c7a4-4f68-bf47-2a9b42c341e8","<div></div>"
"NarrativeContent_4","SECTION 1.1","NarrativeContent","Protocol Synopsis","1.1","4bd4ccaf-dad9-4b83-824e-02fbb4989c17","<div></div>"
"NarrativeContent_5","SECTION 1.2","NarrativeContent","Trial Schema","1.2","d7521600-3815-468a-88e6-15415b77e7fb","<div></div>"
"NarrativeContent_6","SECTION 1.3","NarrativeContent","Schedule of Activities","1.3","2fcda7c0-e8f9-489e-89b9-05a2465ac3d0","<div></div>"
"NarrativeContent_7","SECTION 2","NarrativeContent","INTRODUCTION","2","d6193af9-e1bf-43f1-bbce-26bcb55a1fc1","<div></div>"
"NarrativeContent_8","SECTION 2.1","NarrativeContent","Purpose of Trial","2.1","2518a15c-4795-4a01-a50c-043e2a1746b7","<div></div>"
"NarrativeContent_9","SECTION 2.2","NarrativeContent","Summary of Benefits and Risks","2.2","140ee113-72e9-4a59-a3fb-0ba8d52cb323","<div></div>"
"NarrativeContent_10","SECTION 3","NarrativeContent","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3","cdc9cfdc-2e4e-44dc-aafe-69fe52aa9280","<div></div>"
"NarrativeContent_11","SECTION 3.1","NarrativeContent","Primary Objectives","3.1","316bdda1-fd0b-43c4-83e1-48efe8971862","<div><usdm:section name=""M11-objective-endpoints""></div>"
"NarrativeContent_12","SECTION 4","NarrativeContent","TRIAL DESIGN","4","90e2baa0-ac4b-406d-9b11-451a901eb76d","<div></div>"
"NarrativeContent_13","SECTION 4.1","NarrativeContent","Description of Trial Design","4.1","1d1cbd09-9fe8-45d6-bedc-eb7d6588fb87","<div></div>"
"NarrativeContent_14","SECTION 4.1.1","NarrativeContent","Participant Input into Design","4.1.1","27eb0e17-2bf6-4175-bc8d-6e5ab49eeb61","<div></div>"
"NarrativeContent_15","SECTION 4.2","NarrativeContent","Rationale for Trial Design","4.2","2c1821d3-a181-4ada-a856-34b70aa469ec","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
