"id","name","instanceType","description","uuid:ID","label"
"Activity_1","Informed consent","Activity","","4a29d613-904d-43e0-8792-7cb731cb9c7c",""
"Activity_2","Inclusion/exclusion criteria","Activity","","ca60ea58-2a86-4c3b-bfbf-56c253902ae0",""
"Activity_3","Patient number assigned","Activity","","96070842-b91e-44dc-9ce9-f4032781bcac",""
"Activity_4","Demographics","Activity","","b52c9d72-4094-4d8c-b564-407e117fc09c","Demographics"
"Activity_5","Hachinski","Activity","","daac0b49-da3d-4c39-b9ad-08ccc0306322","Hachinski"
"Activity_6","MMSE","Activity","","4edb83f6-647c-449e-8f8d-00bf734cf1f2","MMSE"
"Activity_7","Physical examination","Activity","","f298cd10-3c23-4a53-ad1d-efae6f153493",""
"Activity_8","Medical history","Activity","","25c55a9e-da6a-43b0-8782-25a04a199e62",""
"Activity_9","Habits","Activity","","6a1f4684-1da5-4715-8d2b-56e260b80ed1",""
"Activity_10","Chest X-ray","Activity","","2e887506-810c-4a61-b18d-137b069486f6",""
"Activity_11","Apo E genotyping","Activity","","5789cc9d-e7c3-4d13-b1c7-d32261eb6410",""
"Activity_12","Patient randomised","Activity","","61f92e0c-a206-49f7-9d96-bef97acf275e",""
"Activity_13","Vital signs / Temperature","Activity","","d58799d5-9796-458f-b85a-76947a2148fe","Vital Signs and Temperature"
"Activity_14","Ambulatory ECG placed","Activity","","754082b5-5e60-480b-b727-11b01d29899d",""
"Activity_15","Ambulatory ECG removed","Activity","","db618983-d5e7-4950-9de1-d2657d4f5073",""
"Activity_16","ECG","Activity","","71d3c51a-ffe0-4a64-acfb-844ca6b8211e",""
"Activity_17","Placebo TTS test","Activity","","0b18cb5f-1ca8-45ce-a89b-0cc9572f46ce",""
"Activity_18","CT scan","Activity","","e90e73e8-4109-46e9-873d-7c0a21cf4cb8",""
"Activity_19","Concomitant medications","Activity","","fdc91d42-e856-4b99-a8db-1e7b4598d4d3",""
"Activity_20","Hematology","Activity","","25ed3427-3b51-46ec-bfeb-4dc0db1d60d7",""
"Activity_21","Chemistry","Activity","","7ad0ae61-ad28-4b20-994e-d531ca6ebf94",""
"Activity_22","Uninalysis","Activity","","ac696b78-799a-4c81-b7e3-5533a6574160",""
"Activity_23","Plasma Specimen (Xanomeline)","Activity","","89417333-0ba1-4ec5-823b-4d5c4b3fd193",""
"Activity_24","Hemoglobin A1C","Activity","","3845d35f-b78c-4239-b0cc-67cb5544bedf",""
"Activity_25","Study drug","Activity","","f34e438e-4681-4034-a193-f385173932b0","Study drug record , Medications dispensed, Medications returned"
"Activity_26","TTS Acceptability Survey","Activity","","81d4bf59-3cff-4fc6-ae23-77ffd2fe2f52",""
"Activity_27","ADAS-Cog","Activity","","c6a51470-0462-44b7-914c-4b33b9320f9a",""
"Activity_28","CIBIC+","Activity","","a337607f-0f76-48d8-804c-c4157943e36a",""
"Activity_29","DAD","Activity","","c34bead5-49e1-4c9c-bc0e-88fbc90bed26",""
"Activity_30","NPI-X","Activity","","da743171-f724-4640-a756-9ff724e49a8b",""
"Activity_31","Adverse events","Activity","","ba96b091-1aad-4005-875f-f01b17074f8d",""
"Activity_32","Check adverse events","Activity","","250afdd8-010d-4eff-831a-bf1394e4c3c7",""
"Activity_33","Supine","Activity","","a6b959b1-2713-4739-85d8-ac09070d2467","Subject supine"
"Activity_34","Vital Signs Supine","Activity","","f2eec205-dd33-4606-9867-a2faf14c90af","Vital signs while supine"
"Activity_35","Stand","Activity","","712247bf-ad74-4cf1-95fb-59eca23526d2","Subject Standing"
"Activity_36","Vital Signs Standing","Activity","","336b597f-6464-47c5-9ffb-aa691ed6c8e9","Vital signs while standing"
