"name","label","description","windowLabel","id","windowLower","value","windowUpper","instanceType","valueLabel","uuid:ID"
"TIM1","Screening","Screening timing","","Timing_1","","P2W","","Timing","2 weeks","1b0ba32e-7883-4f9f-87fe-4b6b3761ff23"
"TIM2","Pre dose","Pre dose timing","-4..0 hours","Timing_2","PT4H","P2D","PT0H","Timing","2 days","e0ec6457-1bc1-4440-8001-29265b6197b9"
"TIM3","Dosing","Dosing anchor","","Timing_3","","P1D","","Timing","1 Day","8d9a40ac-46a7-4e4d-af24-2ed99bfda5a5"
"TIM4","Week 2","Week 2 timing","-3..3 days","Timing_4","P3D","P2W","P3D","Timing","2 Weeks","2f1294eb-368e-460a-a64a-b072b0bee9a9"
"TIM5","Week 4","Week 4 timing","-3..3 days","Timing_5","P3D","P4W","P3D","Timing","4 Weeks","d2307506-d467-434b-b84d-77e4067926dd"
"TIM6","Week 6","Week 6 timing","-3..3 days","Timing_6","P3D","P6W","P3D","Timing","6 Weeks","6d756c19-2079-4537-9ab5-24df99a607be"
"TIM7","Week 8","Week 8 timing","-3..3 days","Timing_7","P3D","P8W","P3D","Timing","8 Weeks","36a8980e-7fd5-4f8b-aef2-ffe3787e9cd7"
"TIM9","Week 12","Week 12 timing","-4..4 days","Timing_9","P4D","P12W","P4D","Timing","12 Weeks","aeaa94bb-c741-4fd1-8c8b-201fa0b105c7"
"TIM11","Week 16","Week 16 timing","-4..4 days","Timing_11","P4D","P16W","P4D","Timing","16 Weeks","c715cd2f-4d23-4f96-bd3b-74de834a9eee"
"TIM13","Week 20","Week 20 timing","-4..4 days","Timing_13","P4D","P20W","P4D","Timing","20 Weeks","5bb6f7a6-533d-421d-88b8-421aa95f3a6e"
"TIM15","Week 24","Week 24 timing","-4..4 days","Timing_15","P4D","P24W","P4D","Timing","24 Weeks","c9a4892e-8f36-4755-8655-eafb5487fdef"
"TIM16","Week 26","Week 26 timing","-3..3 days","Timing_16","P3D","P26W","P3D","Timing","26 Weeks","d21b9aed-e019-45fa-bfd8-02a8b3792869"
"TIM8","Week 8 Home","Week 8 at home timing","","Timing_8","","P2W","","Timing","2 Weeks","cb0ad0be-697f-49ac-9d2b-cee9f16717f0"
"TIM10","Week 12 Home","Week 12 at home timing","","Timing_10","","P2W","","Timing","2 Weeks","23b4a5a6-6504-42dc-ae7e-d82448489e26"
"TIM12","Week 16 Home","Week 16 at home timing","","Timing_12","","P2W","","Timing","2 Weeks","5fc44c70-9f60-48aa-bc35-eceb70c15522"
"TIM14","Week 20 Home","Week 20 at home timing","","Timing_14","","P2W","","Timing","2 Weeks","ec337437-4c0c-4a72-802d-984b3585f78e"
"TIM17","Adverse Event","Adverse Event","","Timing_17","","P1D","","Timing","1 Day","3ac0d155-3055-4a88-84a1-6dd8dad460d5"
"TIM18","Early Termination","Early Termination","","Timing_18","","P1D","","Timing","1 Day","3d225549-76e3-4f95-96a7-736473fa9b01"
"TIM19","Supine","Supine","","Timing_19","","PT0M","","Timing","0 mins","e7a9b8d5-6686-4782-a1e2-2fb51b6cf9f0"
"TIM20","VS while supine","VS while supine","","Timing_20","","PT5M","","Timing","5 mins","9d7a0d88-58cf-45f4-84e0-7bb814bd9e7b"
"TIM21","Standing","Standing","","Timing_21","","PT0M","","Timing","0 min","7241065b-dd33-44fc-ae5b-77ebb224dd07"
"TIM22","VS while standing","VS while standing","","Timing_22","","PT1M","","Timing","1 min","398be306-d33f-4865-9e8a-ec6f3780745c"
"TIM23","Standing","Standing","","Timing_23","","PT0M","","Timing","0 min","2a653766-a621-412e-ba81-c8aaa5976902"
"TIM24","VS while standing","VS while standing","","Timing_24","","PT2M","","Timing","2 min","2db5505c-8867-479e-a80c-00dbd677de59"
