"name","text","id","instanceType","uuid:ID"
"ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule_1","TransitionRule","abdbb060-eb80-4562-9c3c-6b52639d2d1a"
"ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule_2","TransitionRule","06e4f529-7a46-4a18-bd7f-8c06dade2214"
"ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","TransitionRule","9f391b70-6210-4b2c-9c10-651e4e8666b7"
"ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule_4","TransitionRule","277684b7-f585-4f75-88c4-e7551a9e1658"
"ENCOUNTER_START_RULE_3","Radomized","TransitionRule_5","TransitionRule","b812e438-7c44-421f-b477-d7940d1e12a7"
"ENCOUNTER_START_RULE_12","End of treatment","TransitionRule_6","TransitionRule","ef2941e9-f290-4e5c-89b3-6b504330a0f9"
"ELEMENT_START_RULE_1","Informed consent","TransitionRule_7","TransitionRule","34b83318-b9d6-4604-808c-1d4199753d04"
"ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","TransitionRule","f7239f7a-7aa4-4788-a8b7-f1bf7450a8c3"
"ELEMENT_START_RULE_2","Administration of first dose","TransitionRule_9","TransitionRule","e20be74a-fabe-4954-86a5-143b27c6d59a"
"ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule_14","TransitionRule","fb8449b5-2012-496c-8d3d-c724d0e226f7"
"ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","TransitionRule","09ca4502-35d7-42b1-9f9e-d371a36b9059"
"ELEMENT_START_RULE_3","Administration of first dose","TransitionRule_10","TransitionRule","c2c08c90-ecf6-41f5-9ef1-1488a9663f1c"
"ELEMENT_START_RULE_4","Randomized","TransitionRule_11","TransitionRule","4c4979c8-699d-4125-9f51-58e4ee3ddd1d"
"ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","TransitionRule","427bf5f5-b97f-4a0c-920b-ce0e2203bcb2"
"ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","TransitionRule","46054ba0-e67f-44e7-8e9b-24ac017aedc6"
