"name","label","id","synonyms","instanceType","uuid:ID","reference"
"Informed Consent Obtained","Informed Consent Obtained","BiomedicalConcept_20","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept","74b32360-3a33-4131-8216-e4c0eb99340f","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT"
"Sex","Sex","BiomedicalConcept_21","","BiomedicalConcept","807f51d9-d132-49ef-9221-28c2115d6612","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"Race","Race","BiomedicalConcept_22","['Racial Group']","BiomedicalConcept","5a2937ad-38bb-43cd-b19f-89ec90d86795","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"Temperature","Temperature","BiomedicalConcept_23","['Temperature', 'Body Temperature']","BiomedicalConcept","feb9b674-4108-4d7c-88c1-7208722fba6b","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","Weight","BiomedicalConcept_24","['Weight', 'Body Weight']","BiomedicalConcept","a229d976-9d63-4457-918a-5727c6b514b7","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","Height","BiomedicalConcept_25","['Height', 'Body Height']","BiomedicalConcept","15f37b5d-ad84-431e-ba53-80d426af252e","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","30c75e77-ea7c-4513-bce1-77cd16fe0791","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","Albumin Presence in Urine","BiomedicalConcept_27","['Albumin', 'Albumin Measurement']","BiomedicalConcept","f1983d56-8389-4fd9-b3a3-db4ca6709d85","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","752c51b6-a157-4a16-9b6a-95459dbb94af","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","2b0c6405-3101-4714-bcba-94451c075168","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
