"name","label","description","id","instanceType","uuid:ID"
"E1","Screening 1","Screening encounter","Encounter_1","Encounter","317c2b6c-26cd-4e84-81ad-8c0bf367c61b"
"E2","Screening 2","Screening encounter - Ambulatory ECG Placement","Encounter_2","Encounter","fd36bd4c-7336-41c0-b2a1-4d3ea693cf62"
"E3","Baseline","Baseline encounter - Ambulatory ECG Removal","Encounter_3","Encounter","79ab5c44-35ae-4524-9d22-91a337fa52be"
"E4","Week 2","Day 14","Encounter_4","Encounter","6d8e4970-0cb5-4b76-8845-5892af317a58"
"E5","Week 4","Day 28","Encounter_5","Encounter","eb8ff014-d221-425f-8d87-a81ef7291af9"
"E7","Week 6","Day 42","Encounter_6","Encounter","e6c19570-a41a-4ca2-8957-6224e0f45c1d"
"E8","Week 8","Day 56","Encounter_7","Encounter","c0bbc24c-d91e-4e17-8bf5-55c105a83265"
"E9","Week 12","Day 84","Encounter_8","Encounter","5540deb4-addc-4e52-8f32-207cc468fcf5"
"E10","Week 16","Day 112","Encounter_9","Encounter","7e697ce0-22d3-496d-812a-557f3ea9b047"
"E11","Week 20","Day 140","Encounter_10","Encounter","b1627970-cc4a-42b8-a56a-161b8c6fc629"
"E12","Week 24","Day 168","Encounter_11","Encounter","ccff8940-c386-4aef-b40d-91763e0e7366"
"E13","Week 26","Day 182","Encounter_12","Encounter","8f5ef881-b560-4c94-8884-a54ca6365c4f"
