"decode","codeSystem","id","code","instanceType","codeSystemVersion","uuid:ID"
"Interventional Study","http://www.cdisc.org","Code_1","C98388","Code","2023-12-15","e10b7200-ebfd-4fe6-883a-88dd60cd0add"
"Phase II Trial","http://www.cdisc.org","Code_2","C15601","Code","2023-12-15","5ce4cae0-fee8-4195-9883-ef91ed589dc4"
"Sponsor Approval Date","http://www.cdisc.org","Code_9","C132352","Code","2023-12-15","8472b3f9-60f0-48f8-9976-6ac44d427499"
"Global","http://www.cdisc.org","Code_10","C68846","Code","2023-12-15","9305593a-3cef-477a-8e67-699b835666d9"
"IRB/IEC Feedback","http://www.cdisc.org","Code_72","C99904x3","Code","2023-12-15","65ddf6f7-3835-4c88-8db0-01bab8972a39"
"Other","http://www.cdisc.org","Code_73","C17649","Code","2023-12-15","59bed95f-102a-4788-90bf-8a60a767bd22"
"Region","http://www.cdisc.org","Code_75","C41129","Code","2023-12-15","7ae921e2-0979-4bdb-87d1-a392027b3efe"
"Europe","ISO 3166 1 alpha3","Code_74","150","Code","2020-08","3a355305-1994-4e81-a124-f51eabd36267"
"Eli Lilly","SPONSOR","Code_4","PHARMA","Code","12","53c10095-1622-476d-9425-58955fbc6fca"
"Clinical Study Sponsor","http://www.cdisc.org","Code_76","C70793","Code","2023-12-15","3833d716-ece8-4352-af71-5a81cbd1a0de"
"United States of America","ISO 3166 1 alpha3","Code_77","USA","Code","2020-08","a7ebf8fe-9197-43b7-b806-f5e7971d3a5e"
"Study Registry","http://www.cdisc.org","Code_78","C93453","Code","2023-12-15","f957a3b1-f5b9-4607-9373-7838d9cd36b0"
"United States of America","ISO 3166 1 alpha3","Code_79","USA","Code","2020-08","41debba8-dc04-4935-a81a-a56959820dd6"
"Treatment Study","http://www.cdisc.org","Code_137","C49656","Code","2023-12-15","afaf6010-7296-4f3a-b1ec-c756e22655c9"
"Efficacy Study","http://www.cdisc.org","Code_138","C49666","Code","2023-12-15","dbe6c577-9e8b-4ecd-bf3d-975336cc8161"
"Safety Study","http://www.cdisc.org","Code_139","C49667","Code","2023-12-15","96effbb3-c9ea-4842-b54a-44d8d9bc5fd7"
"Pharmacokinetic Study","http://www.cdisc.org","Code_140","C49663","Code","2023-12-15","067d4ed9-9327-408f-85e7-99a6a8cbbde7"
"Mild to Moderate Alzheimer's Disease","SPONSOR","Code_134","MILD_MOD_ALZ","Code","12","367422b6-d9ae-4535-a731-ea69bcb5ae25"
"Alzheimer's disease","SNOMED","Code_135","26929004","Code","January 31, 2018","bb50b24b-026e-49b5-adb7-99db04fba9aa"
"EXTENSION","http://www.cdisc.org","Code_143","C99907x1","Code","2023-12-15","c5388dd3-b743-4645-8589-20925f155878"
"ADAPTIVE","http://www.cdisc.org","Code_144","C98704","Code","2023-12-15","f3cc98b2-b2a9-42a7-9a12-043fa31f87ea"
"Parallel Study","http://www.cdisc.org","Code_141","C82639","Code","2023-12-15","400c8d84-2b8e-4662-9ae5-1be58cc50c0e"
