"name","label","description","id","instanceType","uuid:ID"
"SCREEN1","Screen One","-","ScheduledActivityInstance_9","ScheduledActivityInstance","e39eb61b-283e-48de-9417-705b231df983"
"SCREEN2","Screen Two","-","ScheduledActivityInstance_10","ScheduledActivityInstance","59275a3c-2e19-490f-9f63-7e01b2191024"
"DOSE","Dose","-","ScheduledActivityInstance_11","ScheduledActivityInstance","c65a2d9c-dcae-4878-8a67-f727ebc9cd09"
"WK2","Week 2","-","ScheduledActivityInstance_12","ScheduledActivityInstance","0c32f56a-b7d8-4ba8-9d35-70d0ea05750e"
"WK4","Week 4","-","ScheduledActivityInstance_13","ScheduledActivityInstance","0b93dace-b396-478f-9251-c52f4b873505"
"WK6","Week 6","-","ScheduledActivityInstance_14","ScheduledActivityInstance","481a8e80-c210-4215-aa66-63e373796869"
"WK8","Week 8","-","ScheduledActivityInstance_15","ScheduledActivityInstance","e7e22b88-0ef8-4b57-b77d-84778ae17ecb"
"WK8N","Week NPI","-","ScheduledActivityInstance_16","ScheduledActivityInstance","665da9c3-7429-4308-be29-2490de1fb880"
"WK12","Week 12","-","ScheduledActivityInstance_17","ScheduledActivityInstance","ae2cc3bb-afa3-426c-8fbe-5ef2cf45ad4d"
"WK12N","Week 12 NPI","-","ScheduledActivityInstance_18","ScheduledActivityInstance","1f71b3bc-5b88-4f66-8dc4-91cba30dc860"
"WK16","Week 16","-","ScheduledActivityInstance_19","ScheduledActivityInstance","3261aeee-be8d-4dcf-9d79-14a832102639"
"WK16N","Week 16 NPI","-","ScheduledActivityInstance_20","ScheduledActivityInstance","29fd6082-a027-4027-b5e1-7f0255bf24c1"
"WK20","Week 20","-","ScheduledActivityInstance_21","ScheduledActivityInstance","f974a8d8-c9db-4214-a82b-e9d834ad337f"
"WK20N","Week 20 NPI","-","ScheduledActivityInstance_22","ScheduledActivityInstance","cd934992-2b1c-436b-bc98-1e47f19aa1c3"
"WK24","Week 24","-","ScheduledActivityInstance_23","ScheduledActivityInstance","ae198253-157e-4111-b5c5-70f01838b303"
"WK26","Week 26","-","ScheduledActivityInstance_24","ScheduledActivityInstance","4f0f65d5-0cd6-4ce5-9026-849a1b8d059a"
"AE","Adevers Event","-","ScheduledActivityInstance_1","ScheduledActivityInstance","4f6a2ec5-039d-4141-b039-145233945c60"
"ET","Early Termination","-","ScheduledActivityInstance_2","ScheduledActivityInstance","50561bb0-a80e-4aaf-8e57-517b618ebfa7"
"VS_5MIN","5 minute supine","","ScheduledActivityInstance_3","ScheduledActivityInstance","fbc79a63-1b75-4758-a805-042c7a49ea28"
"VS_SUPINE","Vital signs supine","","ScheduledActivityInstance_4","ScheduledActivityInstance","1238f0b7-385f-427b-ac06-11ae35d2cd10"
"VS_1MIN","1 minute standing","","ScheduledActivityInstance_5","ScheduledActivityInstance","f6ce944a-a880-421e-993f-ba5aac5fd310"
"VS_STAND1","Vital signs after 1 min standing","","ScheduledActivityInstance_6","ScheduledActivityInstance","a4a0688c-724f-48b9-903a-82543e15f48c"
"VS_2MIN","2 minute standing","","ScheduledActivityInstance_7","ScheduledActivityInstance","af309686-3693-441a-831d-19487e9809d7"
"VS_STAND3","Vital signs after 3 min standing","","ScheduledActivityInstance_8","ScheduledActivityInstance","6b98ac7c-a167-4545-ae6d-91a492f1e369"
