"name","label","description","id","instanceType","uuid:ID"
"Informed consent","Informed consent","","Activity_1","Activity","b96b82fb-d280-4455-b410-563f1cfbcba2"
"Inclusion/exclusion criteria","Inclusion and exclusion criteria","","Activity_2","Activity","e267f7cc-4e57-448c-9723-df19a34e93fc"
"Patient number assigned","Patient number assigned","","Activity_3","Activity","0422fe5c-eadb-4e4e-a59e-5d06e2f9f3f3"
"Demographics","Demographics","","Activity_4","Activity","72af5a0c-9db2-4de7-a790-a53267fbf6f0"
"Hachinski","Hachinski Ischemic Scale","","Activity_5","Activity","65efaa0d-27a7-4fe6-981a-06b26a928246"
"MMSE","MMSE","","Activity_6","Activity","f397f06f-aaab-4e72-aab9-14bd71c3b83d"
"Physical examination","Physical examination","","Activity_7","Activity","7a577930-e3c0-4894-83b5-ae363fb371de"
"Medical history","Medical history","","Activity_8","Activity","16f44efa-2d67-4631-ad4b-f36a12975e7f"
"Habits","Habits","","Activity_9","Activity","54186a87-6108-4751-bd89-aacfce8a3682"
"Chest X-ray","Chest X-ray","","Activity_10","Activity","9435a130-1cdf-4ba4-b948-1352613325ee"
"Apo E genotyping","Apo E genotyping","","Activity_11","Activity","ccbfaf1d-1faf-480c-9f41-427b6b525fe2"
"Patient randomised","Patient randomised","","Activity_12","Activity","d9be305d-d04b-4ada-bb2f-9b45d40d91bc"
"Vital signs / Temperature","Vital Signs and Temperature","","Activity_13","Activity","6578b5da-734d-48c1-91c8-170555e19c47"
"Ambulatory ECG placed","Ambulatory ECG placed","","Activity_14","Activity","73d69e8a-24a2-4408-b3a7-570092bc7dc6"
"Ambulatory ECG removed","Ambulatory ECG removed","","Activity_15","Activity","4b888272-25dd-43ae-98e8-db298434eb44"
"ECG","ECG","","Activity_16","Activity","eaa87012-da6d-450d-b417-f5ad1b1a73a7"
"Placebo TTS test","Placebo TTS test","","Activity_17","Activity","1d347c89-d47b-498f-85ab-41b48cc30780"
"CT scan","CT scan","","Activity_18","Activity","cc2d27ba-90b2-4ae6-9d50-38a8ad0c3d27"
"Concomitant medications","Concomitant medications","","Activity_19","Activity","d47f2dab-a05f-42f4-a0f7-03d121115ccc"
"Hematology","Hematology","","Activity_20","Activity","887648f6-7ca0-4774-8f2c-f0a3bad645b3"
"Chemistry","Chemistry","","Activity_21","Activity","53d6ddc1-4016-4fad-9a42-ec42f74e470c"
"Uninalysis","Uninalysis","","Activity_22","Activity","1f4816f5-c6a8-44f3-b484-33e6c8fb223c"
"Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","","Activity_23","Activity","3e247cc0-c916-4a10-b3d4-446b80bf4cdf"
"Hemoglobin A1C","Hemoglobin A1C","","Activity_24","Activity","f5df97ac-02f3-467e-b84b-5e07401f7e34"
"Study drug","Study drug record , Medications dispensed, Medications returned","","Activity_25","Activity","136c6c84-fd7b-436e-a46e-5bd8c54a2cef"
"TTS Acceptability Survey","TTS Acceptability Survey","","Activity_26","Activity","76e54e79-6439-4343-8620-00e162e9c156"
"ADAS-Cog","ADAS-Cog","","Activity_27","Activity","50c2a29c-a193-4d29-a3a8-7de40060dc88"
"CIBIC+","CIBIC+","","Activity_28","Activity","7c6a282a-171a-4ef7-b4da-e82426567f3b"
"DAD","DAD","","Activity_29","Activity","55685335-b763-4fdd-b498-d1f4f9b50600"
"NPI-X","NPI-X","","Activity_30","Activity","ced4bec8-81ab-4820-bae1-67b71c03c896"
"Adverse events","Adverse events","","Activity_31","Activity","b6996e5b-4730-4ac8-acd8-1965c108e3e8"
"Check adverse events","Check adverse events","","Activity_32","Activity","ab788815-bab7-4fbf-bf2b-45d4c59e4761"
"Supine","Subject supine","","Activity_33","Activity","3b03c0f1-ee53-45f9-a0d4-7a7b58167df8"
"Vital Signs Supine","Vital signs while supine","","Activity_34","Activity","5a1cefc2-b09f-41eb-b08b-eb8344edced1"
"Stand","Subject Standing","","Activity_35","Activity","a57d81a2-07e5-4d68-9f72-f7b9ef904c0e"
"Vital Signs Standing","Vital signs while standing","","Activity_36","Activity","bf737f9f-8721-4738-b5b7-da856d8e6e20"
