"name","label","description","text","id","purpose","instanceType","uuid:ID"
"END1","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1","","Endpoint","07c1bfb1-0543-4a22-8b5c-70a0ab69116d"
"END2","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2","","Endpoint","e765d7ff-2913-41c0-8d4c-267669bf0cc3"
"END3","","","Adverse events","Endpoint_3","","Endpoint","46d0b148-fe05-466c-90ee-357f66be0b15"
"END4","","","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4","","Endpoint","587f13af-729a-43c2-a572-936476bf2602"
"END5","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Laboratory evaluations (Change from Baseline)","Endpoint_5","","Endpoint","2ddf921a-a543-449a-95b7-9cce70f521d1"
"END6","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6","","Endpoint","1a1a96ab-c7f4-41f3-b6d3-ce8f93f6f50f"
"END7","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7","","Endpoint","dd9a28fd-d392-4fee-a89f-04749913a702"
"END8","","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8","","Endpoint","7e6079fd-79f1-42af-a151-cdbcaca85e44"
"END9","","","*** To be determined from protocol ***","Endpoint_9","","Endpoint","eff138be-8dae-4ca1-bdb7-6fca5c1ec64e"
"END10","","","*** To be determined from protocol ***","Endpoint_10","","Endpoint","780ff47e-17bd-4634-85dd-09fdcc7ad352"
"END11","","","*** To be determined from protocol ***","Endpoint_11","","Endpoint","31d7cfe1-60fa-4797-9d9a-bcfcf11c6f5b"
