"window","description","value","label","uuid:ID","id","name","windowLower","windowUpper"
"","Screening timing","P2W","Screening","dddf1835-729f-4df9-ae95-2cb4239a9a85","Timing_1","TIM1","",""
"-4..0 hours","Pre dose timing","P2D","Pre dose","4123d464-8c7e-4626-af22-e83d77208979","Timing_2","TIM2","PT4H","PT0H"
"","Dosing anchor","P1D","Dosing","06be54dc-e57f-4ee4-a3cc-2c93d151f0fb","Timing_3","TIM3","",""
"-3..3 days","Week 2 timing","P2W","Week 2","42a47232-7212-46db-a8cd-8b9737f54d80","Timing_4","TIM4","P3D","P3D"
"-3..3 days","Week 4 timing","P4W","Week 4","7f7ceef4-cc0c-4373-9cba-c346ba44edf5","Timing_5","TIM5","P3D","P3D"
"-3..3 days","Week 6 timing","P6W","Week 6","eb580c55-78db-46a6-839c-d40776f0ad5e","Timing_6","TIM6","P3D","P3D"
"-3..3 days","Week 8 timing","P8W","Week 8","e668075f-4699-4608-9bc9-c88455930ed6","Timing_7","TIM7","P3D","P3D"
"","Week 8 at home timing","P2W","Week 8 Home","97149748-d056-49a7-b389-66a72e0822f6","Timing_8","TIM8","",""
"-4..4 days","Week 12 timing","P12W","Week 12","24f4a17a-ac4f-482f-86b4-1a5153917ac9","Timing_9","TIM9","P4D","P4D"
"","Week 12 at home timing","P2W","Week 12 Home","066a37f2-7fa9-4941-b55b-069645c93c90","Timing_10","TIM10","",""
"-4..4 days","Week 16 timing","P16W","Week 16","1edbadcc-aea7-437d-b9b2-4b59d0a2dd1d","Timing_11","TIM11","P4D","P4D"
"","Week 16 at home timing","P2W","Week 16 Home","190baade-95b9-4715-9eab-8809b494cd40","Timing_12","TIM12","",""
"-4..4 days","Week 20 timing","P20W","Week 20","5c87d62e-6c72-4ed2-8e17-a76397a243fd","Timing_13","TIM13","P4D","P4D"
"","Week 20 at home timing","P2W","Week 20 Home","88d1fb03-4283-4e48-bed5-e6d219a9c78e","Timing_14","TIM14","",""
"-4..4 days","Week 24 timing","P24W","Week 24","f70f66e1-dd58-4363-b928-b52e161ac704","Timing_15","TIM15","P4D","P4D"
"-3..3 days","Week 26 timing","P26W","Week 26","12f10926-9143-4a90-8a01-a069b6a92a2b","Timing_16","TIM16","P3D","P3D"
"","Adverse Event","P1D","Adverse Event","0c611cc6-5376-4b5b-96bf-eea347078591","Timing_17","TIM17","",""
"","Early Termination","P1D","Early Termination","a498c8ae-bae6-4395-bdc1-8d5d65cd52fd","Timing_18","TIM18","",""
"","BP Anchor","PT0M","BP Anchor","ac6822fe-68e2-4f3c-b6ad-27ed6c825c16","Timing_19","TIM19","",""
"","BP while Supine","PT5M","BP while Supine","180b1d31-0275-43c1-b530-f37dcc117664","Timing_20","TIM20","",""
"-2..0 min","BP Stand Up","PT3M","BP Stand Up","ff6cf16e-c1e0-452a-886b-f9a449c6d6c4","Timing_21","TIM21","PT2M","PT0M"
"","BP while standing","PT0M","BP while standing","d0bde68a-ed6c-44cb-97de-635997711796","Timing_22","TIM22","",""
