"id","uuid:ID","name","text"
"TransitionRule_1","4f0b7c81-ea1f-4b36-9844-06639fc97802","ENCOUNTER_START_RULE_1","Subject identifier"
"TransitionRule_2","6bc87d83-f409-4ce7-bbd4-49e9b1f46177","ENCOUNTER_START_RULE_1","completion of screening activities"
"TransitionRule_3","00bae7cc-e8d4-42dd-98c5-1d5d82a24601","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","9d5ca6e8-b37f-407a-83b3-b236b6403958","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","5397e469-bda1-4a00-bc21-56ad97744dfe","ENCOUNTER_START_RULE_3","Radomized"
"TransitionRule_6","6a44f39a-4b88-4104-86b9-2216d020e3b9","ENCOUNTER_START_RULE_12","End of treatment"
"TransitionRule_7","09d59d8e-0d80-4350-af3c-ecbc858160ba","ELEMENT_START_RULE_1","Informed consent"
"TransitionRule_8","9ff2646b-1481-4e08-8128-9a94e516549f","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","0cea405a-d35c-44c2-b9b8-f88453aa82d1","ELEMENT_START_RULE_2","Administration of first dose"
"TransitionRule_14","f6f64dea-7a35-48ba-8975-f979e5ef6fdf","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","e56ea6fa-17cc-411a-9d9c-ccedb9d744ce","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","05e244df-1b26-4ca4-afc0-b1ce04d2a807","ELEMENT_START_RULE_3","Administration of first dose"
"TransitionRule_11","5942a683-558f-440c-84f9-c589eba59a5f","ELEMENT_START_RULE_4","Randomized"
"TransitionRule_12","33a57d66-f9d5-4f1b-9eb8-4cd7d91d8055","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","9d9c020f-711c-4635-a87c-12f8fb35c758","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)"
