"description","uuid:ID","label","id","name"
"Screening encounter","9bd20f72-dc96-4ff0-b333-7c37933c69f0","Screening 1","Encounter_1","E1"
"Screening encounter - Ambulatory ECG Placement","8fa80190-8bb9-483a-83e5-266d5c62bf7b","Screening 2","Encounter_2","E2"
"Baseline encounter - Ambulatory ECG Removal","3a20d5b8-a6c8-411f-88cc-b60d0f541744","Baseline","Encounter_3","E3"
"Day 14","2f6d6408-8508-47d0-b790-a142f8d8a0a9","Week 2","Encounter_4","E4"
"Day 28","c8f51290-c4d6-489e-9a2e-10e5f107f53d","Week 4","Encounter_5","E5"
"Day 42","197bbc58-c109-43e2-ae19-cc611370b40d","Week 6","Encounter_6","E7"
"Day 56","f558e397-daf8-45de-b2ba-6b46d6e3011c","Week 8","Encounter_7","E8"
"Day 84","33a3b3c7-be73-42c2-904f-d65f117a0135","Week 12","Encounter_8","E9"
"Day 112","cdfbbd93-8a34-478b-b6ad-86c35eabd01d","Week 16","Encounter_9","E10"
"Day 140","50b3242c-593a-40ba-a9cc-588b25d6b4c5","Week 20","Encounter_10","E11"
"Day 168","f5e03aef-1543-497e-9473-7cb70aa40c07","Week 24","Encounter_11","E12"
"Day 182","1c527f77-70c3-49e6-9ffe-42ba089a7c92","Week 26","Encounter_12","E13"
