"uuid:ID","id","sectionTitle","name","text","sectionNumber"
"6522be7f-7507-42f0-86af-6dbb7d49f261","NarrativeContent_1","Root","ROOT","","0"
"83d02677-df24-4450-97b6-bd71b84a8aa6","NarrativeContent_2","TITLE PAGE","SECTION 0","<div><usdm:section name=""M11-title-page""></div>","0"
"47b736e0-5c03-49d6-91ed-470c2952248a","NarrativeContent_3","PROTOCOL SUMMARY","SECTION 1","<div></div>","1"
"edac7c54-e513-4b72-8788-4631374d6768","NarrativeContent_4","Protocol Synopsis","SECTION 1.1","<div></div>","1.1"
"ef83a54e-dee6-409f-94e9-3613a9ee5f02","NarrativeContent_5","Trial Schema","SECTION 1.2","<div></div>","1.2"
"28dcdd23-02d3-47c5-8896-9ead611991ff","NarrativeContent_6","Schedule of Activities","SECTION 1.3","<div></div>","1.3"
"a9a65cb3-921e-47f8-9d51-8297134e7fd2","NarrativeContent_7","INTRODUCTION","SECTION 2","<div></div>","2"
"37b7c581-2690-4a5a-9c11-62eeb36866b7","NarrativeContent_8","Purpose of Trial","SECTION 2.1","<div></div>","2.1"
"5b943e79-b893-4309-bdcf-e44d00f8bfff","NarrativeContent_9","Summary of Benefits and Risks","SECTION 2.2","<div></div>","2.2"
"d7e58905-cd4d-4350-9cb2-e73325e30a8e","NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","<div></div>","3"
"50f244e1-e142-4c76-9b6b-a983bdd78583","NarrativeContent_11","Primary Objectives","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1"
"472cb803-29ee-4776-bbba-c74353135b44","NarrativeContent_12","TRIAL DESIGN","SECTION 4","<div></div>","4"
"8e49ab39-b036-4e00-863a-9c4052915107","NarrativeContent_13","Description of Trial Design","SECTION 4.1","<div></div>","4.1"
"10ea6ea5-ab03-458e-9ed2-0687952d1801","NarrativeContent_14","Participant Input into Design","SECTION 4.1.1","<div></div>","4.1.1"
"3f33dc29-87e7-437e-ad6f-389a84ec2d21","NarrativeContent_15","Rationale for Trial Design","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2"
