"name","text","id","uuid:ID"
"ENCOUNTER_START_RULE_1","Subject identified","TransitionRule_1","16588dff-c241-4a35-8b42-79751d9a0425"
"ENCOUNTER_START_RULE_1","IEs passed","TransitionRule_2","1e198752-576d-463c-858e-608398b3a852"
"ENCOUNTER_START_RULE_3","Radomized","TransitionRule_3","d4662134-1bc0-4289-a57d-2252a8337ebe"
"ELEMENT_START_RULE_1","Study Start","TransitionRule_4","c8bfcc1d-bdcd-4da1-862e-2d8984edcec1"
"ELEMENT_END_RULE_1","Screened","TransitionRule_5","32ba01e6-49e2-4254-afbd-2a18d7f11774"
"ELEMENT_START_RULE_2","Screened","TransitionRule_6","e03b7efa-0c63-4130-82c7-46e9a84d927d"
"ELEMENT_END_RULE_2","Radomized","TransitionRule_7","fc49e004-edbf-4348-98d6-0a8bc9c7018e"
"ELEMENT_START_RULE_3","Radomized","TransitionRule_8","160d54db-9119-4cfb-9a6c-ea77b34c0eb0"
"ELEMENT_END_RULE_3","Completed treatment 1","TransitionRule_9","036bcb44-4f96-405d-9061-97d7d34d4031"
"ELEMENT_START_RULE_5","Radomized","TransitionRule_12","88f59461-2efa-44cf-89bc-20f43b8abfaa"
"ELEMENT_END_RULE_5","Completed treatment 2","TransitionRule_13","1300f955-9f2c-429f-8257-655c4a1eb4d8"
"ELEMENT_START_RULE_4","Treated","TransitionRule_10","97281bc4-4c18-4883-8677-621cb227459a"
"ELEMENT_END_RULE_4","Leave Study","TransitionRule_11","3aea7db2-e4af-4836-9e4f-533ccb26e766"
