"decode","codeSystem","uuid:ID","codeSystemVersion","id","code"
"Interventional Study","http://www.cdisc.org","85c3769e-8c86-4bfb-8590-728edde55d42","2023-09-29","Code_1","C98388"
"Phase III Trial","http://www.cdisc.org","9fa58125-2b19-437d-93af-f95d3b733932","2023-09-29","Code_2","C15602"
"Sponsor Approval Date","http://www.cdisc.org","16369c52-0162-4445-88d5-b7cdc1484ee2","2023-09-29","Code_6","C132352"
"Global","http://www.cdisc.org","f489f91b-fa1c-489d-a2f8-6ade8dc3dcad","2023-09-29","Code_7","C68846"
"Vacines Group","SPONSOR","d22d8eb2-29b7-4e04-bf73-8730c1f0b3db","12","Code_3","VAC"
"Regulatory","SPONSOR","c5845ec5-35fe-4852-b85d-0e8beb29709f","12","Code_4","REG"
"Study Registry","http://www.cdisc.org","fd24cc47-0fff-47b8-9c04-d9a03e0ddb48","2023-09-29","Code_10","C93453"
"United Kingdom of Great Britain and Northern Ireland","ISO 3166 1 alpha3","1e1a74ac-fd59-4639-a6fd-5730385ecbcd","2020-08","Code_11","GBR"
"Clinical Study Sponsor","http://www.cdisc.org","fc489989-890d-4ae0-8d24-14c028e7c659","2023-09-29","Code_12","C70793"
"France","ISO 3166 1 alpha3","bd702dac-a765-4507-90c2-0ea4d2167848","2020-08","Code_13","FRA"
"Basic Research","http://www.cdisc.org","da4ee7b7-219c-4c9a-aefd-39844d8b89af","2023-09-29","Code_42","C15714"
"Device Feasibility Study","http://www.cdisc.org","1768a7d9-90d4-4c75-ae58-e4b437d6e608","2023-09-29","Code_43","C139174"
"Efficacy Study","http://www.cdisc.org","a382007a-18dc-4ff9-8699-fe9ab436ca12","2023-09-29","Code_44","C49666"
"Type 2 diabetes","SPONSOR","f255f719-141d-4fa6-a10c-f5762b42a68e","12","Code_39","T2_DIABETES"
"Diabetes mellitus (disorder)","SNOMED","dd17a77e-c01f-4098-af7b-a36fee719043","January 31, 2018","Code_40","73211009"
"Parallel Study","http://www.cdisc.org","499b1170-0754-4b7e-9d82-6335cace05ce","2023-09-29","Code_45","C82639"
"Visit","http://www.cdisc.org","3a59ac3f-ca1c-4e43-b710-67ad061beff7","2023-09-29","Code_16","C25716"
"Clinic","http://www.cdisc.org","73577e03-9146-4ce2-af0e-c41b91f5e4ab","2023-09-29","Code_17","C51282"
"In Person","http://www.cdisc.org","489da628-a1c4-4a7d-b1e1-d0095896d3b5","2023-09-29","Code_18","C175574"
"Visit","http://www.cdisc.org","64e0690c-3b6b-4c73-9129-ae1ee00891fa","2023-09-29","Code_19","C25716"
"Clinic","http://www.cdisc.org","1cf134f9-71af-42bf-8ae6-45beadbd8707","2023-09-29","Code_20","C51282"
"In Person","http://www.cdisc.org","d8784b5e-dc73-43f8-b5e9-e698023ad48b","2023-09-29","Code_21","C175574"
"Visit","http://www.cdisc.org","77e8eac7-5460-43c8-ae52-b5985a493afd","2023-09-29","Code_22","C25716"
"Clinic","http://www.cdisc.org","f11c6987-a6bb-4991-938b-b517efd33b00","2023-09-29","Code_23","C51282"
"In Person","http://www.cdisc.org","094529ca-11a2-4b84-8baa-55ccf07dd85f","2023-09-29","Code_24","C175574"
"Visit","http://www.cdisc.org","73240ee6-4074-41dd-b281-49f376c96e6d","2023-09-29","Code_25","C25716"
"Clinic","http://www.cdisc.org","03bc6771-742a-41d9-9792-7377124cdcd7","2023-09-29","Code_26","C51282"
"In Person","http://www.cdisc.org","a234cebc-6a9d-4b9b-82c2-f00f1114bbb5","2023-09-29","Code_27","C175574"
"Visit","http://www.cdisc.org","71bda04e-661c-4ca9-85e1-a8881fa78bc8","2023-09-29","Code_28","C25716"
"Home","http://www.cdisc.org","f52152d7-e5e9-4fcb-a67d-aee19b508d06","2023-09-29","Code_29","C18002"
"Telephone Call","http://www.cdisc.org","097c2b42-0a1d-43bf-acc2-09138c491539","2023-09-29","Code_30","C171537"
