"text","name","uuid:ID","description","label","instanceType","purpose","id"
"Clinical status assessed using a 7-category ordinal scale at Day 28","END1","7e570807-9f7e-4f07-8382-64b3fa28d5bd","","","ENDPOINT","","Endpoint_1"
"Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","END2","0d1e5ed6-6021-419d-ac76-f69d94833062","","","ENDPOINT","","Endpoint_2"
"Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","END3","1aa32095-f810-4e23-a415-ef525ad1e522","","","ENDPOINT","","Endpoint_3"
"Incidence of mechanical ventilation","END4","478d503a-7d98-4ff2-961c-e9b51a09d037","","","ENDPOINT","","Endpoint_4"
"Ventilator-free days to Day 28","END5","4a666db9-c228-411c-be30-c771455c5b43","","","ENDPOINT","","Endpoint_5"
"Incidence of intensive care unit (ICU) stay","END6","ef94a4fa-0887-4d5c-bee7-95dc0350e965","","","ENDPOINT","","Endpoint_6"
"Duration of ICU stay","END7","aeeaad98-3427-41bd-9106-1ac9bdffc7c8","","","ENDPOINT","","Endpoint_7"
"Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","END8","c18bd9f2-1c8b-40c3-9c68-6b909dcedb81","","","ENDPOINT","","Endpoint_8"
"Mortality rate at Days 7, 14, 21, 28, and 60","END9","e85f3633-da29-4c6a-9a49-b49c26d0ae08","","","ENDPOINT","","Endpoint_9"
"Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","END10","a6e29ffb-fe37-4ec7-ae86-c9600d08921d","","","ENDPOINT","","Endpoint_10"
"Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","END11","d4f1b87a-6132-4e17-a23b-0583ccf00f9d","","","ENDPOINT","","Endpoint_11"
"Duration of supplemental oxygen","END12","76a1d6e7-8285-44b2-bb18-a1d07ce3f994","","","ENDPOINT","","Endpoint_12"
