"id","purpose","name","text","label","description","instanceType","uuid:ID"
"Endpoint_1","","END1","Clinical status assessed using a 7-category ordinal scale at Day 28","","","ENDPOINT","58fd2fdf-1ad6-43ef-bfa8-8456a288590a"
"Endpoint_2","","END2","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","","","ENDPOINT","ae41bb9b-7dc2-4101-b68d-2dfcdc7e47dd"
"Endpoint_3","","END3","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","","","ENDPOINT","ba602171-7331-44a8-ab7d-65ddf8e9ab9b"
"Endpoint_4","","END4","Incidence of mechanical ventilation","","","ENDPOINT","5680ec8d-6349-4478-9929-2b5c268694b3"
"Endpoint_5","","END5","Ventilator-free days to Day 28","","","ENDPOINT","658df99e-bb9e-45b4-8221-650866e8c6ea"
"Endpoint_6","","END6","Incidence of intensive care unit (ICU) stay","","","ENDPOINT","dd18f06e-04b2-45be-83ff-a436891d1f16"
"Endpoint_7","","END7","Duration of ICU stay","","","ENDPOINT","9aaaf5ff-6e44-4f0a-8a92-c3204dc0d08c"
"Endpoint_8","","END8","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","","","ENDPOINT","6b0e9b0f-7568-4bc9-8b0a-5c0acbdd75b2"
"Endpoint_9","","END9","Mortality rate at Days 7, 14, 21, 28, and 60","","","ENDPOINT","2dd1feef-65dd-4454-a923-552d1f817cda"
"Endpoint_10","","END10","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","","","ENDPOINT","43a55314-4034-41c8-bc01-04a1c8a47e19"
"Endpoint_11","","END11","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","","","ENDPOINT","701d6524-6b4e-4379-9cbe-9ca05d32ccdf"
"Endpoint_12","","END12","Duration of supplemental oxygen","","","ENDPOINT","3e5a43bc-aed9-4f64-82a6-7a58e32e9604"
