"id","name","text","label","description","uuid:ID"
"TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identified","","","a6493654-6229-499a-899e-6900776c7ce3"
"TransitionRule_2","ENCOUNTER_START_RULE_1","IEs passed","","","7c0af2e7-a45c-47c9-b1b7-72bb9ad3806a"
"TransitionRule_3","ENCOUNTER_START_RULE_3","Radomized","","","429daef2-09c1-40e5-bc49-b74dc9da3954"
"TransitionRule_4","ELEMENT_START_RULE_1","Study Start","","","cfefe4f8-01ab-4f85-8c39-7892565aa2f3"
"TransitionRule_5","ELEMENT_END_RULE_1","Screened","","","1d3fb40d-4f18-4379-af35-c24cfe0e1753"
"TransitionRule_6","ELEMENT_START_RULE_2","Screened","","","744ce1e5-48d2-4ed2-8a5b-3daeb1fa99a8"
"TransitionRule_7","ELEMENT_END_RULE_2","Radomized","","","7e0bb2ec-8b7b-42c0-a52c-b78730fad672"
"TransitionRule_8","ELEMENT_START_RULE_3","Radomized","","","dd7d299e-99a5-4a46-b54a-0a981947ab57"
"TransitionRule_9","ELEMENT_END_RULE_3","Completed treatment 1","","","488667b8-c996-4e40-938c-647380996c15"
"TransitionRule_12","ELEMENT_START_RULE_5","Radomized","","","012282c7-50d9-4e7b-a9d8-4c75afd1e9b4"
"TransitionRule_13","ELEMENT_END_RULE_5","Completed treatment 2","","","b568ebe0-9960-4797-bbe7-3f47e9bd20e7"
"TransitionRule_10","ELEMENT_START_RULE_4","Treated","","","250b6a5b-bf94-47ba-a9d5-4ef4394e1285"
"TransitionRule_11","ELEMENT_END_RULE_4","Leave Study","","","5f628da7-c362-4645-815b-73d8f6a3be76"
