"id","name","text","sectionNumber","uuid:ID","sectionTitle"
"NarrativeContent_1","ROOT","","0","1c835c0f-9346-4e5c-acda-8378d8ebf5ed","Root"
"NarrativeContent_2","SECTION 1","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","1","007438a6-8629-4f38-a32e-487006990f56","PROTOCOL SUMMARY"
"NarrativeContent_3","SECTION 1.1","<div></div>","1.1","481c31b7-5a0c-4f13-b83c-9d8e9df964f2","Protocol Synopsis"
"NarrativeContent_4","SECTION 1.2","<div></div>","1.2","d273ee7f-7291-494c-8a44-e9c8aeaacb49","Trial Schema"
"NarrativeContent_5","SECTION 1.3","<div></div>","1.3","61df3ddd-3e60-42ca-a3a7-cadc07814584","Schedule of Activities"
"NarrativeContent_6","SECTION 2","<div></div>","2","08e3b989-8eac-4722-94a7-16a2c856a192","INTRODUCTION"
"NarrativeContent_7","SECTION 2.1","<div></div>","2.1","7bee4347-70fa-4bdd-9ce1-5fda84e9b8cc","Purpose of Trial"
"NarrativeContent_8","SECTION 2.2","<div></div>","2.2","988c0dfc-b2ee-4c23-a5bc-98503a2ec33f","Summary of Benefits and Risks"
"NarrativeContent_9","SECTION 3","<div></div>","3","b321be6d-c6f1-4e26-9f81-04e455d49fdd","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"NarrativeContent_10","SECTION 3.1","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","3.1","9f48d1b8-877f-4d0e-81e3-7e229119916b","Primary Objectives"
"NarrativeContent_11","SECTION 4","<div></div>","4","e2b6e65a-a8f5-4198-8dfd-9cce720a2046","TRIAL DESIGN"
"NarrativeContent_12","SECTION 4.1","<div></div>","4.1","9e5fa477-7dd9-40a3-a3c1-13d7f161ed96","Description of Trial Design"
"NarrativeContent_13","SECTION 4.1.1","<div></div>","4.1.1","b5bb6ccb-74f3-4b37-8ac6-9a541116ee09","Participant Input into Design"
"NarrativeContent_14","SECTION 4.2","<div></div>","4.2","880e5305-253c-4e77-8f79-1910ced47dc0","Rationale for Trial Design"
"NarrativeContent_15","SECTION 4.2.1","<div></div>","4.2.1","a0c1c205-e9d2-4e1a-8baf-d644bf60f9be","Rationale for Comparator"
"NarrativeContent_16","SECTION 4.2.2","<div></div>","4.2.2","36e7c0a2-2017-43ec-b608-387f37262fa2","Rationale for Adaptive or Novel Trial Design"
