"name","id","uuid:ID","sectionNumber","instanceType","text","sectionTitle"
"ROOT","NarrativeContent_1","d57ff553-8fa3-47e9-8df2-da2e5ea82a53","0","NarrativeContent","","Root"
"SECTION 0","NarrativeContent_2","6f76d406-44e0-436d-b184-f93fbf9cc43b","0","NarrativeContent","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE"
"SECTION 1","NarrativeContent_3","1bd793c4-97b0-436b-8959-b74e597be53f","1","NarrativeContent","<div></div>","PROTOCOL SUMMARY"
"SECTION 1.1","NarrativeContent_4","9bf37a4e-5e57-4a9b-9a9f-a74a9a758798","1.1","NarrativeContent","<div></div>","Protocol Synopsis"
"SECTION 1.2","NarrativeContent_5","a61d76bc-8234-4ade-a1c3-c4256a4225f8","1.2","NarrativeContent","<div></div>","Trial Schema"
"SECTION 1.3","NarrativeContent_6","1ab77ce8-3f23-4a76-982e-52c34f99da9f","1.3","NarrativeContent","<div></div>","Schedule of Activities"
"SECTION 2","NarrativeContent_7","030995da-370f-4495-9304-2e4d21841d85","2","NarrativeContent","<div></div>","INTRODUCTION"
"SECTION 2.1","NarrativeContent_8","074d9493-d31b-4079-8129-105d3204e724","2.1","NarrativeContent","<div></div>","Purpose of Trial"
"SECTION 2.2","NarrativeContent_9","7e2eec5f-a26d-48e5-a806-fdc82d2c6309","2.2","NarrativeContent","<div></div>","Summary of Benefits and Risks"
"SECTION 3","NarrativeContent_10","0cc8dea1-3a78-4030-bba1-e9c0e5a8aefd","3","NarrativeContent","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"SECTION 3.1","NarrativeContent_11","fdd4c7a3-a314-438e-a998-585b01254c9d","3.1","NarrativeContent","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives"
"SECTION 4","NarrativeContent_12","8b80847c-e6bd-4be5-a1bb-ae7de5e5b7db","4","NarrativeContent","<div></div>","TRIAL DESIGN"
"SECTION 4.1","NarrativeContent_13","da06467d-1d6b-437c-9471-0ea0adeb4b0f","4.1","NarrativeContent","<div></div>","Description of Trial Design"
"SECTION 4.1.1","NarrativeContent_14","c93ad383-476d-416e-80fd-125be663e70f","4.1.1","NarrativeContent","<div></div>","Participant Input into Design"
"SECTION 4.2","NarrativeContent_15","d0716d81-f847-4336-9a71-5934b302a719","4.2","NarrativeContent","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","Rationale for Trial Design"
"SECTION 4.2.1","NarrativeContent_16","715de1a7-d238-44bb-ac27-ba47288b6b6b","4.2.1","NarrativeContent","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","Rationale for Comparator"
"SECTION 4.2.2","NarrativeContent_17","e2cee1e3-2ac7-4db4-9528-b6c2de23a170","4.2.2","NarrativeContent","<div></div>","Rationale for Adaptive or Novel Trial Design"
"SECTION 4.2.3","NarrativeContent_18","be6d3cee-b39e-4c58-8f71-d02ca79dbcd5","4.2.3","NarrativeContent","<div></div>","Other Trial Design Considerations"
"SECTION 4.3","NarrativeContent_19","0bfe6512-ebe3-4821-9e09-8a8a10ec9ddf","4.3","NarrativeContent","<div></div>","Access to Trial Intervention After End of Trial"
"SECTION 4.4","NarrativeContent_20","6979661b-505e-420f-9c41-2bdd5bea720b","4.4","NarrativeContent","<div></div>","Start of Trial and End of Trial"
"SECTION 5","NarrativeContent_21","53a59627-9b7c-4be0-aeee-581a16daac05","5","NarrativeContent","<div></div>","TRIAL POPULATION"
"SECTION 5.1","NarrativeContent_22","5cb3f16b-9315-40e8-ac14-0974f43da92b","5.1","NarrativeContent","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","Selection of Trial Population"
"SECTION 5.2","NarrativeContent_23","a8589f23-d8c6-420c-9fd8-eb2793a9e3d8","5.2","NarrativeContent","<div></div>","Rationale for Trial Population"
"SECTION 5.3","NarrativeContent_24","20543250-6d22-4a18-bb9e-7ce2a1f5bce5","5.3","NarrativeContent","<div><usdm:section name=""M11-inclusion""></div>","Inclusion Criteria"
"SECTION 5.4","NarrativeContent_25","e4197722-7369-4feb-8c20-a4dfb39ee533","5.4","NarrativeContent","<div><usdm:section name=""M11-exclusion""></div>","Exclusion Criteria"
"SECTION 5.5","NarrativeContent_26","155c9477-3361-4049-87a7-f5e37fcec36c","5.5","NarrativeContent","<div></div>","Lifestyle Considerations"
"SECTION 5.5.1","NarrativeContent_27","c63a57fb-8ac9-429d-9e57-33aaa3ea21eb","5.5.1","NarrativeContent","<div></div>","Meals and Dietary Restrictions"
"SECTION 5.5.2","NarrativeContent_28","3d968505-ee8e-4334-bdce-dc43526e5702","5.5.2","NarrativeContent","<div><p>Not applicable</p></div>","Caffeine, Alcohol, Tobacco, and Other Habits"
"SECTION 5.5.3","NarrativeContent_29","78c3c5e3-34c0-4ab6-86b3-0158a1a9f64b","5.5.3","NarrativeContent","<div></div>","Physical Activity"
"SECTION 5.5.4","NarrativeContent_30","26dc033e-7076-4230-886e-c82cfec5b54e","5.5.4","NarrativeContent","<div></div>","Other Activity"
"SECTION 5.6","NarrativeContent_31","8a6d1338-c25c-4895-96c7-8b0e97052ec4","5.6","NarrativeContent","<div></div>","Screen Failures"
"SECTION 6","NarrativeContent_32","f6bdd191-f20b-452c-8f3f-e55c52022c88","6","NarrativeContent","<div></div>","TRIAL INTERVENTION AND CONCOMITANT THERAPY"
"SECTION 6.1","NarrativeContent_33","192086d9-57aa-48d2-a116-25cb2abbe802","6.1","NarrativeContent","<div></div>","Description of Trial Intervention"
"SECTION 6.2","NarrativeContent_34","e6bc1e71-15a7-429c-a7aa-14ae8f2c84bb","6.2","NarrativeContent","<div></div>","Rationale for Trial Intervention"
"SECTION 6.3","NarrativeContent_35","fda10e85-cefa-4850-9a35-7cb7e231f404","6.3","NarrativeContent","<div></div>","Dosing and Administration"
"SECTION 6.3.1","NarrativeContent_36","c5ce2acc-e75a-4dee-b253-9b194a671bc1","6.3.1","NarrativeContent","<div></div>","Trial Intervention Dose Modification"
"SECTION 6.4","NarrativeContent_37","79cd4367-80b8-4366-b131-b891e281cc91","6.4","NarrativeContent","<div></div>","Treatment of Overdose"
"SECTION 6.5","NarrativeContent_38","54f8d22a-86ed-4157-aad1-ee7d636fa4d7","6.5","NarrativeContent","<div></div>","Preparation, Handling, Storage and Accountability"
"SECTION 6.5.1","NarrativeContent_39","7d58fb7c-3bce-46ae-862b-9ae8880ae92e","6.5.1","NarrativeContent","<div></div>","Preparation of Trial Intervention"
"SECTION 6.5.2","NarrativeContent_40","70b5dc4f-7164-485a-baed-f4f4fcc49afa","6.5.2","NarrativeContent","<div></div>","Handling and Storage of Trial Intervention"
"SECTION 6.5.3","NarrativeContent_41","b89cccd0-7f5f-476d-9008-a408b81dda81","6.5.3","NarrativeContent","<div></div>","Accountability of Trial Intervention"
"SECTION 6.6","NarrativeContent_42","2114362e-e19f-4d0f-a2e5-cb1637738c37","6.6","NarrativeContent","<div></div>","Participant Assignment, Randomisation and Blinding"
"SECTION 6.6.1","NarrativeContent_43","6384046a-bb86-47cc-94b5-8713cab4d90b","6.6.1","NarrativeContent","<div></div>","Participant Assignment"
"SECTION 6.6.2","NarrativeContent_44","24843bfb-c555-47a0-99c6-9188014c8adb","6.6.2","NarrativeContent","<div></div>","Randomisation"
"SECTION 6.6.3","NarrativeContent_45","7821291e-0648-474c-8472-d030850cc59f","6.6.3","NarrativeContent","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","Blinding and Unblinding"
"SECTION 6.7","NarrativeContent_46","ac61ba93-4edc-4a8a-9190-98cbefaa3414","6.7","NarrativeContent","<div></div>","Trial Intervention Compliance"
"SECTION 6.8","NarrativeContent_47","24e9b113-5c26-4e79-b05c-a5bf595dec2d","6.8","NarrativeContent","<div></div>","Concomitant Therapy"
"SECTION 6.8.1","NarrativeContent_48","a9683ce3-2468-4396-a1b7-ff952fec4a67","6.8.1","NarrativeContent","<div></div>","Prohibited Concomitant Therapy"
"SECTION 6.8.2","NarrativeContent_49","008f05a8-dde4-446b-a994-5d598dc0bd1f","6.8.2","NarrativeContent","<div></div>","Permitted Concomitant Therapy"
"SECTION 6.8.3","NarrativeContent_50","0ee8ba57-30e0-48de-a889-66bdfb3bdac4","6.8.3","NarrativeContent","<div></div>","Rescue Therapy"
"SECTION 6.8.4","NarrativeContent_51","be277fe8-b43b-4971-b07b-a76397b764ea","6.8.4","NarrativeContent","<div></div>","Other Therapy"
"SECTION 7","NarrativeContent_52","1b3ff246-b885-4a11-99b0-d1b3d1c8f6b8","7","NarrativeContent","<div></div>","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL"
"SECTION 7.1","NarrativeContent_53","d9822a40-f48e-4ab2-8702-aaae61bab396","7.1","NarrativeContent","<div></div>","Discontinuation of Trial Intervention"
"SECTION 7.1.1","NarrativeContent_54","a0edbbdd-c839-4558-ad62-2311d66cdf37","7.1.1","NarrativeContent","<div></div>","Criteria for Permanent Discontinuation of Trial Intervention"
"SECTION 7.1.2","NarrativeContent_55","b6caa943-bc12-44f4-ac2e-7b53b032d977","7.1.2","NarrativeContent","<div></div>","Temporary Discontinuation or Interruption of Trial Intervention"
"SECTION 7.1.3","NarrativeContent_56","fa599a0c-e962-4be7-9419-5c90191012a1","7.1.3","NarrativeContent","<div></div>","Rechallenge"
"SECTION 7.2","NarrativeContent_57","567862bd-59b2-4a11-a022-46f99c0d1a12","7.2","NarrativeContent","<div></div>","Participant Withdrawal from the Trial"
"SECTION 7.3","NarrativeContent_58","72864a88-ce93-464b-aaaa-de2735d21835","7.3","NarrativeContent","<div></div>","Lost to Follow-Up"
"SECTION 7.4","NarrativeContent_59","1758e9a7-46a9-4ebc-af5e-cb140f92cc70","7.4","NarrativeContent","<div></div>","Trial Stopping Rules"
"SECTION 8","NarrativeContent_60","aa584ab7-39d7-4711-8797-e37927be9541","8","NarrativeContent","<div></div>","TRIAL ASSESSMENTS AND PROCEDURES"
"SECTION 8.1","NarrativeContent_61","3ee17175-654a-4986-b5d9-e2ee7c46b11b","8.1","NarrativeContent","<div></div>","Screening/Baseline Assessments and Procedures"
"SECTION 8.2","NarrativeContent_62","04f535a4-007b-4a67-b5ca-3b433056f2ce","8.2","NarrativeContent","<div></div>","Efficacy Assessments and Procedures"
"SECTION 8.3","NarrativeContent_63","754399b5-9eb3-4c7c-a572-223aea107936","8.3","NarrativeContent","<div></div>","Safety Assessments and Procedures"
"SECTION 8.3.1","NarrativeContent_64","63df71af-f542-4ead-aa09-03a591e7cd38","8.3.1","NarrativeContent","<div></div>","Physical Examination"
"SECTION 8.3.2","NarrativeContent_65","bf306bfb-fff7-4803-87c4-566a242860ca","8.3.2","NarrativeContent","<div></div>","Vital Signs"
"SECTION 8.3.3","NarrativeContent_66","acecbd34-506a-4229-9964-90c43d321bf6","8.3.3","NarrativeContent","<div></div>","Electrocardiograms"
"SECTION 8.3.4","NarrativeContent_67","f62091bd-63ca-479d-8e1e-40b402b5d93d","8.3.4","NarrativeContent","<div></div>","Clinical Laboratory Assessments"
"SECTION 8.3.5","NarrativeContent_68","c4e197d9-7adf-4e00-88b4-990d439c1522","8.3.5","NarrativeContent","<div></div>","Suicidal Ideation and Behaviour Risk Monitoring"
"SECTION 8.4","NarrativeContent_69","89fb3507-39c5-4b70-a7b3-5892601e0977","8.4","NarrativeContent","<div></div>","Adverse Events and Serious Adverse Events"
"SECTION 8.4.1","NarrativeContent_70","cafdf2c7-442c-425c-b189-064e7db5de6c","8.4.1","NarrativeContent","<div></div>","Definitions of AE and SAE"
"SECTION 8.4.2","NarrativeContent_71","4ca7224a-4ff1-45fc-be44-c2dd9932e4d6","8.4.2","NarrativeContent","<div></div>","Time Period and Frequency for Collecting AE and SAE Information"
"SECTION 8.4.3","NarrativeContent_72","1feced31-077e-492d-a013-1aae11463112","8.4.3","NarrativeContent","<div></div>","Identifying AEs and SAEs"
"SECTION 8.4.4","NarrativeContent_73","e80bd7ce-bf6f-4081-adf2-f6e20637319b","8.4.4","NarrativeContent","<div></div>","Recording of AEs and SAEs"
"SECTION 8.4.5","NarrativeContent_74","3a846ca2-955a-4eb1-a3d6-59e80662d672","8.4.5","NarrativeContent","<div></div>","Follow-up of AEs and SAEs"
"SECTION 8.4.6","NarrativeContent_75","e03d2e97-f633-4787-8a70-cdfe057d6390","8.4.6","NarrativeContent","<div></div>","Reporting of SAEs"
"SECTION 8.4.7","NarrativeContent_76","8533a8dd-92e6-4633-806d-8b7868c6016b","8.4.7","NarrativeContent","<div></div>","Regulatory Reporting Requirements for SAEs"
"SECTION 8.4.8","NarrativeContent_77","13fa6b11-a050-46af-a759-854bd655d479","8.4.8","NarrativeContent","<div></div>","Serious and Unexpected Adverse Reaction Reporting"
"SECTION 8.4.9","NarrativeContent_78","f2255b70-79e2-4f5d-9cbf-f789b5b4f144","8.4.9","NarrativeContent","<div></div>","Adverse Events of Special Interest"
"SECTION 8.4.10","NarrativeContent_79","bdce96b9-53bd-40a9-873e-bb8618857dbd","8.4.10","NarrativeContent","<div></div>","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs"
"SECTION 8.5","NarrativeContent_80","bcc07bbb-d587-4570-966b-6f06f127bd01","8.5","NarrativeContent","<div></div>","Pregnancy and Postpartum Information"
